date, pm25, co
2020/1/2, 119, 
2020/1/3, 154, 
2020/1/4, 151, 
2020/1/5, 97, 
2020/1/6, 122, 
2020/1/7, 155, 
2020/1/8, 149, 
2020/1/9, 158, 
2020/1/10, 137, 
2020/1/11, 132, 
2020/1/12, 117, 
2020/1/13, 154, 
2020/1/14, 161, 
2019/10/1, 46, 
2019/10/2, 34, 
2019/10/3, 17, 
2019/10/4, 38, 
2019/10/5, 61, 
2019/10/6, 89, 
2019/10/7, 50, 
2019/10/8, 59, 
2019/10/9, 82, 
2019/10/10, 80, 
2019/10/11, 87, 
2019/10/12, 107, 
2019/10/13, 114, 
2019/10/14, 127, 
2019/10/15, 55, 
2019/10/16, 38, 
2019/10/17, 42, 
2019/10/18, 68, 
2019/10/19, 59, 
2019/10/20, 55, 
2019/10/21, 46, 
2019/10/22, 55, 
2019/10/23, 68, 
2019/10/25, 42, 
2019/10/26, 53, 
2019/10/27, 63, 
2019/10/28, 85, 
2019/10/29, 119, 
2019/10/30, 97, 
2019/10/31, 65, 
2019/11/1, 70, 
2019/11/2, 89, 
2019/11/3, 68, 
2019/11/4, 50, 
2019/11/5, 59, 
2019/11/6, 65, 
2019/11/7, 70, 
2019/11/8, 38, 
2019/11/9, 57, 
2019/11/10, 74, 
2019/11/11, 68, 
2019/11/12, 61, 
2019/11/13, 61, 
2019/11/14, 46, 
2019/11/15, 50, 
2019/11/16, 55, 
2019/11/17, 38, 
2019/11/18, 34, 
2019/11/19, 34, 
2019/11/20, 38, 
2019/11/21, 59, 
2019/11/22, 21, 
2019/11/23, 13, 
2019/11/24, 9, 
2019/11/25, 34, 
2019/11/26, 82, 
2019/11/27, 46, 
2019/11/28, 68, 
2019/11/29, 76, 
2019/11/30, 65, 
2019/12/1, 46, 
2019/12/2, 53, 
2019/12/3, 59, 
2019/12/4, 72, 
2019/12/5, 109, 
2019/12/6, 139, 
2019/12/7, 151, 
2019/12/8, 129, 
2019/12/9, 93, 
2019/12/10, 68, 
2019/12/11, 89, 
2019/12/12, 102, 
2019/12/13, 89, 
2019/12/14, 70, 
2019/12/15, 102, 
2019/12/16, 122, 
2019/12/17, 59, 
2019/12/18, 78, 
2019/12/19, 57, 
2019/12/20, 25, 
2019/12/21, 50, 
2019/12/22, 25, 
2019/12/23, 5, 
2019/12/24, 46, 
2019/12/25, 34, 
2019/12/26, 93, 
2019/7/1, 63, 
2019/7/2, 55, 
2019/7/3, 46, 
2019/7/4, 30, 
2019/7/6, 142, 
2019/7/7, 55, 
2019/7/8, 55, 
2019/7/9, 59, 
2019/7/10, 50, 
2019/7/11, 50, 
2019/7/12, 53, 
2019/7/13, 57, 
2019/7/14, 42, 
2019/7/15, 34, 
2019/7/16, 30, 
2019/7/17, 38, 
2019/7/18, 46, 
2019/7/19, 30, 
2019/7/20, 55, 
2019/7/21, 59, 
2019/7/22, 61, 
2019/7/23, 65, 
2019/7/24, 68, 
2019/7/25, 85, 
2019/7/26, 59, 
2019/7/27, 38, 
2019/7/28, 21, 
2019/7/29, 25, 
2019/7/30, 38, 
2019/7/31, 42, 
2019/8/1, 34, 
2019/8/2, 50, 
2019/8/3, 46, 
2019/8/4, 50, 
2019/8/5, 53, 
2019/8/6, 53, 
2019/8/7, 38, 
2019/8/8, 38, 
2019/8/9, 53, 
2019/8/10, 55, 
2019/8/11, 46, 
2019/8/12, 46, 
2019/8/13, 30, 
2019/8/14, 25, 
2019/8/15, 25, 
2019/8/16, 38, 
2019/8/17, 30, 
2019/8/18, 42, 
2019/8/19, 46, 
2019/8/20, 42, 
2019/8/21, 42, 
2019/8/22, 42, 
2019/8/23, 50, 
2019/8/24, 50, 
2019/8/25, 55, 
2019/8/26, 59, 
2019/8/27, 63, 
2019/8/28, 53, 
2019/8/29, 38, 
2019/8/30, 50, 
2019/8/31, 53, 
2019/9/1, 53, 
2019/9/2, 42, 
2019/9/3, 38, 
2019/9/4, 46, 
2019/9/5, 42, 
2019/9/6, 17, 
2019/9/7, 21, 
2019/9/8, 13, 
2019/9/9, 21, 
2019/9/10, 30, 
2019/9/11, 30, 
2019/9/12, 42, 
2019/9/13, 55, 
2019/9/14, 63, 
2019/9/15, 65, 
2019/9/16, 61, 
2019/9/17, 63, 
2019/9/18, 57, 
2019/9/19, 46, 
2019/9/20, 38, 
2019/9/21, 55, 
2019/9/22, 61, 
2019/9/23, 61, 
2019/9/24, 46, 
2019/9/25, 57, 
2019/9/26, 72, 
2019/9/27, 72, 
2019/9/28, 63, 
2019/9/29, 46, 
2019/9/30, 50, 
