date, pm25, pm10, o3, no2, so2, co
2020/1/2, 75, 38, 10, 10, , 4
2020/1/3, 90, 23, 21, 8, , 3
2020/1/4, 65, 9, 22, 8, , 2
2020/1/5, 41, 21, 14, 9, , 4
2020/1/6, 57, 21, 10, 7, , 3
2020/1/7, 58, 21, 11, 7, , 3
2020/1/8, 64, 11, 16, 6, , 2
2020/1/9, 40, 17, 14, 9, , 3
2020/1/10, 44, 16, 25, 9, , 3
2020/1/11, 49, 17, 18, 13, , 4
2020/1/12, 55, 18, 21, 11, , 4
2020/1/13, 43, 14, 25, 7, , 2
2020/1/14, 33, 23, 21, 12, , 4
2020/1/15, 41, , , , , 
2019/10/1, 22, 27, 29, 11, , 3
2019/10/2, 27, 25, 37, 9, , 2
2019/10/3, 25, 30, 30, 6, , 2
2019/10/4, 23, 28, 30, 9, , 2
2019/10/5, 31, 35, 42, 11, , 4
2019/10/6, 40, 49, 39, 13, , 4
2019/10/7, 53, 49, 28, 20, , 5
2019/10/8, 59, 72, 29, 8, , 2
2019/10/9, 42, 54, 27, 9, , 3
2019/10/10, 31, 78, 33, 16, , 4
2019/10/11, 46, 58, 51, 14, , 5
2019/10/12, 59, 45, 57, 12, , 4
2019/10/13, 56, 43, 43, 13, , 3
2019/10/14, 51, 55, 47, 15, , 3
2019/10/15, 64, 55, 39, 17, , 4
2019/10/16, 67, 23, 31, 5, , 1
2019/10/17, 21, 22, 31, 6, , 2
2019/10/18, 26, 20, 28, 7, , 2
2019/10/19, 31, 16, 30, 5, , 1
2019/10/20, 23, 37, 31, 14, , 3
2019/10/21, 35, 48, 33, 14, , 3
2019/10/22, 45, , 9, 18, , 3
2019/10/23, 56, 59, , , , 3
2019/10/24, 40, 56, , , , 6
2019/10/25, 47, 50, , , , 5
2019/10/26, 57, 277, , , , 2
2019/10/27, 117, 32, , , , 4
2019/10/28, 38, 54, 27, 10, , 4
2019/10/29, 53, 49, 28, 13, , 4
2019/10/30, 53, 66, 33, 17, , 6
2019/10/31, 69, 65, 28, 17, , 6
2019/11/1, 76, 68, 39, 16, , 7
2019/11/2, 84, 58, 46, 15, , 6
2019/11/3, 80, 58, 42, 18, , 7
2019/11/4, 71, 63, 45, 23, , 7
2019/11/5, 89, 62, 40, 22, , 7
2019/11/6, 91, 61, 33, 21, , 7
2019/11/7, 91, 55, 36, 19, , 5
2019/11/8, 88, 48, 35, 20, , 5
2019/11/9, 87, 48, 40, 16, , 7
2019/11/10, 79, 55, 42, 19, , 7
2019/11/11, 86, 71, 46, 18, , 5
2019/11/12, 95, 69, 23, 24, , 6
2019/11/13, 113, 36, 30, 12, , 2
2019/11/14, 69, 24, 23, 10, , 2
2019/11/15, 37, 42, 28, 13, , 6
2019/11/16, 78, 49, 37, 14, , 5
2019/11/17, 93, 58, 23, 18, , 6
2019/11/18, 102, 46, 19, 14, , 3
2019/11/19, 86, 70, 22, 7, , 2
2019/11/20, 35, 44, 20, 14, , 5
2019/11/21, 44, 55, 26, 14, , 5
2019/11/22, 63, 46, 28, 16, , 4
2019/11/23, 67, 44, 27, 14, , 6
2019/11/24, 72, 75, 28, 10, , 4
2019/11/25, 63, 21, 25, 6, , 2
2019/11/26, 28, 12, 24, 5, , 2
2019/11/27, 27, 9, 22, 6, , 2
2019/11/28, 38, 10, 25, 8, , 2
2019/11/29, 35, 10, 23, 6, , 2
2019/11/30, 38, 5, 25, 2, , 1
2019/12/1, 22, 6, 23, 5, , 2
2019/12/2, 20, 9, 11, 7, , 2
2019/12/3, 37, 14, 16, 6, , 3
2019/12/4, 51, 15, 7, 8, , 4
2019/12/5, 48, , 24, 7, , 2
2019/12/6, 45, , 20, 4, , 2
2019/12/7, 27, , 23, 6, , 2
2019/12/8, 23, , 19, 8, , 3
2019/12/9, 35, , 13, 8, , 4
2019/12/10, 63, 23, 10, 5, , 2
2019/12/11, 70, 29, 14, 9, , 3
2019/12/12, 82, 21, 9, 8, , 4
2019/12/13, 71, 7, 28, 5, , 2
2019/12/14, 22, 8, 27, 9, , 2
2019/12/15, 24, 16, 18, 11, , 5
2019/12/16, 46, 28, 12, 11, , 4
2019/12/17, 60, 20, 22, 8, , 2
2019/12/18, 30, 15, 13, 14, , 3
2019/12/19, 55, 27, 19, 13, , 4
2019/12/20, 67, 35, 9, 13, , 4
2019/12/21, 83, 16, 27, 4, , 2
2019/12/22, 24, 10, 22, 7, , 3
2019/12/23, 26, 23, 22, 10, , 7
2019/12/24, 50, 15, 23, 6, , 3
2019/12/25, 44, 5, 21, 5, , 2
2019/12/26, 17, 14, 15, 12, , 3
2019/12/27, 47, 29, 3, 9, , 5
2019/12/28, 74, , , , , 
2019/7/1, 24, 21, 43, 5, , 1
2019/7/2, 30, 24, 44, 5, , 1
2019/7/3, 31, 25, 49, 4, , 1
2019/7/4, 46, 29, 50, 6, , 2
2019/7/5, 52, 21, 48, 6, , 1
2019/7/6, 36, 20, 39, 4, , 1
2019/7/7, 38, 22, 41, 3, , 1
2019/7/8, 35, 16, 39, 4, , 1
2019/7/9, 24, 16, 37, 3, , 1
2019/7/10, 18, 17, 33, 4, , 1
2019/7/11, 15, 17, 43, 6, , 1
2019/7/12, 21, 17, 43, 5, , 1
2019/7/13, 19, 15, 45, 4, , 1
2019/7/14, 17, 19, 38, 4, , 1
2019/7/15, 24, 21, 30, 5, , 1
2019/7/16, 21, 24, 46, 5, , 2
2019/7/17, 31, 27, 43, 6, , 2
2019/7/18, 31, 20, 44, 5, , 1
2019/7/19, 28, 21, 44, 3, , 1
2019/7/20, 37, 14, 43, 6, , 1
2019/7/21, 25, 26, 62, 5, , 1
2019/7/22, 38, 22, 54, 8, , 1
2019/7/23, 32, 22, 58, 8, , 1
2019/7/24, 32, 24, 76, 10, , 2
2019/7/25, 38, 25, 74, 7, , 2
2019/7/26, 36, 22, 61, 6, , 3
2019/7/27, 37, 22, 64, 7, , 3
2019/7/28, 49, 34, 59, 6, , 2
2019/7/29, 53, 24, 50, 4, , 2
2019/7/30, 27, 28, 55, 8, , 2
2019/7/31, 42, 24, 43, 7, , 2
2019/8/1, 41, 18, 43, 5, , 1
2019/8/2, 25, 21, 66, 6, , 2
2019/8/3, 48, 13, 39, 4, , 1
2019/8/4, 18, 17, 40, 7, , 1
2019/8/5, 33, 22, 60, 7, , 2
2019/8/6, 35, , 45, 5, , 2
2019/8/7, 39, , 41, 4, , 1
2019/8/8, 35, , 37, 5, , 1
2019/8/9, 26, , 26, 3, , 1
2019/8/10, 16, , 37, 4, , 1
2019/8/11, 25, 16, 45, 8, , 2
2019/8/12, 31, 25, 66, 8, , 2
2019/8/13, 37, 26, 76, 12, , 2
2019/8/14, 47, 34, 66, 12, , 3
2019/8/15, 52, 32, 72, 10, , 3
2019/8/16, 47, 32, 47, 8, , 2
2019/8/17, 50, 18, 36, 6, , 2
2019/8/18, 35, 21, 39, 4, , 1
2019/8/19, 25, 25, 23, 5, , 1
2019/8/20, 27, 25, 49, 6, , 2
2019/8/21, 29, 27, 45, 6, , 2
2019/8/22, 38, 33, 56, 7, , 2
2019/8/23, 38, 29, 53, 5, , 2
2019/8/24, 42, 21, 61, 4, , 2
2019/8/25, 39, 29, 43, 6, , 2
2019/8/26, 27, 28, 59, 8, , 2
2019/8/27, 25, 30, 48, 6, , 2
2019/8/28, 27, 32, 38, 3, , 1
2019/8/29, 40, 30, 43, 5, , 2
2019/8/30, 37, 26, 49, 7, , 2
2019/8/31, 34, 13, 42, 7, , 2
2019/9/1, 26, 26, 42, 6, , 1
2019/9/2, 24, 28, 44, 6, , 1
2019/9/3, 26, 31, 53, 8, , 2
2019/9/4, 28, 32, 48, 6, , 2
2019/9/5, 28, 28, 45, 6, , 2
2019/9/6, 24, 38, 30, 3, , 1
2019/9/7, 27, 12, 31, 5, , 1
2019/9/8, 22, 20, 34, 6, , 2
2019/9/9, 22, 21, 37, 6, , 2
2019/9/10, 25, 31, 42, 9, , 2
2019/9/11, 35, 39, 50, 13, , 3
2019/9/12, 46, 44, 60, 13, , 3
2019/9/13, 53, 44, 66, 10, , 3
2019/9/14, 53, 25, 41, 5, , 1
2019/9/15, 23, 14, 30, 5, , 2
2019/9/16, 21, 13, 34, 7, , 2
2019/9/17, 20, 14, 25, 6, , 2
2019/9/18, 19, 14, 31, 6, , 1
2019/9/19, 18, 20, 30, 8, , 2
2019/9/20, 25, 25, 36, 9, , 3
2019/9/21, 34, 19, 45, 11, , 3
2019/9/22, 38, 26, 37, 6, , 1
2019/9/23, 26, 34, 43, 10, , 2
2019/9/24, 32, 63, 63, 14, , 3
2019/9/25, 52, 51, 55, 12, , 3
2019/9/26, 60, 24, 37, 4, , 1
2019/9/27, 33, 20, 31, 4, , 1
2019/9/28, 21, 13, 28, 3, , 1
2019/9/29, 14, 24, 31, 7, , 2
2019/9/30, 28, 19, 27, 7, , 2
2019/4/1, 34, 8, 24, 6, , 2
2019/4/2, 29, 8, 23, 7, , 2
2019/4/3, 15, 10, 22, 5, , 2
2019/4/4, 17, 10, 23, 6, , 2
2019/4/5, 16, 10, 30, 5, , 2
2019/4/6, 19, 9, 29, 4, , 2
2019/4/7, 24, 14, 22, 5, , 2
2019/4/8, 34, 16, 34, 3, , 1
2019/4/9, 16, 14, 34, 4, , 2
2019/4/10, 14, 14, 34, 4, , 2
2019/4/11, 26, 12, 37, 4, , 2
2019/4/12, 13, 16, 42, 8, , 2
2019/4/13, 25, 14, 40, 8, , 2
2019/4/14, 32, 15, 43, 4, , 2
2019/4/15, 21, 10, 34, 5, , 2
2019/4/16, 21, 14, 39, 8, , 2
2019/4/17, 28, 25, 45, 10, , 3
2019/4/18, 48, 22, 58, 9, , 2
2019/4/19, 48, 17, 34, 4, , 1
2019/4/20, 21, 16, 32, 4, , 2
2019/4/21, 23, 19, 41, 5, , 2
2019/4/22, 25, 27, 50, 10, , 2
2019/4/23, 38, 31, 47, 11, , 2
2019/4/24, 44, 22, 45, 10, , 2
2019/4/25, 42, 28, 44, 7, , 2
2019/4/26, 37, 25, 43, 8, , 2
2019/4/27, 42, 26, 43, 7, , 2
2019/4/28, 53, 30, 34, 5, , 2
2019/4/29, 39, 28, 41, 6, , 2
2019/4/30, 36, 26, 43, 7, , 2
