date, pm25, o3
2020/1/2, 28, 
2020/1/3, 14, 
2020/1/4, 22, 
2020/1/5, 20, 
2020/1/6, 29, 
2020/1/7, 24, 
2020/1/8, 27, 
2020/1/9, 34, 
2020/1/10, 37, 
2020/1/11, 27, 
2020/1/12, 22, 
2020/1/13, 32, 
2020/1/14, 16, 
2020/1/15, 21, 
2020/1/16, 23, 
2019/10/1, 55, 48
2019/10/2, 56, 51
2019/10/3, 59, 54
2019/10/4, 45, 56
2019/10/5, 42, 35
2019/10/6, 32, 25
2019/10/7, 21, 27
2019/10/8, 20, 33
2019/10/9, 39, 35
2019/10/10, 25, 35
2019/10/11, 28, 
2019/10/13, 28, 27
2019/10/14, 31, 17
2019/10/15, 37, 23
2019/10/16, 18, 27
2019/10/17, 24, 23
2019/10/18, 38, 26
2019/10/19, 27, 31
2019/10/20, 34, 23
2019/10/21, 33, 31
2019/10/22, 15, 32
2019/10/23, 27, 38
2019/10/24, 47, 18
2019/10/25, 36, 19
2019/10/26, 23, 19
2019/10/27, 16, 22
2019/10/28, 32, 18
2019/10/29, 42, 16
2019/10/30, 23, 16
2019/10/31, 12, 13
2019/11/1, 21, 
2019/11/2, 31, 
2019/11/3, 40, 
2019/11/4, 50, 
2019/11/5, 52, 
2019/11/6, 48, 
2019/11/7, 56, 
2019/11/8, 17, 
2019/11/9, 35, 
2019/11/10, 42, 
2019/11/11, 38, 
2019/11/12, 15, 
2019/11/13, 26, 
2019/11/14, 37, 
2019/11/15, 37, 
2019/11/16, 41, 
2019/11/17, 51, 
2019/11/18, 42, 
2019/11/19, 38, 
2019/11/20, 38, 
2019/11/21, 52, 
2019/11/22, 46, 
2019/11/23, 18, 
2019/11/24, 20, 
2019/11/25, 41, 
2019/11/26, 37, 
2019/11/27, 25, 
2019/11/28, 20, 
2019/11/29, 34, 
2019/11/30, 39, 
2019/12/1, 17, 
2019/12/2, 17, 
2019/12/3, 26, 
2019/12/4, 33, 
2019/12/5, 39, 
2019/12/6, 54, 
2019/12/7, 52, 
2019/12/8, 45, 
2019/12/9, 38, 
2019/12/10, 24, 
2019/12/11, 22, 
2019/12/12, 28, 
2019/12/13, 16, 
2019/12/14, 37, 
2019/12/15, 48, 
2019/12/16, 34, 
2019/12/17, 8, 
2019/12/25, 33, 
2019/12/26, 39, 
2019/12/27, 45, 
2019/12/28, 30, 
2019/7/1, 47, 30
2019/7/2, 50, 26
2019/7/3, 56, 25
2019/7/4, 47, 24
2019/7/5, 64, 26
2019/7/6, 61, 33
2019/7/7, 34, 39
2019/7/8, 37, 43
2019/7/9, 41, 37
2019/7/10, 44, 36
2019/7/11, 37, 26
2019/7/12, 26, 19
2019/7/13, 36, 18
2019/7/14, 49, 15
2019/7/15, 45, 15
2019/7/16, 52, 24
2019/7/17, 46, 2
2019/7/18, 49, 22
2019/7/19, 45, 23
2019/7/20, 26, 22
2019/7/21, 25, 25
2019/7/22, 23, 30
2019/7/23, 26, 40
2019/7/24, 36, 49
2019/7/25, 46, 55
2019/7/26, 51, 55
2019/7/27, 49, 46
2019/7/28, 51, 41
2019/7/29, 47, 35
2019/7/30, 48, 33
2019/7/31, 41, 37
2019/8/1, 37, 37
2019/8/2, 42, 34
2019/8/3, 32, 36
2019/8/4, 31, 36
2019/8/5, 21, 36
2019/8/6, 38, 38
2019/8/7, 46, 32
2019/8/8, 35, 33
2019/8/9, 36, 30
2019/8/10, 38, 37
2019/8/11, 41, 42
2019/8/12, 54, 36
2019/8/13, 44, 41
2019/8/14, 33, 50
2019/8/15, 39, 43
2019/8/16, 42, 56
2019/8/17, 41, 45
2019/8/18, 50, 41
2019/8/19, 52, 49
2019/8/20, 46, 26
2019/8/21, 38, 22
2019/8/22, 56, 25
2019/8/23, 42, 33
2019/8/24, 44, 17
2019/8/25, 29, 17
2019/8/26, 22, 27
2019/8/27, 35, 34
2019/8/28, 29, 38
2019/8/29, 35, 43
2019/8/30, 53, 41
2019/8/31, 51, 29
2019/9/1, 20, 38
2019/9/2, 37, 47
2019/9/3, 49, 44
