date, pm25, pm10, o3, no2, so2, co
2020/1/7, 54, 10, 11, 12, 9, 
2020/1/8, 55, 22, 9, 34, 13, 
2020/1/9, 104, 47, 5, 43, 13, 
2020/1/10, 122, 59, 9, 27, 13, 
2020/1/11, 118, 51, 8, 14, 11, 
2020/1/12, 89, 35, 3, 36, 11, 
2020/1/13, 109, 54, 1, 44, 11, 
2020/1/14, 115, 60, , 35, 10, 
2020/1/15, 106, , , , , 
2019/10/1, 72, 41, 35, 14, 1, 
2019/10/2, 54, 43, 15, 25, 1, 
2019/10/3, 63, , , , , 
2019/10/8, 50, 23, 24, 20, 8, 
2019/10/9, 46, 32, 24, 34, 9, 
2019/10/10, 53, 37, 23, 25, 8, 
2019/10/11, 61, 39, 26, 22, 6, 
2019/10/12, 58, 36, 28, 21, 7, 
2019/10/13, 49, 22, 28, 21, 8, 
2019/10/14, 39, 18, 27, 18, 8, 
2019/10/15, 50, 13, 29, 14, 12, 
2019/10/16, 39, 19, 23, 26, 9, 
2019/10/17, 34, 21, 18, 24, 9, 
2019/10/18, 59, 25, 32, 15, 8, 
2019/10/19, 60, 25, 33, 16, 10, 
2019/10/20, 70, 28, 26, 23, 10, 
2019/10/21, 79, 33, 24, 17, 10, 
2019/10/22, 74, 35, 20, 25, 10, 
2019/10/23, 67, 36, 20, 26, 10, 
2019/10/24, 72, 38, 24, 23, 10, 
2019/10/25, 69, 38, 18, 27, 10, 
2019/10/26, 76, 40, 20, 24, 10, 
2019/10/27, 81, 39, 19, 29, 10, 
2019/10/28, 70, 37, 21, 23, 10, 
2019/10/29, 69, 9, 18, 9, 11, 
2019/10/30, 74, 3, 21, 5, 10, 
2019/10/31, 54, 3, 22, 7, 10, 
2019/11/1, 40, 2, 24, 10, 4, 
2019/11/2, 50, 1, 20, 8, 1, 
2019/11/3, 45, 4, 23, 17, 4, 
2019/11/4, 54, 13, 21, 28, 9, 
2019/11/5, 61, 12, 18, 31, 9, 
2019/11/6, 50, 25, 18, 29, 9, 
2019/11/7, 38, 44, 18, 28, 9, 
2019/11/8, 70, 46, 23, 20, 9, 
2019/11/9, 67, 39, 26, 17, 9, 
2019/11/10, 57, 29, 22, 29, 10, 
2019/11/11, 58, 32, 30, 13, 9, 
2019/11/12, 55, 41, 15, 17, 2, 
2019/11/13, 55, 43, 22, 21, 1, 
2019/11/19, 80, 29, 29, 8, 8, 
2019/11/20, 82, , , , , 
2019/11/22, 27, 5, 11, 2, 10, 
2019/11/23, 15, , , , , 
2019/11/25, 34, 12, 22, 5, 8, 
2019/11/26, 35, 5, 12, 24, 12, 
2019/11/27, 58, 33, 5, 33, 13, 
2019/11/28, 77, 60, 11, 29, 10, 
2019/11/29, 66, 23, 17, 24, 10, 
2019/11/30, 44, 20, 20, 15, 13, 
2019/12/1, 36, 16, 15, 37, 14, 
2019/12/2, 92, 50, 18, 20, 13, 
2019/12/3, 69, 18, 21, 9, 13, 
2019/12/4, 38, 17, 14, 42, 12, 
2019/12/5, 99, 57, 13, 39, 13, 
2019/12/6, 80, 52, 5, 44, 13, 
2019/12/7, 100, 65, 15, 25, 12, 
2019/12/8, 89, 43, 15, 36, 12, 
2019/12/9, 93, 48, 10, 35, 12, 
2019/12/10, 98, 50, 24, 8, 11, 
2019/12/11, 63, 23, 24, 5, 11, 
2019/12/12, 41, 17, 15, 22, 12, 
2019/12/13, 41, 18, 16, 19, 12, 
2019/12/14, 65, 33, 16, 21, 14, 
2019/12/15, 67, 36, 8, 43, 14, 
2019/12/16, 90, 73, 7, 40, 13, 
2019/12/17, 107, 72, 8, 44, 14, 
2019/12/18, 105, 76, 7, 43, 13, 
2019/12/19, 109, 73, 9, 26, 11, 
2019/12/20, 74, , 16, 26, 13, 
2019/12/21, 67, , 25, 4, 12, 
2019/12/22, 60, , 26, 10, 13, 
2019/12/23, 33, , 13, 5, 15, 
2019/12/24, 27, , 11, 9, 14, 
2019/12/25, 37, , 17, 8, 14, 
2019/12/26, 49, , 11, 19, 14, 
2019/12/27, 68, , 12, 15, 13, 
2019/12/28, 57, , , , , 
2019/7/1, 70, 27, 29, , 6, 
2019/7/2, 73, 23, 33, , 7, 
2019/7/3, 65, 21, 37, , 7, 
2019/7/4, 68, 22, 38, , 6, 
2019/7/5, 69, 24, 31, , 5, 
2019/7/6, 72, 31, 35, , 6, 
2019/7/7, 78, 23, 39, , 7, 
2019/7/8, 72, 19, 34, , 7, 
2019/7/9, 72, 20, 28, , 7, 
2019/7/10, 91, 21, 28, , 7, 
2019/7/11, 79, 19, 17, , , 
2019/7/12, 111, 21, 31, , 2, 
2019/9/21, 43, 14, 30, 21, 7, 
2019/9/22, 38, 14, 32, 19, 8, 
2019/9/23, 38, 15, 28, 12, 6, 
2019/9/24, 36, 14, 27, 7, 7, 
2019/9/25, 32, 12, 27, 18, 8, 
2019/9/26, 31, 15, 24, 11, 8, 
2019/9/27, 34, 18, 28, 17, 8, 
2019/9/28, 40, 28, 22, 18, 8, 
2019/9/29, 46, 37, 40, 27, 9, 
2019/9/30, 53, 51, 34, 21, 3, 
2019/4/1, 91, 27, 45, 7, 6, 
2019/4/2, 81, 30, 45, 10, 5, 
2019/4/3, 57, 33, 46, 11, 5, 
2019/4/4, 69, 27, 46, 6, 4, 
2019/4/5, 52, 23, 47, 4, 5, 
2019/4/6, 49, 24, 45, 11, 5, 
2019/4/7, 56, 24, 44, 10, 5, 
2019/4/8, 67, 28, 42, 11, 6, 
2019/4/9, 62, 29, 39, 22, 6, 
2019/4/10, 56, 25, 38, 28, 6, 
2019/4/11, 56, 31, 40, 15, 6, 
2019/4/12, 62, 33, 42, 8, 6, 
2019/4/13, 44, 17, 25, 3, 6, 
2019/4/14, 21, 10, 44, 10, 7, 
2019/4/15, 23, 14, 42, 18, 7, 
2019/4/16, 62, 30, 39, 14, 6, 
2019/4/17, 82, 32, 38, 7, 6, 
2019/4/18, 62, 19, 39, 15, 6, 
2019/4/19, 56, 18, 43, 8, 7, 
2019/4/20, 57, 22, 49, 12, 6, 
2019/4/21, 54, 22, 44, 18, 6, 
2019/4/22, 66, 19, 42, 19, 6, 
2019/4/23, 61, 14, 43, 9, 6, 
2019/4/24, 63, 23, 43, 8, 6, 
2019/4/25, 49, 22, 43, 7, 6, 
2019/4/26, 47, 20, 46, 7, 7, 
2019/4/27, 38, 14, 43, 13, 7, 
2019/4/28, 39, 19, 47, 13, 7, 
2019/4/29, 55, 22, 43, 12, 8, 
2019/4/30, 61, 24, 31, 14, 8, 
2019/5/1, 75, 24, 35, 11, 7, 
2019/5/2, 43, 17, 47, 20, 8, 
2019/5/3, 45, 21, 51, 19, 9, 
2019/5/4, 64, 31, 50, 6, 8, 
2019/5/5, 63, 29, 45, 6, 8, 
2019/5/6, 53, 24, 34, 8, 8, 
2019/5/7, 44, 20, 34, 14, 7, 
2019/5/8, 27, 14, 42, 15, 5, 
2019/5/9, 27, 20, 37, 16, 5, 
2019/5/10, 56, 24, 34, 16, 5, 
2019/5/11, 44, 17, 45, 10, 6, 
