date, pm25, o3, no2, so2, co
2020/1/2, 13, 14, 5, , 
2020/1/3, 17, 15, 3, , 
2020/1/4, 14, 15, , , 
2020/1/5, 25, 11, 6, , 
2020/1/6, 15, 13, 5, , 
2020/1/7, 12, 13, , , 
2020/1/8, 24, 11, 4, , 
2020/1/9, 27, 10, 1, , 
2020/1/10, 14, 15, 2, , 
2020/1/11, 21, 15, , , 
2020/1/12, 17, 14, , , 
2020/1/13, 22, 14, , , 
2020/1/14, 19, 15, , , 
2020/1/15, 13, , , , 
2019/10/1, 29, 7, 4, , 
2019/10/2, 27, 9, 4, , 
2019/10/3, 27, 9, 2, , 
2019/10/4, 15, 8, 4, , 
2019/10/5, 25, 7, 3, , 
2019/10/6, 29, 13, 2, , 
2019/10/7, 19, 11, 2, , 
2019/10/8, 14, 14, 4, , 
2019/10/9, 26, 10, 4, , 
2019/10/10, 38, 9, 4, , 
2019/10/11, 31, 9, 3, , 
2019/10/12, 45, 11, 3, , 
2019/10/13, 35, 8, 3, , 
2019/10/14, 50, 4, 4, , 
2019/10/15, 43, 13, 3, , 
2019/10/16, 25, 11, 3, , 
2019/10/17, 22, 11, 3, , 
2019/10/18, 23, 12, 1, , 
2019/10/19, 24, 13, 1, , 
2019/10/20, 25, 12, 3, , 
2019/10/21, 17, 13, 3, , 
2019/10/22, 29, 6, 5, , 
2019/10/23, 32, 2, 5, , 
2019/10/24, 37, 13, 4, , 
2019/10/25, 23, 11, 4, , 
2019/10/26, 38, 10, 3, , 
2019/10/27, 25, 9, 3, , 
2019/10/28, 33, 15, 3, , 
2019/10/29, 24, 10, 7, , 
2019/10/30, 48, 7, 7, , 
2019/10/31, 68, 7, 3, , 
2019/11/1, 47, 5, 4, , 
2019/11/2, 55, 6, 4, , 
2019/11/3, 61, 4, 4, , 
2019/11/4, 41, 6, 3, , 
2019/11/5, 39, 7, 3, , 
2019/11/6, 27, 6, 4, , 
2019/11/7, 37, 2, 6, , 
2019/11/8, 52, 6, 3, , 
2019/11/9, 38, 6, 2, , 
2019/11/10, 28, 8, 2, , 
2019/11/11, 25, 6, 4, , 
2019/11/12, 23, 5, 3, , 
2019/11/13, 35, 3, 3, , 
2019/11/14, 27, 12, 4, , 
2019/11/15, 32, 8, 3, , 
2019/11/16, 27, 13, 2, , 
2019/11/17, 18, 6, 3, , 
2019/11/18, 19, 10, 5, , 
2019/11/19, 27, 10, 4, , 
2019/11/20, 29, 6, 6, , 
2019/11/21, 47, 4, 6, , 
2019/11/22, 55, 7, 3, , 
2019/11/23, 36, 15, 1, , 
2019/11/24, 24, 11, 5, , 
2019/11/25, 29, 13, 2, , 
2019/11/26, 28, 14, , , 
2019/11/27, 19, 12, , , 
2019/11/28, 22, 10, 6, , 
