date, pm25, o3
2020/1/3, 81, 16
2020/1/4, 50, 21
2020/1/5, 41, 25
2020/1/6, 49, 14
2020/1/7, 84, 8
2020/1/8, 102, 12
2020/1/9, 59, 13
2020/1/10, 58, 7
2020/1/11, 37, 21
2020/1/12, 42, 25
2020/1/13, 64, 16
2020/1/14, 57, 18
2020/1/15, 75, 18
2019/10/1, 46, 21
2019/10/2, 48, 15
2019/10/3, 51, 18
2019/10/4, 51, 11
2019/10/5, 52, 14
2019/10/6, 44, 19
2019/10/7, 55, 18
2019/10/8, 52, 18
2019/10/9, 57, 11
2019/10/10, 65, 14
2019/10/11, 58, 17
2019/10/12, 54, 20
2019/10/13, 50, 17
2019/10/14, 62, 20
2019/10/15, 51, 29
2019/10/16, 52, 18
2019/10/17, 61, 20
2019/10/18, 56, 21
2019/10/19, 63, 18
2019/10/20, 81, 13
2019/10/21, 82, 15
2019/10/22, 82, 13
2019/10/23, 74, 19
2019/10/24, 73, 9
2019/10/25, 72, 16
2019/10/26, 93, 21
2019/10/27, 72, 18
2019/10/28, 56, 21
2019/10/29, 53, 19
2019/10/31, 76, 16
2019/11/1, 56, 21
2019/11/2, 63, 14
2019/11/3, 68, 14
2019/11/4, 56, 12
2019/11/5, 50, 13
2019/11/6, 58, 13
2019/11/7, 61, 20
2019/11/8, 74, 21
2019/11/9, 43, 12
2019/11/10, 56, 12
2019/11/11, 53, 15
2019/11/12, 52, 23
2019/11/13, 50, 20
2019/11/15, 69, 13
2019/11/16, 84, 15
2019/11/17, 67, 19
2019/11/18, 67, 13
2019/11/19, 71, 15
2019/11/20, 58, 18
2019/11/22, 51, 16
2019/11/23, 53, 17
2019/11/24, 57, 15
2019/11/25, 68, 11
2019/11/26, 80, 8
2019/11/27, 66, 13
2019/11/28, 75, 12
2019/11/29, 54, 23
2019/11/30, 41, 21
2019/12/1, 44, 19
2019/12/2, 76, 24
2019/12/3, 61, 18
2019/12/4, 51, 17
2019/12/5, 71, 10
2019/12/6, 98, 13
2019/12/7, 92, 27
2019/12/8, 37, 14
2019/12/9, 69, 12
2019/12/10, 80, 20
2019/12/11, 39, 21
2019/12/12, 44, 22
2019/12/13, 51, 16
2019/12/14, 54, 22
2019/12/15, 42, 21
2019/12/16, 55, 14
2019/12/17, 95, 18
2019/12/18, 81, 25
2019/12/19, 56, 18
2019/12/20, 59, 15
2019/12/21, 71, 10
2019/12/22, 64, 7
2019/12/23, 48, 8
2019/12/24, 40, 14
2019/12/25, 27, 20
2019/12/26, 24, 14
2019/12/27, 27, 21
2019/12/28, 31, 
2019/7/3, 36, 24
2019/7/4, 36, 24
2019/7/5, 36, 24
2019/7/6, 32, 27
2019/7/7, 33, 27
2019/7/8, 38, 22
2019/7/9, 39, 24
2019/7/10, 35, 18
2019/7/11, 36, 18
2019/7/12, 54, 24
2019/7/13, 54, 26
2019/7/15, 48, 27
2019/7/16, 54, 19
2019/7/17, 40, 21
2019/7/18, 39, 25
2019/7/19, 51, 27
2019/7/20, 56, 40
2019/7/21, 56, 51
2019/7/22, 49, 26
2019/7/23, 41, 26
2019/7/24, 38, 29
2019/7/25, 47, 26
2019/7/26, 38, 25
2019/7/27, 45, 23
2019/7/28, 55, 36
2019/7/29, 65, 23
2019/7/30, 49, 23
2019/7/31, 35, 23
2019/8/1, 38, 15
2019/8/2, 41, 25
2019/8/3, 48, 27
2019/8/4, 36, 26
2019/8/5, 36, 27
2019/8/6, 50, 29
2019/8/7, 50, 28
2019/8/8, 54, 26
2019/8/9, 41, 26
2019/8/10, 40, 29
2019/8/11, 39, 28
2019/8/12, 57, 29
2019/8/13, 47, 24
2019/8/14, 54, 17
2019/8/15, 38, 31
2019/8/16, 41, 32
2019/8/17, 47, 42
2019/8/18, 35, 48
2019/8/19, 46, 32
2019/8/20, 33, 27
2019/8/21, 31, 20
2019/8/22, 35, 24
2019/8/23, 49, 25
2019/8/24, 52, 38
2019/8/25, 46, 28
2019/8/26, 48, 30
2019/8/27, 59, 30
2019/8/28, 52, 37
2019/8/29, 45, 32
2019/8/30, 50, 34
2019/8/31, 49, 28
2019/9/1, 38, 32
2019/9/2, 30, 30
2019/9/3, 31, 20
2019/9/4, 39, 22
2019/9/5, 45, 32
2019/9/6, 45, 25
2019/9/7, 41, 31
2019/9/8, 35, 39
2019/9/9, 52, 41
2019/9/10, 52, 33
2019/9/11, 51, 31
2019/9/12, 62, 30
2019/9/13, 47, 20
2019/9/14, 34, 20
2019/9/15, 35, 29
2019/9/16, 37, 24
2019/9/17, 32, 22
2019/9/18, 32, 19
2019/9/19, 34, 17
2019/9/20, 31, 20
2019/9/21, 45, 17
2019/9/22, 34, 20
2019/9/23, 29, 20
2019/9/24, 60, 20
2019/9/25, 62, 16
2019/9/26, 56, 18
2019/9/27, 62, 18
2019/9/28, 67, 16
2019/9/30, 47, 20
2019/4/1, 45, 28
2019/4/3, 54, 35
2019/4/4, 64, 39
2019/4/5, 73, 44
2019/4/6, 90, 38
2019/4/7, 93, 34
2019/4/8, 101, 28
2019/4/9, 75, 29
2019/4/10, 55, 25
2019/4/11, 62, 28
2019/4/12, 60, 34
2019/4/13, 48, 35
2019/4/14, 49, 31
2019/4/15, 49, 33
2019/4/16, 56, 39
2019/4/17, 57, 37
2019/4/18, 64, 41
2019/4/19, 63, 44
2019/4/20, 57, 38
2019/4/21, 53, 57
2019/4/22, 62, 65
2019/4/23, 77, 67
2019/4/24, 93, 47
2019/4/25, 108, 43
2019/4/26, 121, 46
2019/4/27, 91, 43
2019/4/28, 87, 45
2019/4/29, 61, 42
2019/4/30, 58, 43
2019/5/1, 53, 31
2019/5/3, 46, 33
2019/5/4, 45, 28
2019/5/7, 39, 33
2019/5/8, 50, 33
2019/5/9, 54, 31
2019/5/10, 53, 26
2019/5/11, 60, 36
2019/5/12, 65, 27
2019/5/13, 58, 22
2019/5/14, 53, 27
2019/5/15, 51, 27
2019/5/16, 53, 29
2019/5/17, 48, 43
2019/5/18, 64, 44
2019/5/19, 60, 39
2019/5/20, 59, 44
2019/5/21, 62, 46
2019/5/22, 59, 37
2019/5/23, 61, 26
2019/5/24, 70, 37
2019/5/25, 66, 33
2019/5/26, 54, 36
2019/5/27, 55, 28
2019/5/28, 59, 26
2019/5/29, 58, 33
2019/5/30, 48, 32
2019/5/31, 47, 31
2019/6/1, 48, 31
2019/6/2, 49, 36
2019/6/3, 51, 37
2019/6/6, 61, 44
2019/6/7, 62, 43
2019/6/8, 56, 39
2019/6/9, 52, 42
