date, pm25, pm10, o3, no2, so2, co
2020/1/2, 142, 68, 30, 10, 3, 9
2020/1/3, 137, 43, 22, 9, 4, 8
2020/1/4, 70, 39, 27, 8, 4, 7
2020/1/5, 58, 66, 33, 10, 5, 8
2020/1/6, 131, 74, 33, 12, 4, 8
2020/1/7, 145, 69, 36, 12, 4, 8
2020/1/8, 128, 142, 29, 26, 3, 11
2020/1/9, 148, 66, 29, 10, 4, 9
2020/1/10, 131, 93, 38, 12, 4, 10
2020/1/11, 165, 86, 42, 15, 5, 9
2020/1/12, 157, 160, 58, 32, 7, 13
2020/1/13, 176, 253, 30, 35, 7, 18
2020/1/14, 235, 125, 21, 22, 3, 11
2020/1/15, 168, 89, 28, 19, 6, 9
2020/1/16, 170, , , , , 
2019/12/3, 158, 79, 39, 15, 7, 6
2019/12/4, 154, 87, 44, 14, 7, 6
2019/12/5, 161, 78, 43, 18, 7, 6
2019/12/6, 149, 59, 31, 13, 9, 6
2019/12/7, 104, 43, 24, 11, 8, 6
2019/12/8, 64, 43, 26, 14, 9, 8
2019/12/9, 49, 68, 26, 17, 9, 8
2019/12/10, 72, 69, 26, 18, 9, 9
2019/12/11, 83, 78, 22, 19, 8, 9
2019/12/12, 100, 78, 29, 15, 9, 8
2019/12/13, 104, 58, 31, 12, 18, 7
2019/12/14, 106, 52, 25, 9, 10, 7
2019/12/15, 88, 73, 32, 13, 2, 9
2019/12/16, 142, 83, 35, 12, 4, 9
2019/12/17, 160, 86, 38, 11, 3, 10
2019/12/18, 161, 84, 38, 13, 4, 10
2019/12/19, 160, 82, 42, 11, 3, 8
2019/12/20, 157, 96, 39, 17, 4, 10
2019/12/21, 159, , 42, 12, 4, 9
2019/12/22, 158, , 43, 15, 4, 10
2019/12/23, 163, , 38, 18, 2, 12
2019/12/24, 171, , 42, 19, 4, 11
2019/12/25, 148, , 34, 23, 4, 10
2019/12/26, 137, , 25, 22, 4, 11
2019/12/27, 123, , 25, 14, 3, 10
2019/12/28, 153, , 30, 9, 3, 7
2019/12/29, 133, , , , , 
2020/1/1, , 76, 24, 18, 4, 11
2019/12/2, , 86, 37, 17, 4, 8
