date, pm25, pm10, o3, no2, so2, co
2020/1/2, 77, 38, 16, 13, , 
2020/1/3, 77, 28, 20, 14, , 
2020/1/4, 61, 18, 10, 7, , 
2020/1/5, 60, 21, 20, 9, , 
2020/1/6, 58, 19, 12, 7, , 
2020/1/7, 60, 20, 11, 8, , 
2020/1/8, 62, 16, 17, 8, , 
2020/1/9, 51, 11, 14, 11, , 
2020/1/10, 47, , 18, 11, , 
2020/1/11, 57, , 17, 11, , 
2020/1/12, 55, , 17, 12, , 
2020/1/13, 57, , 17, 12, , 
2020/1/14, 59, 30, 20, 14, , 
2020/1/15, 62, , , , , 
2019/10/1, 27, 60, 39, 10, , 
2019/10/2, 39, 56, 42, 10, , 
2019/10/3, 44, 51, 34, 8, , 
2019/10/4, 37, 58, 43, 10, , 
2019/10/5, 48, 49, 55, 10, , 
2019/10/6, 49, 70, 60, 15, , 
2019/10/7, 60, 65, 55, 14, , 
2019/10/8, 49, 91, 42, 10, , 
2019/10/9, 56, 71, 32, 9, , 
2019/10/10, 46, 70, 40, 12, , 
2019/10/11, 62, 61, 47, 11, , 
2019/10/12, 54, 46, 48, 9, , 
2019/10/13, 47, 66, 42, 14, , 
2019/10/14, 56, 73, 58, 14, , 
2019/10/15, 64, 86, 54, 16, , 
2019/10/16, 76, 72, 30, 9, , 
2019/10/17, 45, 50, 31, 9, , 
2019/10/18, 37, 55, 37, 14, , 
2019/10/19, 58, 40, 24, 11, , 
2019/10/20, 57, 50, 39, 12, , 
2019/10/21, 58, 58, 50, 16, , 
2019/10/22, 60, 60, 49, 14, , 
2019/10/23, 56, 64, 53, 14, , 
2019/10/24, 54, 70, 45, 16, , 
2019/10/25, 59, 59, 51, 13, , 
2019/10/26, 55, 365, 28, 10, , 
2019/10/27, 93, 183, 28, 11, , 
2019/10/28, 74, 99, 33, 13, , 
2019/10/29, 60, 160, 29, 14, , 
2019/10/30, 70, 91, 33, 15, , 
2019/10/31, 54, 83, 37, 17, , 
2019/11/1, 62, 73, 41, 18, , 
2019/11/2, 67, 60, 50, 15, , 
2019/11/3, 65, 67, 48, 19, , 
2019/11/4, 63, 70, 48, 21, , 
2019/11/5, 69, 84, 55, 24, , 
2019/11/6, 93, 79, 49, 22, , 
2019/11/7, 89, 89, 51, 23, , 
2019/11/8, 112, 74, 52, 18, , 
2019/11/9, 97, 62, 51, 16, , 
2019/11/10, 85, 76, 50, 21, , 
2019/11/11, 91, 74, 48, 22, , 
2019/11/12, 85, 82, 31, 26, , 
2019/11/13, 96, 80, 37, 15, , 
2019/11/14, 89, 61, 25, 16, , 
2019/11/15, 72, 67, 32, 14, , 
2019/11/16, 89, 56, 38, 15, , 
2019/11/17, 87, 69, 41, 18, , 
2019/11/18, 97, 64, 39, 13, , 
2019/11/19, 72, 31, 18, 9, , 
2019/11/20, 27, 24, 26, 11, , 
2019/11/21, 30, 47, 28, 15, , 
2019/11/22, 50, 65, 27, 19, , 
2019/11/23, 91, 49, 30, 15, , 
2019/11/24, 72, 198, 25, 14, , 
2019/11/25, 81, 86, 24, 10, , 
2019/11/26, 55, 11, 23, 6, , 
2019/11/27, 26, 6, 24, 6, , 
2019/11/28, 19, 6, 25, 6, , 
2019/11/29, 22, 7, 22, 6, , 
2019/11/30, 19, 9, 18, 7, , 
2019/12/1, 31, 20, 19, 10, , 
2019/12/2, 48, 32, 4, 13, , 
2019/12/3, 81, 20, 14, 11, , 
2019/12/4, 59, 15, 20, 12, , 
2019/12/5, 31, 22, 16, 14, , 
2019/12/6, 45, 8, 16, 7, , 
2019/12/7, 24, 7, 26, 6, , 
2019/12/8, 20, 12, 15, 9, , 
2019/12/9, 38, 20, 13, 11, , 
2019/12/10, 60, 24, 10, 8, , 
