date, pm25, pm10, o3, no2, so2, co
2020/1/2, 15, 21, 19, 5, 34, 1
2020/1/3, 16, 15, 24, 4, 9, 1
2020/1/4, 13, 16, 21, 3, 19, 2
2020/1/5, 14, 21, 12, 2, 37, 1
2020/1/6, 22, 21, 12, , 36, 2
2020/1/7, 21, 19, 16, , 48, 1
2020/1/8, 19, 15, 17, , 43, 1
2020/1/9, 15, 15, 27, 1, 49, 3
2020/1/10, 14, 15, 22, 2, 49, 1
2020/1/11, 14, 18, 18, 4, 21, 1
2020/1/12, 16, 26, 18, 10, 19, 1
2020/1/13, 25, 21, 21, 3, 1, 1
2020/1/14, 20, 24, 14, 4, 2, 1
2020/1/15, 20, , , , , 
2019/12/18, 16, 21, 13, 2, 35, 1
2019/12/19, 16, 18, 10, 3, 24, 1
2019/12/20, 14, 18, 13, 2, 27, 1
2019/12/21, 13, 19, 15, 2, 27, 1
2019/12/22, 15, 23, 15, 2, 45, 2
2019/12/23, 19, 20, 18, 3, 43, 1
2019/12/24, 17, 16, 13, 3, 28, 1
2019/12/25, 14, 15, 13, 2, 17, 1
2019/12/26, 13, 17, 9, 1, 19, 
2019/12/27, 15, , , , , 
2020/1/1, , 17, 19, 3, 34, 2
2019/12/17, , 22, 8, 2, 40, 3
