date, pm25, o3, no2, so2, co
2020/1/2, 29, 25, , , 
2020/1/3, 25, 29, , , 
2020/1/4, 24, 34, , , 
2020/1/5, 24, 32, , , 
2020/1/6, 25, 33, , , 
2020/1/7, 21, 40, , , 
2020/1/8, 26, 28, , , 
2020/1/9, 22, 26, , , 
2020/1/10, 27, 25, , , 
2020/1/11, 22, 25, , , 
2020/1/12, 24, 18, , , 
2020/1/13, 32, 11, , , 
2020/1/14, 27, 14, , , 
2020/1/15, 33, 4, , , 
2020/1/16, 39, , , , 
2019/10/1, 23, 41, , , 
2019/10/2, 29, 43, , , 
2019/10/3, 36, 47, , , 
2019/10/4, 35, 50, , , 
2019/10/5, 39, 55, , , 
2019/10/6, 42, 34, , , 
2019/10/7, 20, 42, , , 
2019/10/8, 20, 43, , , 
2019/10/9, 36, 31, , , 
2019/10/10, 25, 27, , , 
2019/10/11, 20, 35, , , 
2019/10/12, 20, 37, , , 
2019/10/13, 24, 28, , , 
2019/10/14, 37, 11, , , 
2019/10/15, 26, 34, , , 
2019/10/16, 23, 33, , , 
2019/10/17, 35, 41, , , 
2019/10/18, 48, 42, , , 
2019/10/21, 23, 34, , , 
2019/10/22, 24, 42, , , 
2019/10/23, 24, 36, , , 
2019/10/24, 23, 16, , , 
2019/10/25, 15, 35, , , 
2019/10/26, 21, 44, , , 
2019/10/27, 24, 20, , , 
2019/10/28, 33, 5, , , 
2019/10/29, 21, 13, , , 
2019/10/30, 18, 26, , , 
2019/10/31, 21, 32, , , 
2019/11/1, 25, 37, , , 
2019/11/2, 32, 43, , , 
2019/11/3, 33, 38, , , 
2019/11/4, 30, 19, , , 
2019/11/5, 33, 40, , , 
2019/11/6, 34, 29, , , 
2019/11/7, 29, 11, , , 
2019/11/8, 31, 30, , , 
2019/11/9, 29, 40, , , 
2019/11/10, 29, 24, , , 
2019/11/11, 22, 24, , , 
2019/11/12, 20, 23, , , 
2019/11/13, 26, 23, , , 
2019/11/14, 31, 31, , , 
2019/11/15, 32, 36, , , 
2019/11/16, 43, 41, , , 
2019/11/17, 39, 35, , , 
2019/11/18, 28, 45, , , 
2019/11/19, 35, 32, , , 
2019/11/20, 30, 25, , , 
2019/11/21, 24, 13, , , 
2019/11/22, 17, 21, , , 
2019/11/23, 23, 34, , , 
2019/11/24, 29, 35, , , 
2019/11/25, 26, 21, , , 
2019/11/26, 46, 29, , , 
2019/11/27, 24, 21, , , 
2019/11/28, 24, 9, , , 
