date, pm25
2020/1/1, 21
2020/1/2, 29
2020/1/3, 30
2020/1/4, 32
2020/1/5, 21
2020/1/6, 27
2020/1/7, 20
2020/1/8, 18
2020/1/9, 33
2020/1/10, 45
2020/1/11, 23
2020/1/12, 28
2020/1/13, 37
2020/1/14, 49
2020/1/15, 45
2020/1/16, 63
2019/10/1, 12
2019/10/2, 7
2019/10/3, 10
2019/10/4, 14
2019/10/5, 16
2019/10/6, 15
2019/10/7, 23
2019/10/8, 17
2019/10/9, 25
2019/10/10, 23
2019/10/11, 10
2019/10/12, 24
2019/10/13, 13
2019/10/14, 18
2019/10/15, 23
2019/10/16, 16
2019/10/17, 35
2019/10/18, 26
2019/10/19, 35
2019/10/20, 32
2019/10/21, 26
2019/10/22, 15
2019/10/23, 20
2019/10/24, 25
2019/10/25, 47
2019/10/26, 56
2019/10/27, 42
2019/10/28, 20
2019/10/29, 26
2019/10/30, 23
2019/10/31, 31
2019/11/1, 26
2019/11/2, 32
2019/11/3, 32
2019/11/4, 31
2019/11/5, 24
2019/11/6, 31
2019/11/7, 29
2019/11/8, 41
2019/11/9, 39
2019/11/10, 41
2019/11/11, 15
2019/11/12, 18
2019/11/13, 33
2019/11/14, 47
2019/11/15, 59
2019/11/16, 69
2019/11/17, 56
2019/11/18, 37
2019/11/19, 37
2019/11/20, 39
2019/11/21, 27
2019/11/22, 23
2019/11/23, 34
2019/11/24, 42
2019/11/25, 34
2019/11/26, 19
2019/11/27, 16
2019/11/28, 21
2019/11/29, 34
2019/11/30, 17
2019/12/1, 16
2019/12/2, 25
2019/12/3, 24
2019/12/4, 21
2019/12/5, 46
2019/12/6, 42
2019/12/7, 40
2019/12/8, 59
2019/12/9, 45
2019/12/10, 39
2019/12/11, 45
2019/12/12, 65
2019/12/13, 75
2019/12/14, 53
2019/12/15, 32
2019/12/16, 45
2019/12/17, 39
2019/12/18, 35
2019/12/19, 62
2019/12/20, 54
2019/12/21, 61
2019/12/22, 52
2019/12/23, 54
2019/12/24, 55
2019/12/25, 40
2019/12/26, 43
2019/12/27, 56
2019/12/28, 56
2019/7/1, 23
2019/7/2, 25
2019/7/3, 19
2019/7/4, 52
2019/7/5, 29
2019/7/6, 39
2019/7/7, 67
2019/7/8, 65
2019/7/9, 58
2019/7/10, 13
2019/7/11, 19
2019/7/12, 25
2019/7/13, 20
2019/7/14, 33
2019/7/15, 24
2019/7/16, 15
2019/7/17, 10
2019/7/18, 25
2019/7/19, 26
2019/7/20, 18
2019/7/21, 12
2019/7/22, 19
2019/7/23, 35
2019/7/24, 45
2019/7/25, 45
2019/7/26, 43
2019/7/27, 46
2019/7/28, 43
2019/7/29, 23
2019/7/30, 21
2019/7/31, 21
2019/8/1, 35
2019/8/2, 32
2019/8/3, 33
2019/8/4, 36
2019/8/5, 39
2019/8/6, 21
2019/8/7, 27
2019/8/8, 23
2019/8/9, 26
2019/8/10, 25
2019/8/11, 21
2019/8/12, 24
2019/8/13, 15
2019/8/14, 15
2019/8/15, 19
2019/8/16, 27
2019/8/17, 27
2019/8/18, 10
2019/8/19, 18
2019/8/20, 15
2019/8/21, 15
2019/8/22, 18
2019/8/23, 16
2019/8/24, 21
2019/8/25, 21
2019/8/26, 20
2019/8/27, 19
2019/8/28, 23
2019/8/29, 20
2019/8/30, 23
2019/8/31, 18
2019/9/1, 24
2019/9/2, 24
2019/9/3, 28
2019/9/4, 27
2019/9/5, 19
2019/9/6, 18
2019/9/7, 25
2019/9/8, 15
2019/9/9, 30
2019/9/10, 20
2019/9/11, 22
2019/9/12, 14
2019/9/13, 13
2019/9/14, 20
2019/9/15, 24
2019/9/16, 22
2019/9/17, 36
2019/9/18, 32
2019/9/19, 20
2019/9/20, 40
2019/9/21, 20
2019/9/22, 10
2019/9/23, 18
2019/9/24, 17
2019/9/25, 13
2019/9/26, 14
2019/9/27, 16
2019/9/28, 21
2019/9/29, 9
2019/9/30, 24
2019/4/1, 35
2019/4/2, 36
2019/4/3, 33
2019/4/4, 35
2019/4/5, 60
2019/4/6, 42
2019/4/7, 39
2019/4/8, 23
2019/4/9, 19
2019/4/10, 17
2019/4/11, 31
2019/4/12, 13
2019/4/13, 14
2019/4/14, 21
2019/4/15, 41
2019/4/16, 43
2019/4/17, 43
2019/4/18, 14
2019/4/19, 17
2019/4/20, 47
2019/4/21, 31
2019/4/22, 30
2019/4/23, 21
2019/4/24, 45
2019/4/25, 40
2019/4/26, 27
2019/4/27, 27
2019/4/28, 23
2019/4/29, 23
2019/4/30, 27
2019/5/1, 15
2019/5/2, 22
2019/5/3, 27
2019/5/4, 35
2019/5/5, 23
2019/5/6, 27
2019/5/7, 20
2019/5/8, 22
2019/5/9, 14
2019/5/10, 31
2019/5/11, 35
2019/5/12, 28
2019/5/13, 34
2019/5/14, 30
2019/5/15, 38
2019/5/16, 42
2019/5/17, 29
2019/5/18, 26
2019/5/19, 15
2019/5/20, 14
2019/5/21, 23
2019/5/22, 19
2019/5/23, 17
2019/5/24, 22
2019/5/25, 24
2019/5/26, 28
2019/5/27, 24
2019/5/28, 19
2019/5/29, 29
2019/5/30, 24
2019/5/31, 54
2019/6/1, 66
2019/6/2, 41
2019/6/3, 38
2019/6/4, 44
2019/6/5, 22
2019/6/6, 35
2019/6/7, 40
2019/6/8, 38
2019/6/9, 38
2019/6/10, 31
2019/6/11, 36
2019/6/12, 21
2019/6/13, 23
2019/6/14, 24
2019/6/15, 26
2019/6/16, 15
2019/6/17, 24
2019/6/18, 24
2019/6/19, 18
2019/6/20, 27
2019/6/21, 26
2019/6/22, 25
2019/6/23, 12
2019/6/24, 19
2019/6/25, 23
2019/6/26, 26
2019/6/27, 29
2019/6/28, 25
2019/6/29, 37
2019/6/30, 40
2019/1/1, 28
2019/1/2, 30
2019/1/3, 31
2019/1/4, 34
2019/1/5, 31
2019/1/6, 35
2019/1/7, 43
2019/1/8, 34
2019/1/9, 28
2019/1/10, 46
2019/1/11, 50
2019/1/12, 68
2019/1/13, 51
2019/1/14, 60
2019/1/15, 40
2019/1/16, 47
2019/1/17, 60
2019/1/18, 47
2019/1/19, 32
2019/1/20, 32
2019/1/21, 31
2019/1/22, 55
2019/1/23, 60
2019/1/24, 43
2019/1/25, 43
2019/1/26, 75
2019/1/27, 61
2019/1/28, 47
2019/1/29, 32
2019/1/30, 35
2019/1/31, 51
2019/2/1, 64
2019/2/2, 58
2019/2/3, 32
2019/2/4, 33
2019/2/5, 44
2019/2/6, 34
2019/2/7, 33
2019/2/8, 28
2019/2/9, 30
2019/2/10, 52
2019/2/11, 71
2019/2/12, 43
2019/2/13, 56
2019/2/14, 50
2019/2/15, 38
2019/2/16, 50
2019/2/17, 33
2019/2/18, 37
2019/2/19, 72
2019/2/20, 59
2019/2/21, 72
2019/2/22, 80
2019/2/23, 67
2019/2/24, 47
2019/2/25, 50
2019/2/26, 38
2019/2/27, 53
2019/2/28, 66
2019/3/1, 81
2019/3/2, 74
2019/3/3, 40
2019/3/4, 38
2019/3/5, 30
2019/3/6, 44
2019/3/7, 61
2019/3/8, 73
2019/3/9, 60
2019/3/10, 47
2019/3/11, 64
2019/3/12, 48
2019/3/13, 31
2019/3/14, 21
2019/3/15, 24
2019/3/16, 26
2019/3/17, 32
2019/3/18, 43
2019/3/19, 39
2019/3/20, 46
2019/3/21, 32
2019/3/22, 38
2019/3/23, 35
2019/3/24, 53
2019/3/25, 26
2019/3/26, 23
2019/3/27, 34
2019/3/28, 31
2019/3/29, 24
2019/3/30, 32
2019/3/31, 20
2018/10/1, 20
2018/10/2, 29
2018/10/3, 29
2018/10/4, 28
2018/10/5, 29
2018/10/6, 33
2018/10/7, 21
2018/10/8, 17
2018/10/9, 21
2018/10/10, 19
2018/10/11, 27
2018/10/12, 37
2018/10/13, 41
2018/10/14, 32
2018/10/15, 31
2018/10/16, 28
2018/10/17, 41
2018/10/18, 46
2018/10/19, 31
2018/10/20, 34
2018/10/21, 38
2018/10/22, 48
2018/10/23, 41
2018/10/24, 46
2018/10/25, 47
2018/10/26, 59
2018/10/27, 69
