date, pm25, pm10, o3, no2, so2, co
2020/1/2, 211, 229, 14, 52, 30, 
2020/1/3, 297, 274, 22, 55, 27, 
2020/1/4, 347, 230, 4, 39, 12, 
2020/1/5, 297, 49, 19, 16, 4, 
2020/1/6, 119, 33, 25, 10, 3, 
2020/1/7, 84, 66, 22, 28, 16, 
2020/1/8, 153, 104, 24, 35, 18, 
2020/1/9, 184, 120, 18, 39, 20, 
2020/1/10, 200, 111, 24, 28, 18, 
2020/1/11, 193, 80, 24, 26, 13, 
2020/1/12, 153, 122, 20, 30, 13, 
2020/1/13, 199, 82, 25, 25, 14, 
2020/1/14, 160, 110, 22, 29, 11, 
2020/1/15, 184, 154, 17, 34, 15, 
2020/1/16, 215, , , , , 
2019/10/1, 134, 77, 64, 14, 2, 
2019/10/2, 146, 92, 104, 24, 6, 
2019/10/3, 149, 59, 42, 7, 1, 
2019/10/4, 89, 32, 32, 10, 2, 
2019/10/5, 37, 67, 23, 30, 7, 
2019/10/6, 106, 74, 45, 26, 5, 
2019/10/7, 154, 73, 28, 20, 3, 
2019/10/8, 103, 92, 68, 20, 5, 
2019/10/9, 152, 43, 34, 13, 2, 
2019/10/10, 91, 42, 33, 13, 2, 
2019/10/11, 80, 67, 45, 19, 4, 
2019/10/12, 108, 69, 41, 18, 5, 
2019/10/13, 101, 35, 28, 11, 2, 
2019/10/14, 35, 61, 30, 24, 9, 
2019/10/15, 89, 93, 23, 31, 6, 
2019/10/16, 140, 119, 28, 39, 12, 
2019/10/17, 171, 123, 60, 37, 7, 
2019/10/18, 179, 133, 77, 32, 6, 
2019/10/19, 190, 107, 77, 22, 5, 
2019/10/20, 172, 147, 48, 31, 8, 
2019/10/21, 194, 168, 56, 36, 4, 
2019/10/22, 211, 137, 66, 38, 8, 
2019/10/23, 183, 138, 72, 34, 5, 
2019/10/24, 192, 46, 21, 14, 4, 
2019/10/25, 63, 81, 31, 29, 9, 
2019/10/26, 115, 89, 34, 28, 6, 
2019/10/27, 141, 141, 32, 21, 7, 
2019/10/28, 153, 112, 31, 29, 10, 
2019/10/29, 128, 186, 48, 28, 6, 
2019/10/30, 164, 173, 63, 44, 9, 
2019/10/31, 178, 125, 38, 36, 6, 
2019/11/1, 173, 100, 60, 26, 8, 
2019/11/2, 147, 78, 27, 20, 3, 
2019/11/3, 102, 76, 32, 28, 9, 
2019/11/4, 104, 103, 43, 31, 11, 
2019/11/5, 162, 106, 49, 33, 6, 
2019/11/6, 168, 91, 28, 22, 3, 
2019/11/7, 105, 85, 34, 30, 4, 
2019/11/8, 130, 142, 48, 31, 5, 
2019/11/9, 202, 104, 36, 17, 4, 
2019/11/10, 133, 94, 28, 29, 11, 
2019/11/11, 123, 106, 36, 31, 7, 
2019/11/12, 150, 92, 25, 19, 5, 
2019/11/13, 111, 91, 26, 21, 5, 
2019/11/14, 109, 122, 24, 38, 14, 
2019/11/15, 167, 92, 36, 20, 4, 
2019/11/16, 149, 101, 19, 26, 3, 
2019/11/17, 185, 115, 22, 13, 5, 
2019/11/18, 120, 127, 20, 25, 10, 
2019/11/19, 153, 132, 19, 31, 9, 
2019/11/20, 164, 81, 27, 23, 6, 
2019/11/21, 119, 72, 31, 20, 3, 
2019/11/22, 120, 80, 12, 21, 3, 
2019/11/23, 146, 46, 24, 8, 3, 
2019/11/24, 74, 45, 23, 13, 4, 
2019/11/25, 69, 87, 23, 23, 7, 
2019/11/26, 148, 63, 24, 13, 5, 
2019/11/27, 85, 50, 26, 16, 5, 
2019/11/28, 87, 103, 18, 27, 9, 
2019/11/29, 169, 108, 14, 28, 7, 
2019/11/30, 176, 61, 20, 23, 12, 
2019/12/1, 117, 80, 14, 30, 16, 
2019/12/2, 136, 85, 22, 28, 13, 
2019/12/3, 143, 94, 18, 33, 15, 
2019/12/4, 161, 65, 22, 21, 5, 
2019/12/5, 121, 69, 24, 25, 7, 
2019/12/6, 130, 140, 17, 30, 11, 
2019/12/7, 212, 146, 33, 31, 8, 
2019/12/8, 227, 209, 9, 42, 5, 
2019/12/9, 292, 168, 16, 39, 8, 
2019/12/10, 274, 94, 19, 28, 15, 
2019/12/11, 153, 75, 19, 28, 16, 
2019/12/12, 124, 89, 22, 29, 11, 
2019/12/13, 161, 72, 22, 28, 12, 
2019/12/14, 130, 75, 6, 26, 8, 
2019/12/15, 152, 61, 9, 19, 5, 
2019/12/16, 130, 61, 25, 17, 7, 
2019/12/17, 122, 57, 16, 22, 10, 
2019/12/18, 112, 83, 13, 27, 14, 
2019/12/19, 164, 84, 15, 27, 14, 
2019/12/20, 159, 121, 24, 29, 8, 
2019/12/21, 203, 107, 17, 28, 8, 
2019/12/22, 200, 116, 25, 24, 6, 
2019/12/23, 205, 68, 25, 20, 6, 
2019/12/24, 149, 93, 15, 26, 7, 
2019/12/25, 178, 67, 25, 20, 7, 
2019/12/26, 147, 80, 21, 23, 8, 
2019/12/27, 151, 86, 26, 24, 6, 
2019/12/28, 164, 90, 17, 27, 5, 
2019/12/29, 173, , , , , 
2019/7/1, 82, 80, 105, 18, 6, 
2019/7/2, 101, 65, 120, 12, 6, 
2019/7/3, 116, 104, 132, 20, 7, 
2019/7/4, 157, 90, 113, 13, 6, 
2019/7/5, 134, 64, 59, 13, 4, 
2019/7/6, 109, 41, 40, 8, 3, 
2019/7/7, 80, 56, 52, 13, 5, 
2019/7/8, 110, 73, 63, 19, 5, 
2019/7/9, 137, 54, 57, 14, 3, 
2019/7/10, 99, 73, 95, 18, 3, 
2019/7/11, 140, 80, 104, 19, 4, 
2019/7/12, 145, 88, 106, 19, 5, 
2019/7/13, 157, 54, 82, 12, 5, 
2019/7/14, 100, 62, 79, 16, 4, 
2019/7/15, 115, 84, 97, 17, 3, 
2019/7/16, 152, 53, 39, 9, 3, 
2019/7/17, 88, 44, 42, 10, 3, 
2019/7/18, 66, 32, 27, 10, 3, 
2019/7/19, 44, 54, 67, 12, 3, 
2019/7/20, 81, 61, 109, 14, 3, 
2019/7/21, 98, 86, 92, 12, 3, 
2019/7/22, 138, 47, 49, 10, 3, 
2019/7/23, 90, 55, 89, 16, 4, 
2019/7/24, 114, 82, 114, 21, 5, 
2019/7/25, 142, 78, 116, 22, 5, 
2019/7/26, 140, 52, 58, 8, 2, 
2019/7/27, 104, 53, 81, 10, 3, 
2019/7/28, 102, 54, 55, 11, 3, 
2019/7/29, 96, 54, 82, 12, 3, 
2019/7/30, 108, 56, 79, 12, 4, 
2019/7/31, 95, 50, 44, 14, 3, 
2019/8/1, 81, 33, 25, 12, 2, 
2019/8/2, 54, 44, 50, 10, 2, 
2019/8/3, 91, 38, 30, 6, 2, 
2019/8/4, 84, 28, 15, 7, 2, 
2019/8/5, 61, 29, 31, 5, 2, 
2019/8/6, 60, 39, 23, 11, 3, 
2019/8/7, 79, 41, 39, 11, 3, 
2019/8/8, 81, 42, 28, 9, 3, 
2019/8/9, 69, 30, 14, 9, 3, 
2019/8/10, 53, 12, 23, 3, 3, 
2019/8/11, 34, 9, 19, 5, 3, 
2019/8/12, 22, 23, 19, 8, 3, 
2019/8/13, 60, 31, 39, 7, 3, 
2019/8/14, 70, 52, 72, 13, 5, 
2019/8/15, 83, 62, 38, 24, 4, 
2019/8/16, 104, 56, 53, 17, 6, 
2019/8/17, 81, 62, 69, 22, 4, 
2019/8/18, 86, 58, 73, 16, 4, 
2019/8/19, 85, 69, 83, 19, 4, 
2019/8/20, 92, 66, 79, 16, 4, 
2019/8/21, 114, 83, 91, 25, 7, 
2019/8/22, 132, 74, 84, 25, 10, 
2019/8/23, 122, 66, 49, 24, 4, 
2019/8/24, 107, 54, 58, 17, 3, 
2019/8/25, 79, 54, 47, 18, 3, 
2019/8/26, 80, 83, 104, 23, 6, 
2019/8/27, 144, 76, 75, 22, 6, 
2019/8/28, 114, 63, 44, 21, 9, 
2019/8/29, 68, 69, 78, 22, 6, 
2019/8/30, 74, 55, 44, 16, 4, 
2019/8/31, 63, 54, 55, 12, 4, 
2019/9/1, 72, 58, 59, 17, 4, 
2019/9/2, 74, 64, 49, 21, 4, 
2019/9/3, 84, 76, 60, 24, 5, 
2019/9/4, 113, 80, 104, 23, 7, 
2019/9/5, 126, 86, 92, 19, 6, 
2019/9/6, 137, 77, 96, 17, 6, 
2019/9/7, 131, 83, 92, 17, 4, 
2019/9/8, 132, 82, 80, 16, 4, 
2019/9/9, 141, 72, 23, 24, 3, 
2019/9/10, 109, 41, 32, 11, 2, 
2019/9/11, 42, 55, 57, 17, 7, 
2019/9/12, 69, 67, 30, 18, 4, 
2019/9/13, 105, 43, 40, 11, 3, 
2019/9/14, 68, 67, 71, 23, 6, 
2019/9/15, 97, 62, 45, 15, 5, 
2019/9/16, 85, 78, 37, 28, 6, 
2019/9/17, 98, 68, 29, 14, 3, 
2019/9/18, 73, 78, 36, 28, 6, 
2019/9/19, 99, 95, 39, 35, 7, 
2019/9/20, 135, 93, 57, 25, 6, 
2019/9/21, 122, 67, 40, 15, 2, 
2019/9/22, 90, 78, 91, 28, 11, 
2019/9/23, 121, 97, 107, 26, 7, 
2019/9/24, 156, 79, 73, 16, 3, 
2019/9/25, 130, 80, 85, 22, 3, 
2019/9/26, 124, 71, 103, 17, 6, 
2019/9/27, 123, 85, 109, 20, 3, 
2019/9/28, 147, 92, 103, 19, 4, 
2019/9/29, 156, 82, 91, 15, 3, 
2019/9/30, 137, 71, 96, 11, 2, 
2019/4/1, 97, 75, 51, 20, 7, 
2019/4/2, 104, 71, 55, 19, 5, 
2019/4/3, 101, 96, 91, 13, 8, 
2019/4/4, 146, 199, 73, 18, 7, 
2019/4/5, 156, 132, 53, 17, 9, 
2019/4/6, 157, 96, 49, 18, 7, 
2019/4/7, 122, 77, 39, 18, 5, 
2019/4/8, 94, 33, 37, 11, 3, 
2019/4/9, 66, 60, 53, 16, 7, 
2019/4/10, 120, 98, 47, 32, 7, 
2019/4/11, 162, 112, 73, 25, 5, 
2019/4/12, 189, 111, 67, 20, 7, 
2019/4/13, 184, 74, 52, 19, 6, 
2019/4/14, 129, 83, 63, 20, 6, 
2019/4/15, 131, 92, 59, 19, 8, 
2019/4/16, 156, 111, 92, 18, 6, 
2019/4/17, 169, 128, 47, 16, 7, 
2019/4/18, 143, 95, 50, 24, 13, 
2019/4/19, 124, 76, 59, 17, 7, 
2019/4/20, 109, 90, 43, 22, 8, 
2019/4/21, 155, 78, 41, 16, 4, 
2019/4/22, 130, 53, 30, 12, 4, 
2019/4/23, 104, 87, 33, 11, 4, 
2019/4/24, 119, 56, 42, 9, 3, 
2019/4/25, 72, 60, 52, 19, 4, 
2019/4/26, 102, 78, 46, 25, 4, 
2019/4/27, 120, 40, 50, 12, 3, 
2019/4/28, 79, 52, 43, 11, 3, 
2019/4/29, 104, 122, 59, 21, 7, 
2019/4/30, 156, 95, 53, 22, 10, 
2019/5/1, 117, 94, 79, 29, 8, 
2019/5/2, 137, 92, 88, 24, 7, 
2019/5/3, 141, 90, 82, 18, 7, 
2019/5/4, 130, 121, 48, 18, 6, 
2019/5/5, 135, 99, 58, 21, 7, 
2019/5/6, 104, 77, 74, 23, 6, 
2019/5/7, 117, 90, 69, 19, 7, 
2019/5/8, 134, 87, 93, 25, 6, 
2019/5/9, 130, 105, 100, 23, 7, 
2019/5/10, 152, 77, 92, 13, 4, 
2019/5/11, 150, 91, 105, 16, 4, 
2019/5/12, 149, 198, 46, 11, 4, 
2019/5/13, 131, 134, 86, 17, 6, 
2019/5/14, 143, 91, 69, 14, 4, 
2019/5/15, 123, 64, 39, 10, 4, 
2019/5/16, 104, 42, 41, 6, 3, 
2019/5/17, 58, 48, 57, 11, 4, 
2019/5/18, 72, 95, 74, 13, 5, 
2019/5/19, 123, 90, 47, 11, 6, 
2019/5/20, 93, 87, 87, 18, 7, 
2019/5/21, 110, 90, 107, 25, 8, 
2019/5/22, 126, 107, 140, 30, 9, 
2019/5/23, 147, 89, 108, 20, 7, 
2019/5/24, 142, 93, 98, 15, 6, 
2019/5/25, 147, 67, 37, 11, 5, 
2019/5/26, 129, 63, 43, 11, 5, 
2019/5/27, 62, 79, 78, 24, 9, 
2019/5/28, 109, 70, 90, 19, 6, 
2019/5/29, 98, 73, 62, 14, 4, 
2019/5/30, 102, 79, 77, 20, 7, 
2019/5/31, 107, 86, 97, 16, 7, 
2019/6/1, 139, 97, 123, 14, 6, 
2019/6/2, 141, 94, 121, 14, 7, 
2019/6/3, 145, 95, 101, 17, 6, 
2019/6/4, 142, 65, 81, 11, 4, 
2019/6/5, 106, 45, 47, 9, 3, 
2019/6/6, 83, 44, 76, 5, 3, 
2019/6/7, 78, 55, 64, 10, 4, 
2019/6/8, 99, 60, 72, 9, 5, 
2019/6/9, 116, 62, 70, 12, 5, 
2019/6/10, 110, 78, 86, 18, 7, 
2019/6/11, 118, 80, 80, 15, 6, 
2019/6/12, 127, 66, 62, 10, 3, 
2019/6/13, 85, 58, 104, 10, 4, 
2019/6/14, 104, 65, 52, 16, 5, 
2019/6/15, 99, 63, 60, 13, 6, 
2019/6/16, 68, 76, 107, 12, 6, 
2019/6/17, 120, 85, 118, 13, 5, 
2019/6/18, 132, 64, 109, 9, 4, 
2019/6/19, 101, 67, 63, 17, 3, 
2019/6/20, 126, 77, 87, 14, 5, 
2019/6/21, 145, 62, 79, 17, 6, 
2019/6/22, 78, 80, 76, 19, 7, 
2019/6/23, 107, 76, 92, 15, 5, 
2019/6/24, 88, 59, 53, 9, 3, 
2019/6/25, 94, 49, 55, 7, 3, 
2019/6/26, 81, 77, 131, 13, 7, 
2019/6/27, 136, 76, 54, 20, 5, 
2019/6/28, 139, 76, 109, 13, 4, 
2019/6/29, 155, 76, 103, 14, 6, 
2019/6/30, 128, 54, 79, 14, 8, 
2019/1/1, 196, 148, 20, 39, 32, 
2019/1/2, 215, 182, 33, 41, 28, 
2019/1/3, 252, 192, 21, 47, 29, 
2019/1/4, 269, 84, 26, 32, 22, 
2019/1/5, 151, 113, 25, 32, 20, 
2019/1/6, 178, 163, 17, 44, 32, 
2019/1/7, 232, 107, 25, 33, 26, 
2019/1/8, 142, 92, 23, 29, 24, 
2019/1/9, 140, 113, 27, 30, 19, 
2019/1/10, 183, 181, 5, 39, 23, 
2019/1/11, 278, 243, 15, 36, 12, 
2019/1/12, 321, 292, 11, 42, 19, 
2019/1/13, 355, 271, 19, 40, 15, 
2019/1/14, 330, 129, 23, 22, 13, 
2019/1/15, 134, 82, 24, 27, 20, 
2019/1/16, 126, 127, 22, 33, 31, 
2019/1/17, 182, 135, 19, 35, 22, 
2019/1/18, 191, 165, 18, 33, 19, 
2019/1/19, 217, 91, 20, 30, 22, 
2019/1/20, 159, 109, 25, 33, 25, 
2019/1/21, 161, 124, 25, 35, 31, 
2019/1/22, 176, 149, 25, 40, 35, 
2019/1/23, 195, 155, 29, 40, 24, 
2019/1/24, 221, 84, 28, 16, 10, 
2019/1/25, 120, 92, 25, 31, 24, 
2019/1/26, 159, 100, 26, 30, 17, 
2019/1/27, 161, 95, 28, 26, 21, 
2019/1/28, 137, 106, 28, 28, 16, 
2019/1/29, 170, 151, 23, 33, 23, 
2019/1/30, 207, 63, 29, 9, 8, 
2019/1/31, 72, 103, 34, 14, 12, 
2019/2/1, 170, 100, 26, 17, 8, 
2019/2/2, 180, 125, 23, 22, 19, 
2019/2/3, 189, 158, 38, 16, 17, 
2019/2/4, 192, 118, 45, 12, 13, 
2019/2/5, 183, 123, 30, 12, 6, 
2019/2/6, 183, 47, 30, 4, 5, 
2019/2/7, 72, 39, 29, 7, 9, 
2019/2/8, 72, 58, 31, 11, 13, 
2019/2/9, 116, 32, 30, 8, 9, 
2019/2/10, 66, 95, 35, 17, 11, 
2019/2/11, 183, 123, 37, 20, 8, 
2019/2/12, 210, 93, 25, 18, 8, 
2019/2/13, 175, 57, 24, 15, 9, 
2019/2/14, 128, 69, 34, 15, 7, 
2019/2/15, 144, 60, 30, 21, 17, 
2019/2/16, 110, 78, 31, 28, 23, 
2019/2/17, 141, 94, 27, 29, 15, 
2019/2/18, 166, 145, 25, 23, 10, 
2019/2/19, 221, 199, 33, 29, 15, 
2019/2/20, 301, 133, 44, 36, 20, 
2019/2/21, 226, 149, 48, 45, 23, 
2019/2/22, 222, 158, 43, 45, 24, 
2019/2/23, 252, 135, 51, 42, 25, 
2019/2/24, 206, 131, 42, 35, 19, 
2019/2/25, 210, 83, 30, 26, 9, 
2019/2/26, 145, 167, 50, 37, 20, 
2019/2/27, 239, 181, 59, 39, 17, 
2019/2/28, 248, 216, 66, 42, 22, 
2019/3/1, 268, 179, 51, 44, 15, 
2019/3/2, 230, 159, 49, 39, 18, 
2019/3/3, 222, 150, 63, 32, 11, 
2019/3/4, 216, 132, 60, 31, 11, 
2019/3/5, 193, 167, 40, 26, 11, 
2019/3/6, 215, 83, 41, 26, 14, 
2019/3/7, 150, 96, 50, 25, 12, 
2019/3/8, 164, 71, 45, 18, 7, 
2019/3/9, 140, 114, 48, 28, 7, 
2019/3/10, 186, 79, 42, 20, 8, 
2019/3/11, 154, 73, 35, 18, 7, 
2019/3/12, 99, 76, 39, 26, 12, 
2019/3/13, 112, 86, 40, 27, 11, 
2019/3/14, 127, 69, 33, 17, 9, 
2019/3/15, 95, 82, 44, 18, 9, 
2019/3/16, 114, 105, 45, 26, 8, 
2019/3/17, 142, 100, 74, 21, 9, 
2019/3/18, 151, 95, 77, 15, 7, 
2019/3/19, 162, 58, 41, 15, 5, 
2019/3/20, 138, 58, 36, 14, 5, 
2019/3/21, 110, 73, 45, 24, 7, 
2019/3/22, 126, 69, 37, 18, 6, 
2019/3/23, 103, 88, 52, 20, 8, 
2019/3/24, 154, 107, 66, 29, 10, 
2019/3/25, 163, 130, 63, 34, 9, 
2019/3/26, 168, 106, 55, 18, 10, 
2019/3/27, 151, 95, 33, 20, 9, 
2019/3/28, 111, 72, 26, 23, 6, 
2019/3/29, 115, 85, 38, 17, 6, 
2019/3/30, 91, 71, 45, 21, 10, 
2019/3/31, 97, 81, 40, 21, 8, 
2018/10/1, 90, 83, 68, 29, 11, 
2018/10/2, 126, 103, 79, 34, 12, 
2018/10/3, 139, 114, 83, 33, 12, 
2018/10/4, 149, 117, 84, 30, 9, 
2018/10/5, 146, 108, 65, 35, 13, 
2018/10/6, 147, 93, 33, 31, 18, 
2018/10/7, 118, 131, 63, 28, 9, 
2018/10/8, 164, 52, 38, 17, 6, 
2018/10/9, 91, 53, 31, 22, 13, 
2018/10/10, 75, 73, 68, 26, 12, 
2018/10/11, 114, 138, 61, 31, 10, 
2018/10/12, 139, 126, 76, 37, 11, 
2018/10/13, 170, 98, 69, 33, 10, 
2018/10/14, 154, 99, 61, 30, 8, 
2018/10/15, 152, 112, 62, 31, 12, 
2018/10/16, 171, 61, 40, 19, 8, 
2018/10/17, 89, 69, 41, 25, 9, 
2018/10/18, 97, 79, 44, 31, 12, 
2018/10/19, 126, 99, 51, 31, 9, 
2018/10/20, 146, 75, 48, 24, 8, 
2018/10/21, 123, 76, 53, 23, 7, 
2018/10/22, 130, 101, 37, 29, 11, 
2018/10/23, 128, 111, 71, 30, 10, 
2018/10/24, 162, 121, 50, 24, 8, 
2018/10/25, 178, 87, 33, 17, 11, 
2018/10/26, 122, 83, 32, 24, 17, 
2018/10/27, 112, 85, 37, 25, 14, 
2018/10/28, 116, 62, 31, 21, 13, 
2018/10/29, 70, 79, 37, 26, 13, 
2018/10/30, 121, 102, 35, 29, 8, 
2018/10/31, 133, 126, 58, 43, 19, 
2018/11/1, 173, 147, 60, 39, 12, 
2018/11/2, 189, 89, 52, 27, 6, 
2018/11/3, 147, 89, 43, 26, 9, 
2018/11/4, 157, 51, 26, 11, 5, 
2018/11/5, 94, 41, 23, 19, 6, 
2018/11/6, 87, 65, 26, 23, 12, 
2018/11/7, 123, 59, 22, 24, 6, 
2018/11/8, 143, 84, 39, 26, 9, 
2018/11/9, 161, 111, 32, 31, 20, 
2018/11/10, 157, 86, 31, 29, 12, 
2018/11/11, 149, 143, 35, 33, 13, 
2018/11/12, 165, 134, 41, 38, 8, 
2018/11/13, 184, 139, 44, 35, 8, 
2018/11/14, 194, 116, 29, 36, 9, 
2018/11/15, 175, 42, 30, 12, 13, 
2018/11/16, 68, 92, 22, 30, 14, 
2018/11/17, 140, 120, 22, 33, 21, 
2018/11/18, 179, 119, 30, 28, 14, 
2018/11/19, 162, 120, 39, 30, 18, 
2018/11/20, 185, 93, 27, 24, 10, 
2018/11/21, 159, 94, 30, 28, 13, 
2018/11/22, 144, 106, 42, 27, 11, 
2018/11/23, 167, 157, 35, 41, 21, 
2018/11/24, 215, 149, 41, 38, 14, 
2018/11/25, 217, 131, 52, 24, 9, 
2018/11/26, 207, 296, 26, 34, 13, 
2018/11/27, 264, 360, 23, 27, 10, 
2018/11/28, 172, 235, 29, 25, 10, 
2018/11/29, 169, 186, 37, 33, 16, 
2018/11/30, 198, 233, 32, 34, 14, 
2018/12/1, 235, 83, 25, 25, 9, 
2018/12/2, 156, 100, 28, 17, 6, 
2018/12/3, 148, 71, 38, 13, 14, 
2018/12/4, 81, 74, 21, 18, 7, 
2018/12/5, 111, 70, 21, 16, 7, 
2018/12/6, 128, 54, 25, 16, 12, 
2018/12/7, 79, 73, 25, 21, 17, 
2018/12/8, 111, 95, 21, 27, 26, 
2018/12/9, 151, 126, 21, 32, 19, 
2018/12/10, 188, 95, 15, 27, 12, 
2018/12/11, 170, 98, 23, 28, 24, 
2018/12/12, 140, 108, 23, 29, 24, 
2018/12/13, 154, 106, 28, 27, 18, 
2018/12/14, 152, 79, 25, 23, 11, 
2018/12/15, 144, 138, 22, 34, 19, 
2018/12/16, 191, 151, 26, 36, 28, 
2018/12/17, 193, 145, 22, 39, 27, 
2018/12/18, 185, 251, 16, 58, 31, 
2018/12/19, 297, 159, 24, 37, 19, 
2018/12/20, 222, 162, 15, 41, 18, 
2018/12/21, 239, 202, 17, 45, 27, 
2018/12/22, 261, 97, 24, 29, 18, 
2018/12/23, 124, 109, 17, 31, 19, 
2018/12/24, 157, 128, 17, 34, 16, 
2018/12/25, 188, 61, 28, 16, 9, 
2018/12/26, 78, 68, 22, 18, 8, 
2018/12/27, 103, 67, 23, 16, 13, 
2018/12/28, 75, 74, 23, 24, 23, 
2018/12/29, 125, 84, 25, 28, 21, 
2018/12/30, 133, , , , , 
2018/7/1, 71, 48, 84, 11, 5, 
2018/7/2, 75, 49, 61, 12, 5, 
2018/7/3, 92, 77, 96, 25, 10, 
2018/7/4, 119, 82, 110, 22, 7, 
2018/7/5, 148, 59, 69, 13, 5, 
2018/7/6, 107, 46, 55, 11, 5, 
2018/7/7, 83, 38, 34, 10, 4, 
2018/7/8, 61, 26, 26, 12, 4, 
2018/7/9, 67, 28, 32, 13, 4, 
2018/7/10, 77, 49, 40, 12, 3, 
2018/7/11, 102, 44, 36, 8, 3, 
2018/7/12, 81, 62, 92, 12, 4, 
2018/7/13, 132, 61, 97, 12, 5, 
2018/7/14, 135, 47, 91, 11, 5, 
2018/7/15, 118, 59, 104, 11, 5, 
2018/7/16, 124, 58, 96, 10, 5, 
2018/7/17, 128, 58, 88, 10, 5, 
2018/7/18, 113, 52, 87, 10, 5, 
2018/7/19, 101, 55, 99, 10, 5, 
2018/7/20, 115, 58, 60, 10, 6, 
2018/7/21, 128, 61, 49, 13, 7, 
2018/7/22, 127, 24, 28, 7, 5, 
2018/7/23, 68, 43, 55, 6, 4, 
2018/7/24, 118, 67, 107, 13, 6, 
2018/7/25, 151, 73, 95, 24, 8, 
2018/7/26, 139, 65, 76, 20, 6, 
2018/7/27, 137, 56, 60, 15, 5, 
2018/7/28, 124, 57, 52, 14, 5, 
2018/7/29, 129, 53, 69, 13, 9, 
2018/7/30, 109, 72, 68, 21, 10, 
2018/7/31, 140, 60, 77, 13, 10, 
2018/8/1, 112, 69, 89, 17, 9, 
2018/8/2, 125, 72, 82, 17, 9, 
2018/8/3, 107, 52, 58, 10, 8, 
2018/8/4, 90, 54, 68, 9, 8, 
2018/8/5, 115, 57, 77, 10, 7, 
2018/8/6, 114, 102, 75, 13, 6, 
2018/8/7, 113, 71, 94, 18, 8, 
2018/8/8, 124, 60, 60, 15, 8, 
2018/8/9, 118, 60, 90, 17, 8, 
2018/8/10, 103, 83, 112, 20, 8, 
2018/8/11, 125, 55, 68, 12, 5, 
2018/8/12, 82, 35, 26, 8, 5, 
2018/8/13, 56, 30, 26, 7, 5, 
2018/8/14, 51, 32, 41, 10, 6, 
2018/8/15, 60, 39, 67, 9, 5, 
2018/8/16, 70, 39, 44, 10, 6, 
2018/8/17, 68, 38, 29, 10, 5, 
2018/8/18, 63, 21, 20, 7, 5, 
2018/8/19, 54, 29, 37, 8, 8, 
2018/8/20, 53, 61, 100, 18, 9, 
2018/8/21, 113, 60, 74, 14, 6, 
2018/8/22, 119, 50, 55, 8, 6, 
2018/8/23, 71, 64, 79, 17, 9, 
2018/8/24, 103, 115, 80, 20, 7, 
2018/8/25, 107, 59, 71, 19, 6, 
2018/8/26, 86, 63, 64, 16, 8, 
2018/8/27, 91, 45, 59, 11, 5, 
2018/8/28, 95, 49, 95, 15, 8, 
2018/8/29, 99, 56, 59, 14, 12, 
2018/8/30, 102, 36, 42, 12, 7, 
2018/8/31, 71, 69, 67, 12, 13, 
2018/9/1, 116, 170, 65, 14, 10, 
2018/9/2, 132, 74, 104, 15, 10, 
2018/9/3, 145, 65, 63, 23, 13, 
2018/9/4, 82, 94, 90, 33, 17, 
2018/9/5, 113, 88, 92, 17, 11, 
2018/9/6, 117, 64, 51, 22, 14, 
2018/9/7, 74, 73, 76, 24, 11, 
2018/9/8, 103, 71, 59, 24, 10, 
2018/9/9, 103, 79, 76, 23, 8, 
2018/9/10, 114, 74, 71, 18, 6, 
2018/9/11, 111, 75, 66, 19, 6, 
2018/9/12, 104, 69, 68, 18, 7, 
2018/9/13, 96, 74, 46, 24, 7, 
2018/9/14, 110, 67, 47, 24, 6, 
2018/9/15, 108, 46, 33, 19, 8, 
2018/9/16, 86, 66, 92, 23, 11, 
2018/9/17, 109, 99, 75, 33, 8, 
2018/9/18, 160, 44, 65, 16, 5, 
2018/9/19, 108, 23, 108, 17, 5, 
2018/9/20, 68, 84, 134, 22, 9, 
2018/9/21, 156, 100, 78, 26, 10, 
2018/9/22, 147, 85, 64, 30, 11, 
2018/9/23, 115, 77, 44, 26, 12, 
