date, pm25, pm10, o3, no2, so2, co
2020/1/2, 111, 77, 36, 31, 7, 7
2020/1/3, 133, 73, 24, 33, 5, 6
2020/1/4, 124, 31, 19, 31, 3, 7
2020/1/5, 75, 37, 31, 26, 3, 7
2020/1/6, 79, 45, 31, 24, 2, 7
2020/1/7, 82, 28, 45, 8, 3, 7
2020/1/8, 59, 58, 37, 14, 3, 7
2020/1/9, 111, 84, 26, 30, 4, 7
2020/1/10, 144, 35, 12, 22, 3, 8
2020/1/11, 66, 23, , 14, 4, 7
2020/1/12, 44, 60, , 19, 4, 8
2020/1/13, 136, 73, , 20, 4, 8
2020/1/14, 148, 71, 13, 19, 4, 10
2020/1/15, 154, 32, 11, 21, 3, 8
2020/1/16, 84, , , , , 
2019/10/1, 60, 25, 29, 11, 3, 4
2019/10/2, 56, 53, 52, 15, 4, 6
2019/10/3, 109, 38, 38, 11, 3, 6
2019/10/4, 80, 35, 45, 9, 3, 5
2019/10/5, 80, 44, 38, 13, 4, 7
2019/10/6, 83, 55, 68, 17, 4, 8
2019/10/7, 109, 57, 31, 16, 4, 9
2019/10/8, 122, 39, , 16, 3, 8
2019/10/9, 80, 49, 62, 14, 4, 6
2019/10/10, 94, 49, 78, 13, 3, 6
2019/10/11, 101, 55, 44, 21, 4, 8
2019/10/12, 125, 48, 42, 19, 4, 9
2019/10/13, 100, 36, 35, 11, 3, 5
2019/10/14, 70, 26, 42, 3, 2, 4
2019/10/15, 56, 41, 51, 11, 3, 4
2019/10/16, 71, 48, 43, 18, 4, 4
2019/10/17, 94, 59, 68, 20, 4, 4
2019/10/18, 104, 56, 68, 22, 5, 5
2019/10/19, 111, 55, 63, 20, 5, 5
2019/10/20, 114, 62, , 25, 4, 5
2019/10/21, 121, 60, 41, 23, 4, 6
2019/10/22, 111, 58, 59, 25, 5, 10
2019/10/23, 137, 60, 56, 22, 5, 7
2019/10/24, 121, 61, 59, 23, 5, 6
2019/10/25, 121, 84, 44, 28, 7, 9
2019/10/26, 159, 36, 28, 16, 3, 8
2019/10/27, 95, 28, 17, 22, 3, 8
2019/10/28, 95, 63, 59, 22, 9, 7
2019/10/29, 96, 103, 58, 27, 5, 6
2019/10/30, 141, 96, 68, 27, 5, 6
2019/10/31, 136, 70, 49, 22, 4, 5
2019/11/1, 114, 75, 63, 23, 4, 5
2019/11/2, 117, 96, 42, 31, 4, 7
2019/11/3, 169, 63, 45, 22, 4, 6
2019/11/4, 113, 65, 55, 29, 5, 6
2019/11/5, 122, 63, 55, 28, 5, 6
2019/11/6, 117, 56, 34, 27, 5, 6
2019/11/7, 114, 51, 44, 25, 4, 6
2019/11/8, 96, 62, 55, 28, 5, 6
2019/11/9, 117, 76, 58, 34, 6, 6
2019/11/10, 135, 75, 67, 36, 7, 7
2019/11/11, 141, 80, 54, 39, 6, 8
2019/11/12, 163, 74, 53, 28, 5, 7
2019/11/13, 147, 55, 43, 16, 5, 4
2019/11/14, 106, 68, 44, 25, 6, 6
2019/11/15, 102, 69, 38, 27, 6, 6
2019/11/16, 115, 71, 35, 27, 6, 8
2019/11/17, 125, 64, 31, 17, 4, 8
2019/11/18, 128, 64, 36, 14, 4, 5
2019/11/19, 92, 65, 39, 18, 5, 4
2019/11/20, 86, 58, 31, 20, 5, 5
2019/11/21, 87, 60, 26, 27, 4, 6
2019/11/22, 105, 63, 27, 28, 4, 7
2019/11/23, 116, 61, 39, 19, 5, 7
2019/11/24, 121, 23, 25, 14, 3, 9
2019/11/25, 58, 34, 26, 14, 3, 5
2019/11/26, 62, 41, 25, 16, 4, 5
2019/11/27, 75, 29, 21, 20, 3, 7
2019/11/28, 53, 47, 34, 15, 4, 5
2019/11/29, 78, 49, 21, 23, 4, 6
2019/11/30, 86, 21, 30, 15, 3, 6
2019/12/1, 55, 37, 43, 14, 4, 7
2019/12/2, 96, 79, 44, 30, 7, 8
2019/12/3, 176, 88, 43, 33, 7, 9
