date, pm10, o3, no2
2018/1/1, 37, 15, 1
2018/1/2, 13, 15, 1
2018/1/3, 8, 17, 1
2018/1/4, 9, 16, 2
2018/1/7, 16, 16, 1
2018/1/8, 18, 12, 4
2018/1/9, 7, 13, 4
2018/1/10, 9, 13, 1
2018/1/11, 8, 11, 1
2018/1/12, 9, 14, 1
2018/1/13, 14, 15, 
2018/1/14, 15, 17, 1
2018/1/15, 21, 17, 2
2018/1/16, 24, 17, 3
2018/1/17, 16, 15, 2
2018/1/18, 16, 16, 3
2018/1/19, 22, 17, 3
2018/1/20, 20, 17, 
2018/1/21, 23, 16, 1
2018/1/22, 28, 14, 1
2018/1/23, 18, 16, 2
2018/1/24, 15, 19, 1
2018/1/25, 41, 18, 
2018/1/26, 86, 18, 
2018/1/27, 50, 17, 
2018/1/28, 31, 15, 1
2018/1/29, 23, 18, 1
2018/1/30, 14, 19, 2
2018/1/31, 28, 19, 2
2018/2/1, 41, 20, 4
2018/2/2, 29, 17, 
2018/2/3, 25, 16, 2
2018/2/4, 15, 16, 2
2018/2/5, 17, 17, 1
2018/2/6, 37, 16, 
2018/2/7, 29, 12, 2
2018/2/8, 22, 10, 1
2018/2/9, 23, 12, 
2018/2/10, 18, 12, 
2018/2/11, 23, 14, 
2018/2/12, 33, 13, 1
2018/2/13, 34, 16, 2
2018/2/14, 30, 15, 1
2018/2/15, 24, 17, 3
2018/2/16, 17, 17, 2
2018/2/17, 15, 13, 2
2018/2/18, 10, 11, 1
2018/2/19, 57, 10, 1
2018/2/20, 38, 13, 1
2018/2/21, 39, 15, 1
2018/2/22, 42, 15, 1
2018/2/23, 37, 14, 
2018/2/24, 16, 14, 
2018/2/25, 11, 11, 1
2018/2/26, 10, 14, 3
2018/2/27, 19, 16, 2
2018/2/28, 27, 17, 3
2018/3/1, 18, 17, 2
2018/3/2, 18, 20, 2
2018/3/3, 20, 21, 1
2018/3/4, 19, 19, 2
2018/3/5, 23, 20, 3
2018/3/6, 22, 18, 3
2018/3/7, 22, 20, 1
2018/3/8, 25, 21, 2
2018/3/9, 24, 22, 2
2018/3/10, 18, 16, 
2018/3/11, 9, 18, 1
2018/3/12, 14, 20, 3
2018/3/13, 24, 26, 4
2018/3/14, 20, 24, 5
2018/3/15, 31, 26, 6
2018/3/16, 24, 22, 4
2018/3/17, 14, 22, 1
2018/3/18, 17, 14, 2
2018/3/19, 24, 12, 1
2018/3/20, 49, 21, 1
2018/3/21, 26, 24, 3
2018/3/22, 21, 25, 3
2018/3/23, 27, 24, 3
2018/3/24, 21, 23, 2
2018/3/25, 16, 20, 3
2018/3/26, 38, 21, 2
2018/3/27, 51, 21, 1
2018/3/28, 38, 21, 1
2018/3/29, 25, 17, 
2017/10/1, 40, 17, 
2017/10/2, 36, 15, 
2017/10/3, 53, 15, 
2017/10/4, 44, 11, 
2017/10/5, 24, 8, 
2017/10/6, 28, 8, 
2017/10/7, 27, 8, 
2017/10/8, 12, 8, 
2017/10/9, 28, 11, 2
2017/10/10, 52, 12, 2
2017/10/11, 44, 12, 2
