date, pm25
2019/4/1, 34
2019/4/2, 27
2019/4/3, 23
2019/4/4, 27
2019/4/5, 28
2019/4/6, 24
2019/4/7, 27
2019/4/8, 30
2019/4/9, 26
2019/4/10, 31
2019/4/11, 38
2019/4/12, 42
2019/4/13, 34
2019/4/14, 38
2019/4/15, 37
2019/4/16, 26
2019/4/17, 27
2019/4/18, 29
2019/4/19, 25
2019/4/20, 26
2019/4/21, 29
2019/4/22, 26
2019/4/23, 24
2019/4/24, 22
2019/4/25, 36
2019/4/26, 44
2019/4/27, 51
2019/4/28, 40
2019/4/29, 44
2019/4/30, 43
2019/5/1, 37
2019/5/2, 36
2019/5/3, 34
2019/5/4, 33
2019/5/5, 35
2019/5/6, 37
2019/5/7, 41
2019/5/8, 32
2019/5/9, 31
2019/5/10, 41
2019/5/11, 51
2019/5/12, 53
2019/5/13, 55
2019/5/14, 54
2019/5/15, 52
2019/5/16, 48
2019/5/17, 41
2019/5/18, 35
2019/5/19, 37
2019/5/20, 34
2019/5/21, 38
2019/5/22, 35
2019/5/31, 64
2019/6/1, 44
2019/6/2, 25
2019/6/3, 36
2019/6/4, 45
2019/6/5, 51
2019/6/6, 43
2019/6/7, 61
2019/6/8, 55
2019/6/9, 55
2019/6/10, 45
2019/6/11, 62
2019/6/12, 42
2019/6/13, 45
2019/6/14, 44
2019/6/15, 58
2019/6/16, 34
2019/6/17, 60
2019/6/18, 57
2019/6/19, 55
2019/6/20, 34
2019/6/21, 69
2019/6/22, 64
2019/6/23, 35
2019/6/24, 33
2019/1/1, 30
2019/1/2, 22
2019/1/3, 25
2019/1/4, 26
2019/1/5, 24
2019/1/6, 20
2019/1/7, 40
2019/1/8, 42
2019/1/9, 27
2019/1/10, 41
2019/1/11, 50
2019/1/12, 53
2019/1/13, 44
2019/1/14, 27
2019/1/15, 21
2019/1/16, 30
2019/1/17, 31
2019/1/18, 31
2019/1/19, 30
2019/1/20, 22
2019/1/21, 36
2019/1/22, 32
2019/1/23, 33
2019/1/24, 28
2019/1/25, 30
2019/1/26, 24
2019/1/27, 24
2019/1/28, 26
2019/1/29, 27
2019/1/30, 21
2019/1/31, 24
2019/2/1, 23
2019/2/2, 21
2019/2/3, 19
2019/2/4, 27
2019/2/5, 34
2019/2/6, 27
2019/2/7, 27
2019/2/8, 27
2019/2/9, 23
2019/2/10, 19
2019/2/11, 26
2019/2/12, 37
2019/2/13, 42
2019/2/14, 41
2019/2/15, 48
2019/2/16, 54
2019/2/17, 67
2019/2/18, 47
2019/2/19, 37
2019/2/20, 28
2019/2/21, 26
2019/2/22, 29
2019/2/23, 25
2019/2/24, 25
2019/2/25, 29
2019/2/26, 30
2019/2/27, 31
2019/2/28, 48
2019/3/1, 56
2019/3/5, 41
2019/3/6, 50
2019/3/7, 48
2019/3/8, 35
2019/3/9, 35
2019/3/10, 27
2019/3/11, 28
2019/3/12, 24
2019/3/13, 23
2019/3/14, 35
2019/3/15, 46
2019/3/16, 37
2019/3/17, 35
2019/3/18, 107
2019/3/19, 78
2019/3/20, 65
2019/3/21, 69
2019/3/22, 55
2019/3/23, 30
2019/3/24, 32
2019/3/25, 39
2019/3/26, 35
2019/3/27, 27
2019/3/28, 34
2019/3/29, 44
2019/3/30, 42
2019/3/31, 32
2018/10/1, 36
2018/10/2, 44
2018/10/3, 35
2018/10/4, 41
2018/10/5, 45
2018/10/6, 33
2018/10/7, 30
2018/10/8, 20
2018/10/9, 27
2018/10/10, 32
2018/10/11, 38
2018/10/12, 28
2018/10/13, 28
2018/10/14, 27
2018/10/15, 32
2018/10/16, 38
2018/10/17, 31
2018/10/18, 35
2018/10/19, 46
2018/10/20, 27
2018/10/21, 25
2018/10/22, 31
2018/10/23, 25
2018/10/24, 27
2018/10/25, 32
2018/10/26, 36
2018/10/27, 30
2018/10/28, 27
2018/10/29, 24
2018/10/30, 21
2018/10/31, 28
2018/11/1, 40
2018/11/2, 48
2018/11/3, 27
2018/11/4, 27
2018/11/5, 33
2018/11/6, 24
2018/11/7, 29
2018/11/8, 28
2018/11/9, 27
2018/11/10, 22
2018/11/11, 21
2018/11/12, 28
2018/11/13, 21
2018/11/14, 31
2018/11/15, 40
2018/11/16, 48
2018/11/17, 37
2018/11/18, 26
2018/11/19, 29
2018/11/20, 27
2018/11/21, 26
2018/11/22, 27
2018/11/23, 24
2018/11/24, 23
2018/11/25, 24
2018/11/26, 29
2018/11/27, 25
2018/11/28, 26
2018/11/29, 29
2018/11/30, 38
2018/12/1, 31
2018/12/2, 26
2018/12/3, 27
2018/12/4, 28
2018/12/5, 32
2018/12/6, 39
2018/12/7, 26
2018/12/8, 28
2018/12/9, 30
2018/12/13, 33
2018/12/14, 30
2018/12/15, 35
2018/12/16, 25
2018/12/17, 30
2018/12/18, 26
2018/12/19, 23
2018/12/20, 25
2018/12/21, 29
2018/12/22, 25
2018/12/23, 21
2018/12/24, 23
2018/12/25, 29
2018/12/26, 25
2018/12/27, 31
2018/12/28, 39
2018/12/29, 29
2018/12/30, 23
2018/7/10, 48
2018/7/11, 66
2018/7/12, 67
2018/7/13, 69
2018/7/14, 59
2018/7/15, 43
2018/7/16, 48
2018/7/17, 54
2018/7/18, 59
2018/7/19, 38
2018/7/20, 53
2018/7/21, 49
2018/7/22, 37
2018/7/23, 37
2018/7/24, 34
2018/7/25, 32
2018/7/26, 71
2018/7/27, 59
2018/7/28, 39
2018/7/29, 45
2018/7/30, 48
2018/7/31, 45
2018/8/1, 50
2018/8/2, 46
2018/8/3, 41
2018/8/4, 44
2018/8/5, 48
2018/8/6, 39
2018/8/7, 83
2018/8/8, 91
2018/8/9, 76
2018/8/10, 59
2018/8/11, 48
2018/8/12, 52
2018/8/13, 63
2018/8/14, 57
2018/8/15, 39
2018/8/16, 47
2018/8/17, 44
2018/8/18, 40
2018/8/19, 28
2018/8/20, 39
2018/8/21, 39
2018/8/22, 45
2018/8/23, 31
2018/8/24, 36
2018/8/25, 39
2018/8/26, 31
2018/8/27, 35
2018/8/28, 28
2018/8/29, 44
2018/8/30, 42
2018/8/31, 38
2018/9/1, 44
2018/9/2, 37
2018/9/3, 31
2018/9/4, 35
2018/9/5, 30
2018/9/7, 7
2018/9/11, 30
2018/9/12, 37
2018/9/13, 28
2018/9/14, 39
2018/9/15, 35
2018/9/16, 42
2018/9/17, 46
2018/9/18, 44
2018/9/19, 37
2018/9/20, 30
