date, pm25, o3, no2, co
2020/1/2, 20, , , 
2020/1/3, 19, , , 
2020/1/4, 24, , , 
2020/1/5, 16, , , 
2020/1/6, 14, , , 
2020/1/7, 10, , , 
2020/1/8, 10, , , 
2020/1/9, 11, , , 
2020/1/10, 14, , , 
2020/1/11, 30, , , 
2020/1/12, 9, , , 
2020/1/13, 38, , , 
2020/1/14, 20, , , 
2020/1/15, 15, , , 
2019/10/1, 6, , , 
2019/10/2, 7, , , 
2019/10/3, 9, , , 
2019/10/4, 9, , , 
2019/10/5, 7, , , 
2019/10/6, 12, , , 
2019/10/7, 13, , , 
2019/10/8, 13, , , 
2019/10/9, 8, , , 
2019/10/10, 6, , , 
2019/10/11, 7, , , 
2019/10/12, 9, , , 
2019/10/13, 9, , , 
2019/10/14, 13, , , 
2019/10/15, 7, , , 
2019/10/16, 8, , , 
2019/10/17, 7, , , 
2019/10/18, 20, , , 
2019/10/19, 28, , , 
2019/10/20, 26, , , 
2019/10/21, 11, , , 
2019/10/22, 6, , , 
2019/10/23, 6, , , 
2019/10/24, 11, , , 
2019/10/25, 16, , , 
2019/10/26, 12, , , 
2019/10/27, 7, , , 
2019/10/28, 10, , , 
2019/10/29, 10, , , 
2019/10/30, 9, , , 
2019/10/31, 17, , , 
2019/11/1, 10, , , 
2019/11/2, 10, , , 
2019/11/3, 16, , , 
2019/11/4, 7, , , 
2019/11/5, 8, , , 
2019/11/6, 9, , , 
2019/11/7, 16, , , 
2019/11/8, 20, , , 
2019/11/9, 22, , , 
2019/11/10, 9, , , 
2019/11/11, 10, , , 
2019/11/12, 13, , , 
2019/11/13, 16, , , 
2019/11/14, 14, , , 
2019/11/15, 8, , , 
2019/11/16, 24, , , 
2019/11/17, 9, , , 
2019/11/18, 24, , , 
2019/11/19, 10, , , 
2019/11/20, 8, , , 
2019/11/21, 7, , , 
2019/11/22, 16, , , 
2019/11/23, 18, , , 
2019/11/24, 15, , , 
2019/11/25, 10, , , 
2019/11/26, 9, , , 
2019/11/27, 7, , , 
2019/11/28, 8, , , 
2019/11/29, 9, , , 
2019/11/30, 10, , , 
2019/12/1, 9, , , 
2019/12/2, 11, , , 
2019/12/3, 22, , , 
2019/12/4, 18, , , 
2019/12/5, 20, , , 
2019/12/6, 20, , , 
2019/12/7, 27, , , 
2019/12/8, 23, , , 
2019/12/9, 17, , , 
2019/12/10, 18, , , 
2019/12/11, 17, , , 
2019/12/12, 27, , , 
2019/12/13, 14, , , 
2019/12/14, 12, , , 
2019/12/15, 18, , , 
2019/12/16, 30, , , 
2019/12/17, 20, , , 
2019/12/18, 20, , , 
2019/12/19, 21, , , 
