date, pm25, pm10, o3, no2, so2, co
2020/1/13, 20, 8, 16, 3, , 1
2020/1/14, 19, 8, 16, 3, , 1
2020/1/15, 18, , 5, 4, , 2
2019/10/1, 42, 22, 43, 3, , 2
2019/10/2, 57, 23, 49, 3, , 2
2019/10/3, 59, 24, 40, 3, , 2
2019/10/4, 56, 12, 27, 3, , 1
2019/10/5, 19, 14, 32, 2, , 1
2019/10/6, 26, 14, 31, 6, , 2
2019/10/7, 23, 11, 23, 4, , 1
2019/10/8, 21, 11, 27, 4, , 1
2019/10/9, 21, 9, 31, 7, , 2
2019/10/10, 20, 10, 37, 9, , 3
2019/10/11, 19, 12, 38, 8, , 3
2019/10/12, 27, 15, 22, 4, , 2
2019/10/13, 40, 12, 35, 5, , 2
2019/10/14, 27, 16, 41, 8, , 3
2019/10/15, 28, 11, 26, 7, , 2
2019/10/16, 26, 8, 29, 3, , 1
2019/10/17, 15, 8, 31, 7, , 2
2019/10/18, 17, 11, 31, 6, , 3
2019/10/19, 29, 6, 25, 2, , 1
2019/10/20, 10, 14, 32, 4, , 2
2019/10/21, 18, 9, 20, 4, , 1
2019/10/22, 23, 10, 31, 5, , 2
2019/10/23, 16, 11, 34, 8, , 4
2019/10/24, 22, 13, 31, 9, , 4
2019/10/25, 31, 14, 34, 4, , 2
2019/10/26, 34, 9, 21, 3, , 1
2019/10/27, 20, 12, 31, 7, , 2
2019/10/28, 24, 17, 21, 5, , 2
2019/10/29, 39, 16, 12, 6, , 2
2019/10/30, 36, 11, 21, 2, , 1
2019/10/31, 23, 8, 24, 5, , 2
2019/11/1, 17, 11, 27, 6, , 3
2019/11/2, 31, 10, 27, 6, , 2
2019/11/3, 26, 15, 28, 9, , 4
2019/11/4, 36, 20, 29, 12, , 4
2019/11/5, 48, 19, 29, 10, , 3
2019/11/6, 49, 21, 31, 6, , 3
2019/11/7, 55, 10, 24, 4, , 2
2019/11/8, 24, 10, 14, 6, , 2
2019/11/9, 27, 14, 28, 5, , 1
2019/11/10, 43, 19, 35, 4, , 2
2019/11/11, 50, 12, 26, 5, , 2
2019/11/12, 32, 7, 27, 8, , 2
2019/11/13, 17, 16, 19, 12, , 2
2019/11/14, 40, 17, 17, 7, , 2
2019/11/15, 53, 17, 26, 3, , 2
2019/11/16, 45, 11, 27, 3, , 1
2019/11/17, 22, 13, 20, 6, , 2
2019/11/18, 38, 16, 19, 6, , 2
