date, pm25, pm10, o3, no2, so2, co
2020/1/2, 109, 47, 23, 3, , 3
2020/1/3, 97, 37, 55, 3, 2, 5
2020/1/4, 67, 66, 16, 4, 5, 5
2020/1/5, 126, 40, 18, 4, 1, 2
2020/1/6, 67, 24, 27, 5, 4, 4
2020/1/7, 44, 58, 47, 9, 4, 22
2020/1/8, 122, 57, 20, 3, 5, 8
2020/1/9, 139, 13, 25, 3, 1, 4
2020/1/10, 24, 52, 21, 5, 3, 7
2020/1/11, 103, 54, 17, 3, 5, 6
2020/1/12, 118, 60, 20, 5, 1, 4
2020/1/13, 141, 30, 16, 6, , 1
2020/1/14, 49, 18, 12, 5, 1, 2
2020/1/15, 17, 28, 30, 6, , 4
2020/1/16, 51, , , , , 
2019/10/1, 19, 15, 25, 11, 2, 2
2019/10/2, 21, 24, 37, 12, 3, 13
2019/10/3, 48, 29, 27, 3, 9, 5
2019/10/4, 52, 22, 22, 5, 5, 1
2019/10/5, 40, 11, 24, 2, 2, 
2019/10/6, 22, 27, 24, 7, 4, 2
2019/10/7, 36, 18, 19, 6, 5, 2
2019/10/8, 33, 8, 20, 3, 5, 2
2019/10/9, 18, 13, 21, 2, 2, 1
2019/10/10, 18, 11, 21, 6, 2, 2
2019/10/11, 17, 8, 16, 5, 4, 3
2019/10/12, 15, 9, 21, 4, 6, 1
2019/10/13, 20, 10, 23, 6, 2, 1
2019/10/14, 18, 17, 26, 13, 3, 2
2019/10/15, 25, 20, 32, 6, 5, 2
2019/10/16, 38, 15, 26, 9, 3, 2
2019/10/17, 37, 13, 29, 8, , 2
2019/10/18, 20, 17, 23, 12, 8, 2
2019/10/19, 19, 16, 22, 3, , 1
2019/10/20, 24, 12, 20, 12, , 1
2019/10/21, 14, 15, 28, 9, 2, 2
2019/10/22, 20, 16, 25, 5, 1, 1
2019/10/23, 21, 25, 31, 9, 2, 2
2019/10/24, 41, 23, 41, 8, 1, 3
2019/10/25, 51, 54, 28, 3, 1, 2
2019/10/26, 62, 26, 24, 6, , 
2019/10/27, 28, 17, 21, 7, 3, 1
2019/10/28, 13, 20, 33, 6, 2, 2
2019/10/29, 32, 44, 53, 11, 2, 4
2019/10/30, 82, 62, 37, 9, 2, 6
2019/10/31, 142, 48, 28, 8, 3, 4
2019/11/1, 112, 42, 34, 5, 2, 3
2019/11/2, 76, 49, 35, 6, 2, 3
2019/11/3, 77, 24, 28, 5, 1, 1
2019/11/4, 48, 13, 21, 3, 2, 1
2019/11/5, 33, 14, 33, 6, 1, 1
2019/11/6, 30, 25, 24, 2, 1, 1
2019/11/7, 32, 24, 20, 9, 4, 1
2019/11/8, 24, 16, 22, 3, 4, 1
2019/11/9, 17, 10, 19, 4, , 2
2019/11/10, 9, 19, 36, 4, 1, 2
2019/11/11, 21, 50, 31, 8, 5, 3
2019/11/12, 84, 51, 24, 5, 1, 1
2019/11/13, 56, 18, 27, 6, 1, 2
2019/11/14, 23, 21, 49, 8, 5, 2
2019/11/15, 30, 36, 20, 2, 3, 2
2019/11/16, 54, 22, 20, 2, 2, 1
2019/11/17, 33, 23, 30, 5, 2, 2
2019/11/18, 44, 33, 62, 9, 7, 3
2019/11/19, 65, 30, 18, 4, 3, 1
2019/11/20, 49, 42, 48, 4, 2, 6
2019/11/21, 82, 58, 18, 7, 5, 5
2019/11/22, 116, 34, 19, 5, 6, 2
2019/11/23, 46, 24, 17, 4, 6, 2
2019/11/24, 39, 24, 40, 6, 2, 2
2019/11/25, 38, 47, 41, 3, 1, 3
2019/11/26, 80, 58, 26, 4, 1, 1
2019/11/27, 68, 31, 35, 6, 5, 3
2019/11/28, 53, 53, 55, 4, 3, 4
2019/11/29, 71, 54, 19, 8, 6, 5
2019/11/30, 100, 26, 22, 1, 2, 2
2019/12/1, 46, 16, 23, 1, , 
2019/12/2, 31, 12, 33, 1, , 
2019/12/3, 25, 18, 41, 9, 1, 2
2019/12/4, 28, 24, 29, 9, 11, 2
2019/12/5, 49, 50, 32, 5, 3, 6
2019/12/6, 86, 45, 27, 5, , 3
2019/12/7, 83, 34, 19, 4, , 1
2019/12/8, 60, 32, 21, 2, , 1
2019/12/9, 42, 57, 31, 11, , 15
2019/12/10, 107, 45, 19, 2, 1, 2
2019/12/11, 98, 19, 19, 3, 3, 1
2019/12/12, 34, 16, 15, 3, 1, 1
2019/12/13, 23, 19, 32, 2, 3, 2
2019/12/14, 23, 24, 27, 6, 3, 3
2019/12/15, 53, , 17, 5, 4, 3
2019/12/16, 67, 16, 18, 6, 2, 1
2019/12/17, 34, 19, 22, 4, 4, 2
2019/12/18, 27, 64, 70, 11, 8, 13
2019/12/19, 115, 53, 18, 8, 6, 2
2019/12/20, 89, 36, 30, 4, 6, 3
2019/12/21, 60, 47, 16, 3, 5, 2
2019/12/22, 79, 31, 22, 5, 4, 2
2019/12/23, 58, 36, 17, 7, 11, 9
2019/12/24, 69, 40, 24, 2, 5, 3
2019/12/25, 94, 23, 24, 2, 1, 2
2019/12/26, 50, 18, 20, 5, , 1
2019/12/27, 31, 18, 29, 3, 5, 2
2019/12/28, 30, 31, 7, 6, 1, 3
2019/12/29, 44, , , , , 
2019/7/1, 26, 11, 20, 14, 2, 3
2019/7/2, 29, 13, 10, 13, 4, 3
2019/7/3, 35, 15, , , , 
2019/7/4, 28, 10, 19, 7, 1, 2
2019/7/5, 17, 8, 19, 9, 1, 3
2019/7/6, 23, 10, 21, 7, 1, 2
2019/7/7, 28, 8, 18, 5, 2, 1
2019/7/8, 18, 4, 20, 5, , 1
2019/7/9, 8, 5, 20, 3, , 1
2019/7/10, 11, 7, 22, 5, , 1
2019/7/11, 10, 12, 20, 8, 1, 1
2019/7/12, 18, 9, 24, 1, , 1
2019/7/13, 18, 6, 23, 1, , 1
2019/7/14, 10, 5, 22, 2, , 
2019/7/15, 11, 6, 20, 2, , 
2019/7/16, 12, 5, 21, 1, , 
2019/7/17, 14, 5, 22, 4, , 1
2019/7/18, 15, 8, 20, 6, , 2
2019/7/19, 22, 9, 18, 6, 5, 1
2019/7/20, 22, , , , , 
2019/7/22, 31, 14, 21, 13, 2, 2
2019/7/23, 32, 13, 21, 9, 2, 3
2019/7/24, 35, 13, 20, 14, 3, 3
2019/7/25, 27, 16, 17, 11, 3, 2
2019/7/26, 26, 13, 20, 7, 2, 2
2019/7/27, 26, 13, 21, 9, 1, 3
2019/7/28, 40, 10, 18, 7, 1, 3
2019/7/29, 30, 10, 19, 6, 7, 2
2019/7/30, 17, 12, 21, 7, 4, 2
2019/7/31, 20, 12, 18, 14, 2, 3
2019/8/1, 19, 13, 21, 10, 2, 2
2019/8/2, 23, 12, 21, 7, 2, 2
2019/8/3, 28, 13, 20, 6, 3, 2
2019/8/4, 32, 15, 20, 13, 3, 3
2019/8/5, 24, 14, 24, 15, 2, 3
2019/8/6, 30, 14, 22, 13, 1, 3
2019/8/7, 30, 13, 24, 8, 2, 3
2019/8/8, 31, 19, 24, 1, , 
2019/8/9, 12, 13, 23, , 1, 
2019/8/10, 14, 7, 23, 1, , 
2019/8/11, 13, 7, 23, 4, 1, 2
2019/8/12, 14, 9, 20, 9, 1, 2
2019/8/13, 15, 12, 21, 13, 5, 3
2019/8/14, 24, 12, 25, 14, 1, 3
2019/8/15, 26, 9, 24, 11, 1, 3
2019/8/16, 22, 11, 21, 9, 2, 2
2019/8/17, 20, 14, 27, 4, 4, 3
2019/8/18, 24, 14, 24, 1, 1, 1
2019/8/19, 28, 7, 23, 1, , 
2019/8/20, 12, 8, 22, 1, , 
2019/8/21, 10, 13, 21, 6, 7, 2
2019/8/22, 16, 23, 21, 18, 1, 2
2019/8/23, 30, 21, 27, 12, 1, 3
2019/8/24, 41, 19, 24, 7, 2, 3
2019/8/25, 40, 14, 20, 6, 1, 1
2019/8/26, 22, 9, 18, 8, 4, 2
2019/8/27, 16, 9, 26, 7, 2, 2
2019/8/28, 19, 11, 21, 6, 5, 1
2019/8/29, 20, 11, 21, 4, 5, 2
2019/8/30, 19, 11, 22, 5, 6, 2
2019/8/31, 17, 12, 29, 11, 1, 2
2019/9/1, 24, 13, 21, 12, 4, 3
2019/9/2, 31, 14, 26, 11, 1, 2
2019/9/3, 23, 10, 26, 9, 4, 2
2019/9/4, 24, 15, 27, 13, 4, 1
2019/9/5, 22, 18, 24, 6, 3, 1
2019/9/6, 26, 14, 24, 1, , 1
2019/9/7, 28, 6, 23, 1, , 
2019/9/8, 9, 5, 22, 2, 2, 
2019/9/9, 11, 12, 22, 6, 5, 2
2019/9/10, 20, , 26, 11, 1, 2
2019/9/11, 25, 13, 24, 11, 1, 2
2019/9/12, 26, 19, 23, 8, 3, 2
2019/9/13, 29, 19, 25, 10, 1, 1
2019/9/14, 37, 18, 29, 11, 1, 2
2019/9/15, 36, 21, 17, 10, 6, 3
2019/9/16, 26, 16, 24, 3, 1, 1
2019/9/17, 33, 14, 19, 7, 6, 1
2019/9/18, 26, 8, 29, 8, 2, 3
2019/9/19, 10, 19, 22, 3, 1, 2
2019/9/20, 29, 25, 21, 4, 2, 2
2019/9/21, 41, 27, 23, 6, 1, 2
2019/9/22, 56, 13, 23, 4, 1, 1
2019/9/23, 34, 7, 26, 11, 1, 2
2019/9/24, 24, 10, 24, 5, 2, 2
2019/9/25, 24, 13, 26, 7, 1, 1
2019/9/26, 14, 17, 24, 8, 1, 2
2019/9/27, 34, 17, 18, 7, 8, 2
2019/9/28, 29, 18, 29, 5, 1, 1
2019/9/29, 34, 18, 21, 5, 4, 2
2019/9/30, 26, 15, 24, 5, 2, 1
2019/4/1, 13, 13, 18, 7, 2, 1
2019/4/2, 22, 11, 22, 9, 2, 1
2019/4/3, 21, 15, 13, 9, 4, 2
2019/4/4, 27, 17, 19, 5, 3, 1
2019/4/5, 27, 13, 28, 6, 2, 2
2019/4/6, 19, 27, 27, 6, 4, 2
2019/4/7, 44, 26, 21, 11, 3, 2
2019/4/8, 44, 26, 20, 6, 3, 1
2019/4/9, 31, 19, 18, 4, 4, 2
2019/4/10, 36, 14, 19, 7, 2, 1
2019/4/11, 18, 15, 24, 9, 1, 1
2019/4/12, 20, 15, 31, 8, 2, 2
2019/4/13, 32, 15, 28, 3, 3, 2
2019/4/14, 50, 15, 25, 8, 2, 1
2019/4/15, 32, 15, 18, 8, 3, 1
2019/4/16, 24, 15, 21, 8, 1, 2
2019/4/17, 16, 15, 23, 5, 6, 2
2019/4/18, 23, 15, 23, 6, 4, 1
2019/4/19, 33, 15, 23, 6, 3, 2
2019/4/20, 28, 15, 18, 4, 4, 2
2019/4/21, 24, 15, 19, 6, 4, 1
2019/4/22, 23, 15, 18, 7, 2, 1
2019/4/23, 21, 15, 21, 7, 3, 2
2019/4/24, 21, 15, 25, 8, 2, 2
2019/4/25, 25, 15, 24, 3, , 2
2019/4/26, 37, 15, 22, 7, 1, 2
2019/4/27, 27, 15, 23, 9, 1, 2
2019/4/28, 47, 15, 20, 12, 3, 3
2019/4/29, 32, 15, 21, 7, 3, 2
2019/4/30, 24, 15, 13, 11, 5, 3
2019/5/1, 47, 15, 11, 13, 4, 2
2019/5/2, 44, 15, 8, 9, 2, 3
2019/5/3, 51, 15, 23, 3, 5, 2
2019/5/4, 35, 15, 20, 1, , 1
2019/5/5, 23, , 20, 8, 1, 3
2019/5/6, 17, , 24, 9, 1, 2
2019/5/7, 19, , 21, 8, 1, 2
2019/5/8, 29, , 21, 13, 3, 2
2019/5/9, 19, , 18, 8, 3, 1
2019/5/10, 28, , 19, 3, 7, 2
2019/5/11, 21, , 17, , , 1
2019/5/12, 19, , , , , 
2019/5/14, 36, 13, 20, 13, 3, 3
2019/5/15, 26, 12, 18, 14, 3, 3
2019/5/16, 31, 14, 23, 13, 6, 3
2019/5/17, 33, 20, 27, 8, 2, 3
2019/5/18, 53, 16, 25, 10, 2, 3
2019/5/19, 48, 17, 19, 12, 1, 3
2019/5/20, 52, 20, 22, 13, 1, 3
2019/5/21, 56, 17, 19, 13, 6, 3
2019/5/22, 35, 18, 21, 14, 1, 3
2019/5/23, 35, 15, 19, 13, 1, 3
2019/5/24, 43, 12, 22, 9, 1, 3
2019/5/25, 27, 11, 22, , , 
2019/5/26, 29, 9, 23, , , 
2019/5/27, 20, 15, 22, 1, , 1
2019/5/28, 20, 9, 22, 9, 1, 1
2019/5/29, 16, 9, 21, 2, , 1
2019/5/30, 21, 8, 20, 3, , 2
2019/5/31, 22, 13, 20, 3, 1, 2
2019/6/1, 44, 14, 20, 7, 2, 4
2019/6/2, 32, 19, 20, 6, 1, 3
2019/6/3, 56, , 22, 2, , 1
2019/6/5, 28, 7, 18, 9, 3, 2
2019/6/6, 30, 13, 17, 10, 4, 2
2019/6/7, 24, 15, 15, 7, 1, 3
2019/6/8, 23, 10, 22, 10, 1, 3
2019/6/9, 38, 11, 18, 8, , 3
2019/6/10, 41, 9, 22, 10, 1, 3
2019/6/11, 27, 10, 18, 10, 2, 3
2019/6/12, 21, 10, 19, 8, 1, 2
2019/6/13, 27, 7, 21, 7, 1, 1
