date, pm25, pm10, o3, no2, so2, co
2020/1/2, 191, 114, 14, 40, 9, 14
2020/1/3, 211, 148, 21, 40, 13, 18
2020/1/4, 265, 121, 11, 25, 8, 16
2020/1/5, 183, 92, 8, 23, 4, 16
2020/1/6, 173, 66, 30, 18, 5, 8
2020/1/7, 151, 79, 14, 20, 6, 12
2020/1/8, 191, 137, 4, 23, 6, 20
2020/1/9, 253, , 14, 21, 5, 19
2020/1/10, 210, 68, 21, 22, 5, 12
2020/1/11, 180, 81, 19, 27, 7, 11
2020/1/12, 188, 98, 24, 27, 8, 14
2020/1/13, 237, 64, 24, 18, 8, 10
2020/1/14, 146, 87, 11, 24, 6, 13
2020/1/15, 235, , 5, 26, 5, 15
2020/1/16, 247, , , , , 
2019/10/1, 155, 66, 69, 20, 3, 8
2019/10/2, 149, 51, 41, 14, 3, 6
2019/10/3, 98, 31, 17, 14, 2, 5
2019/10/4, 70, 18, 20, 8, 2, 4
2019/10/5, 43, 19, 17, 12, 2, 4
2019/10/6, 58, 39, 17, 21, 3, 6
2019/10/7, 88, 41, 32, 17, 3, 7
2019/10/8, 89, 20, 19, 17, 2, 5
2019/10/9, 64, 36, 10, 22, 2, 6
2019/10/10, 74, 54, 5, 26, 3, 8
2019/10/11, 94, 80, 9, 45, 3, 11
2019/10/12, 151, 77, 36, 26, 3, 9
2019/10/13, 147, 46, 20, 19, 2, 6
2019/10/14, 107, 37, 9, 14, 3, 4
2019/10/15, 90, 46, 22, 19, 2, 6
2019/10/16, 85, 46, 28, 24, 3, 7
2019/10/17, 98, 62, 30, 29, 4, 9
2019/10/18, 129, 88, 26, 34, 4, 11
2019/10/19, 163, 77, 9, 28, 3, 10
2019/10/20, 154, 70, 5, 27, 5, 10
2019/10/21, 134, 88, 16, 29, 4, 10
2019/10/22, 172, 93, 36, 27, 3, 10
2019/10/23, 167, 57, 21, 14, 2, 5
2019/10/24, 62, 43, 11, 23, 3, 3
2019/10/25, 71, 50, 19, 23, 3, 5
2019/10/26, 93, 72, 14, 34, 4, 7
2019/10/27, 129, 94, 30, 26, 4, 4
2019/10/28, 122, 142, 21, 35, 7, 7
2019/10/29, 163, 93, 25, 29, 5, 7
2019/10/30, 132, 102, 5, 35, 5, 7
2019/10/31, 156, 62, 5, 24, 3, 5
2019/11/1, 126, 67, 22, 22, 3, 7
2019/11/2, 126, 76, 19, 34, 4, 8
2019/11/3, 147, 92, 30, 33, 4, 8
2019/11/4, 175, 118, 20, 35, 5, 12
2019/11/5, 197, 103, 11, 28, 4, 11
2019/11/6, 195, 76, 12, 24, 3, 11
2019/11/7, 163, 90, 26, 27, 3, 11
2019/11/8, 172, 124, 5, 34, 4, 14
2019/11/9, 221, 54, 25, 22, 3, 8
2019/11/10, 84, 86, 8, 32, 8, 11
2019/11/11, 144, 81, 5, 32, 6, 10
2019/11/12, 158, 43, 28, 22, 3, 6
2019/11/13, 62, 82, 15, 34, 4, 10
2019/11/14, 134, 109, 11, 43, 6, 9
2019/11/15, 167, 110, 13, 38, 10, 12
2019/11/16, 184, 113, 22, 23, 5, 7
2019/11/17, 145, 101, 8, 30, 4, 5
2019/11/18, 137, 116, 17, 34, 8, 8
2019/11/19, 167, 139, 3, 47, 8, 12
2019/11/20, 197, 129, 11, 40, 7, 13
2019/11/21, 211, 123, 17, 40, 6, 11
2019/11/22, 222, 136, 31, 41, 6, 11
2019/11/23, 243, 35, 28, 11, 3, 4
2019/11/24, 69, 45, 17, 17, 4, 4
2019/11/25, 99, 64, 5, 22, 5, 5
2019/11/26, 121, 73, 4, 22, 6, 7
2019/11/27, 160, 71, 13, 20, 6, 6
2019/11/28, 157, 69, 13, 19, 5, 6
2019/11/29, 166, 70, 14, 19, 4, 8
2019/11/30, 165, 50, 26, 19, 4, 5
2019/12/1, 116, 65, 20, 31, 5, 6
2019/12/2, 100, 96, 15, 37, 7, 10
2019/12/3, 165, 94, 14, 36, 7, 11
2019/12/4, 156, 95, 8, 39, 9, 10
2019/12/5, 165, 100, 15, 33, 9, 9
2019/12/6, 188, 149, 8, 51, 8, 15
2019/12/7, 252, 120, 19, 36, 8, 11
2019/12/8, 231, 78, 16, 35, 8, 8
2019/12/9, 160, 82, 23, 31, 7, 7
2019/12/10, 138, 100, 13, 36, 11, 8
2019/12/11, 159, 105, 13, 34, 12, 11
2019/12/12, 176, 118, 17, 39, 11, 12
2019/12/13, 196, 106, 19, 25, 9, 8
2019/12/14, 186, 60, 13, 18, 6, 6
2019/12/15, 154, 78, 19, 21, 6, 7
2019/12/16, 163, 81, 17, 29, 7, 8
2019/12/17, 154, 55, 28, 21, 5, 5
2019/12/18, 114, 80, 7, 37, 7, 8
2019/12/19, 156, 98, 15, 32, 9, 12
2019/12/20, 193, 139, 9, 42, 8, 15
2019/12/21, 263, 167, 18, 43, 7, 17
2019/12/22, 311, 176, 18, 34, 7, 18
2019/12/23, 324, 117, 8, 26, 6, 16
2019/12/24, 229, 109, 10, 22, 6, 15
2019/12/25, 221, 52, 25, 16, 4, 5
2019/12/26, 64, 66, 19, 28, 6, 7
2019/12/27, 140, 90, 11, 41, 10, 12
2019/12/28, 167, 113, 5, 41, 11, 14
2019/12/29, 190, , , , , 
2019/7/1, 72, 56, 105, 27, 4, 5
2019/7/2, 96, 57, 57, 26, 2, 5
2019/7/3, 117, 27, 83, 10, 2, 4
2019/7/4, 66, 35, 75, 15, 2, 4
2019/7/5, 58, 41, 74, 15, 2, 2
2019/7/6, 50, 51, 91, 25, 3, 3
2019/7/7, 65, 46, 44, 13, 2, 4
2019/7/8, 95, 32, 68, 10, 2, 5
2019/7/9, 81, 26, 83, 10, 2, 4
2019/7/10, 57, 43, 73, 11, 2, 6
2019/7/11, 102, 33, 83, 11, 2, 5
2019/7/12, 80, 42, 103, 21, 2, 5
2019/7/13, 71, 54, 107, 25, 3, 6
2019/7/14, 92, 42, 74, 11, 2, 5
2019/7/15, 88, 40, 44, 13, 1, 6
2019/7/16, 93, 37, 40, 8, 1, 6
2019/7/17, 83, 34, 32, 13, 1, 6
2019/7/18, 76, 41, 42, 10, 1, 7
2019/7/19, 90, 29, 71, 9, 1, 4
2019/7/20, 57, 50, 77, 12, 1, 7
2019/7/21, 102, 46, 39, 10, 1, 5
2019/7/22, 78, 60, 79, 20, 2, 5
2019/7/23, 81, 65, 57, 18, 2, 4
2019/7/24, 91, 55, 106, 18, 2, 4
2019/7/25, 90, 62, 83, 22, 1, 5
2019/7/26, 102, 42, 99, 11, 1, 5
2019/7/27, 78, 49, 55, 16, 1, 4
2019/7/28, 82, 23, 41, 7, 1, 4
2019/7/29, 55, 43, 96, 19, 1, 5
2019/7/30, 69, 49, 107, 16, 2, 5
2019/7/31, 76, 46, 86, 11, 1, 4
2019/8/1, 75, 37, 51, 7, 2, 5
2019/8/2, 53, 35, 30, 8, 1, 6
2019/8/3, 81, 36, 74, 10, 1, 5
2019/8/4, 84, 42, 50, 12, 1, 6
2019/8/5, 85, 19, 39, 11, 1, 5
2019/8/6, 48, 34, 82, 15, 1, 5
2019/8/7, 71, 45, 64, 17, 1, 6
2019/8/8, 91, 35, 40, 11, 1, 5
2019/8/9, 59, 42, 89, 16, 1, 5
2019/8/10, 65, 53, 94, 20, 2, 5
2019/8/11, 79, 47, 69, 22, 2, 5
2019/8/12, 66, 39, 80, 17, 3, 5
2019/8/13, 57, 44, 79, 17, 3, 4
2019/8/14, 62, 43, 101, 20, 3, 4
2019/8/15, 71, 53, 115, 23, 2, 4
2019/8/16, 86, 47, 87, 13, 5, 6
2019/8/17, 80, 58, 97, 14, 5, 7
2019/8/18, 124, 49, 62, 7, 2, 5
2019/8/19, 109, 44, 47, 9, 2, 6
2019/8/20, 81, 21, 42, 8, 1, 5
2019/8/21, 58, 42, 39, 10, 2, 8
2019/8/22, 104, 56, 62, 14, 2, 10
2019/8/23, 133, 65, 111, 14, 4, 10
2019/8/24, 147, 63, 73, 9, 3, 13
2019/8/25, 153, 60, 50, 9, 3, 11
2019/8/26, 128, 19, 38, 11, 1, 6
2019/8/27, 49, 40, 65, 17, 4, 7
2019/8/28, 81, 36, 73, 16, 2, 5
2019/8/29, 69, 52, 71, 27, 4, 7
2019/8/30, 84, 62, 32, 32, 3, 8
2019/8/31, 119, 28, 49, 9, 1, 7
2019/9/1, 85, 42, 72, 15, 3, 6
2019/9/2, 86, 45, 66, 12, 2, 6
2019/9/3, 105, 51, 32, 17, 2, 7
2019/9/4, 119, 54, 82, 15, 2, 7
2019/9/5, 122, 61, 73, 22, 3, 6
2019/9/6, 123, 57, 90, 18, 3, 5
2019/9/7, 112, 72, 85, 27, 3, 7
2019/9/8, 138, 60, 57, 18, 3, 6
2019/9/9, 131, 40, 43, 8, 1, 7
2019/9/10, 111, 28, 37, 7, 1, 6
2019/9/11, 80, 27, 29, 9, 2, 6
2019/9/12, 66, 19, 30, 7, 2, 2
2019/9/13, 27, 11, 28, 12, 1, 2
2019/9/14, 31, 12, 24, 14, 1, 4
2019/9/15, 34, 24, 6, 29, 2, 5
2019/9/16, 64, 26, 33, 19, 2, 5
2019/9/17, 73, 38, 31, 22, 2, 6
2019/9/18, 94, 24, 29, 12, 2, 5
2019/9/19, 59, 35, 36, 16, 2, 6
2019/9/20, 66, 51, 49, 26, 3, 7
2019/9/21, 95, 52, 58, 24, 3, 6
2019/9/22, 93, 56, 66, 26, 3, 6
2019/9/23, 102, 56, 37, 25, 3, 7
2019/9/24, 93, 59, 54, 24, 3, 7
2019/9/25, 111, 78, 59, 34, 3, 7
2019/9/26, 136, 61, 69, 26, 4, 6
2019/9/27, 113, 72, 51, 31, 3, 7
2019/9/28, 120, 70, 56, 33, 4, 7
2019/9/29, 126, 76, 78, 28, 4, 8
2019/9/30, 146, 72, 32, 23, 2, 8
2019/4/1, 147, 97, 25, 28, 4, 9
2019/4/2, 136, 73, 50, 23, 3, 7
2019/4/3, 123, 59, 46, 28, 2, 8
2019/4/4, 111, 69, 47, 28, 2, 8
2019/4/5, 133, 68, 53, 29, 3, 4
2019/4/6, 116, 118, 49, 32, 4, 6
2019/4/7, 161, 140, 68, 15, 5, 8
2019/4/8, 167, 53, 28, 12, 1, 6
2019/4/9, 83, 59, 15, 18, 1, 9
2019/4/10, 123, 70, 53, 19, 2, 9
2019/4/11, 121, 69, 25, 21, 2, 7
2019/4/12, 120, 57, 28, 25, 1, 7
2019/4/13, 96, 60, 50, 20, 3, 5
2019/4/14, 70, 63, 38, 28, 3, 5
2019/4/15, 78, 74, 40, 22, 2, 4
2019/4/16, 85, 104, 57, 35, 3, 7
