date, pm25, pm10, o3, no2, so2, co
2020/1/2, 47, 39, 43, 15, 5, 7
2020/1/3, 77, 35, 44, 15, 5, 6
2020/1/4, 76, 38, 44, 14, 4, 6
2020/1/5, 75, 43, 42, 18, 5, 8
2020/1/6, 99, 38, 37, 17, 5, 8
2020/1/7, 85, 46, 51, 15, 4, 9
2020/1/8, 76, 41, 59, 5, 3, 8
2020/1/9, 78, 46, 57, 13, 5, 5
2020/1/10, 94, 44, 41, 7, 3, 5
2020/1/11, 86, 26, 34, 9, 2, 7
2020/1/12, 59, 30, 47, 6, 2, 5
2020/1/13, 65, 46, 57, 13, 5, 6
2020/1/14, 100, 44, 48, 6, 2, 6
2020/1/15, 101, 27, 42, 7, 2, 6
2020/1/16, 73, , , , , 
2019/10/1, 62, 50, 81, 9, 9, 7
2019/10/2, 120, 48, 66, 5, 4, 7
2019/10/3, 126, 42, 68, 6, 7, 7
2019/10/4, 109, 41, 80, 6, 3, 6
2019/10/5, 92, 42, 55, 4, 1, 5
2019/10/6, 78, 37, 55, 4, 2, 5
2019/10/7, 78, 48, 67, 7, 4, 6
2019/10/8, 98, 42, 61, 5, 1, 6
2019/10/9, 90, 31, 76, 5, 2, 6
2019/10/10, 69, 44, 94, 7, 4, 6
2019/10/11, 98, 39, 87, 6, 3, 6
2019/10/12, 91, 44, 67, 5, 1, 7
2019/10/13, 91, 32, 58, 5, 2, 4
2019/10/14, 71, 31, 42, 4, 2, 2
2019/10/15, 48, 37, 54, 4, 3, 2
2019/10/16, 62, 33, 67, 5, 3, 2
2019/10/17, 60, 36, 73, 4, 2, 3
2019/10/18, 72, 45, 80, 4, 3, 4
2019/10/19, 84, 38, 78, 4, 3, 3
2019/10/20, 74, 41, 85, 4, 3, 4
2019/10/21, 79, 38, 71, 5, 3, 3
2019/10/22, 74, 40, 61, 6, 3, 4
2019/10/23, 80, 42, 66, 6, 4, 4
2019/10/24, 86, 43, 82, 4, 4, 4
2019/10/25, 83, 46, 76, 5, 4, 4
2019/10/26, 90, 48, 55, 6, 4, 5
2019/10/27, 100, 32, 53, 9, 5, 6
2019/10/28, 70, 27, 56, 8, 3, 6
2019/10/29, 52, 88, 73, 6, 4, 4
2019/10/30, 123, 62, 66, 7, 3, 4
2019/10/31, 88, 51, 64, 7, 3, 4
2019/11/1, 68, 35, 55, 6, 2, 3
2019/11/2, 56, 60, 75, 7, 2, 5
2019/11/3, 94, 61, 76, 4, 2, 4
2019/11/4, 92, 49, 70, 4, 1, 4
2019/11/5, 81, 38, , 4, 1, 4
2019/11/6, 70, 43, 59, 9, 2, 4
2019/11/7, 74, 40, 66, 4, 1, 4
2019/11/8, 74, 47, 74, 5, 1, 4
2019/11/9, 81, 33, 62, 7, 2, 4
2019/11/10, 61, 50, 79, 16, 8, 6
2019/11/11, 102, 51, 92, 9, 3, 6
2019/11/12, 97, 64, 85, 14, 6, 7
2019/11/13, 108, 63, 67, 6, 3, 6
2019/11/14, 99, 45, 62, 6, 1, 4
2019/11/15, 64, 43, 49, 13, 5, 5
2019/11/16, 74, 47, 60, 16, 6, 5
2019/11/17, 84, 61, 62, 13, 7, 7
2019/11/18, 109, 57, 50, 5, 2, 5
2019/11/19, 74, 46, 42, 3, 1, 3
2019/11/20, 62, 38, 41, 7, 2, 3
2019/11/21, 60, 44, 37, 16, 6, 5
2019/11/22, 77, 21, 38, 8, 3, 4
2019/11/23, 46, 29, 41, 12, 3, 4
2019/11/24, 63, 39, 46, 5, 2, 3
2019/11/25, 59, 23, 36, 5, 1, 3
2019/11/26, 50, 28, 34, 7, 2, 3
2019/11/27, 54, 29, 29, 9, 3, 3
2019/11/28, 55, 29, 46, 7, 2, 7
2019/11/29, 60, 38, 40, 16, 4, 4
2019/11/30, 67, 43, 57, 18, 6, 6
2019/12/1, 92, 28, 43, 7, 2, 6
