date, pm25, pm10, o3, no2, so2, co
2020/1/2, 160, 58, 6, 15, 3, 8
2020/1/3, 151, 87, 16, 17, 3, 9
2020/1/4, 179, 104, 17, 30, 7, 13
2020/1/5, 194, 56, 5, 18, 3, 11
2020/1/6, 137, 27, 34, 16, 5, 11
2020/1/7, 76, 48, 25, 23, 4, 11
2020/1/8, 136, 34, 14, 15, 4, 6
2020/1/9, 94, 18, 11, 14, 4, 6
2020/1/10, 70, 38, 22, 15, 4, 7
2020/1/11, 128, 58, 27, 22, 7, 12
2020/1/12, 149, 55, 21, 22, 7, 9
2020/1/13, 127, 74, 21, 22, 4, 9
2020/1/14, 166, 45, 18, 19, 4, 10
2020/1/15, 119, 30, 20, 11, 3, 9
2020/1/16, 97, , , , , 
2019/10/1, 131, 75, 124, 29, 13, 12
2019/10/2, 159, 78, 105, 33, 12, 12
2019/10/3, 160, 86, 104, 31, 17, 13
2019/10/4, 169, 79, 51, 15, 5, 8
2019/10/5, 151, 32, 10, 9, 2, 7
2019/10/6, 81, 27, 21, 9, 2, 6
2019/10/7, 74, 48, 40, 13, 4, 7
2019/10/8, 115, 64, 66, 22, 6, 10
2019/10/9, 136, 75, 70, 23, 8, 12
2019/10/10, 162, 56, 33, 10, 4, 8
2019/10/11, 133, 38, 27, 10, 4, 8
2019/10/12, 99, 45, 32, 12, 4, 8
2019/10/13, 125, 48, 30, 15, 4, 9
2019/10/14, 105, 65, 17, 13, 3, 7
2019/10/15, 158, 41, 22, 13, 3, 6
2019/10/16, 118, 42, 24, 12, 3, 6
2019/10/17, 127, 48, 57, 19, 6, 8
2019/10/18, 132, 58, 69, 31, 8, 9
2019/10/19, 139, 75, 89, 38, 10, 10
2019/10/20, 157, 78, 85, 43, 9, 12
2019/10/21, 158, 78, 42, 32, 11, 10
2019/10/22, 184, 53, 34, 14, 3, 8
2019/10/23, 155, 60, 43, 19, 6, 9
2019/10/24, 146, 41, 40, 16, 3, 8
2019/10/25, 118, 36, 16, 13, 3, 6
2019/10/26, 99, 45, 22, 15, 3, 8
2019/10/27, 135, 53, 27, 21, 8, 11
2019/10/28, 138, 79, 39, 27, 10, 16
2019/10/29, 146, 100, 58, 31, 13, 16
