date, pm25, o3
2020/1/2, 114, 
2020/1/3, 93, 
2020/1/4, 120, 
2020/1/5, 114, 
2020/1/6, 97, 
2020/1/7, 103, 
2020/1/8, 132, 
2020/1/9, 145, 
2020/1/10, 153, 
2020/1/11, 125, 
2020/1/12, 122, 
2020/1/13, 143, 
2020/1/14, 136, 
2020/1/15, 144, 
2020/1/16, 109, 
2019/10/1, 33, 2
2019/10/2, 20, 2
2019/10/3, 29, 2
2019/10/4, 40, 1
2019/10/5, 45, 2
2019/10/6, 50, 4
2019/10/7, 58, 3
2019/10/8, 71, 4
2019/10/9, 64, 4
2019/10/10, 46, 
2019/10/11, 36, 3
2019/10/12, 33, 3
2019/10/13, 62, 3
2019/10/14, 66, 4
2019/10/15, 56, 5
2019/10/16, 56, 4
2019/10/17, 72, 5
2019/10/18, 74, 7
2019/10/19, 97, 7
2019/10/20, 80, 6
2019/10/21, 69, 5
2019/10/22, 61, 5
2019/10/23, 55, 11
2019/10/24, 77, 12
2019/10/25, 119, 9
2019/10/26, 104, 7
2019/10/27, 90, 6
2019/10/28, 85, 8
2019/10/29, 82, 12
2019/10/30, 65, 6
2019/10/31, 71, 9
2019/11/1, 79, 10
2019/11/2, 90, 7
2019/11/3, 64, 3
2019/11/4, 51, 5
2019/11/5, 68, 2
2019/11/6, 80, 
2019/11/12, 93, 6
2019/11/13, 84, 1
2019/11/14, 82, 8
2019/11/15, 62, 11
2019/11/16, 69, 10
2019/11/17, 59, 7
2019/11/18, 63, 9
2019/11/19, 101, 9
2019/11/20, 107, 10
2019/11/21, 110, 11
2019/11/22, 95, 8
2019/11/23, 86, 8
2019/11/24, 91, 9
2019/11/25, 106, 10
2019/11/26, 94, 10
2019/11/27, 84, 9
2019/11/28, 76, 8
2019/11/29, 83, 10
2019/11/30, 95, 10
2019/12/1, 104, 8
2019/12/2, 89, 8
2019/12/3, 96, 10
2019/12/4, 91, 10
2019/12/5, 113, 9
2019/12/6, 101, 9
2019/12/7, 106, 11
2019/12/8, 119, 12
2019/12/9, 132, 11
2019/12/10, 133, 10
2019/12/11, 143, 10
2019/12/12, 141, 8
2019/12/13, 147, 
2019/12/14, 147, 
2019/12/15, 122, 
2019/12/16, 109, 
2019/12/17, 112, 
2019/12/18, 129, 
2019/12/19, 135, 
2019/12/20, 121, 
2019/12/21, 121, 
2019/12/22, 108, 
2019/12/23, 112, 
2019/12/24, 117, 
2019/12/25, 132, 
2019/12/26, 127, 
2019/12/27, 153, 
2019/12/28, 148, 
2019/12/29, 143, 
2019/7/1, 42, 2
2019/7/2, 52, 1
2019/7/3, 47, 3
2019/7/4, 25, 3
2019/7/5, 16, 2
2019/7/6, 19, 2
2019/7/7, 21, 1
2019/7/8, 42, 1
2019/7/9, 46, 1
2019/7/10, 41, 1
2019/7/11, 33, 1
2019/7/12, 46, 1
2019/7/13, 31, 1
2019/7/14, 26, 2
2019/7/15, 22, 3
2019/7/16, 23, 2
2019/7/17, 28, 3
2019/7/18, 33, 2
2019/7/19, 19, 1
2019/7/20, 18, 1
2019/7/21, 22, 2
2019/7/22, 21, 1
2019/7/23, 20, 1
2019/7/24, 20, 1
2019/7/25, 15, 1
2019/7/26, 23, 2
2019/7/27, 19, 2
2019/7/28, 19, 2
2019/7/29, 24, 1
2019/7/30, 38, 2
2019/7/31, 20, 2
2019/8/1, 28, 2
2019/8/2, 22, 2
2019/8/3, 23, 2
2019/8/4, 25, 2
2019/8/5, 15, 2
2019/8/6, 20, 1
2019/8/7, 23, 1
2019/8/8, 41, 
2019/8/9, 38, 1
2019/8/10, 34, 1
2019/8/11, 24, 2
2019/8/12, 29, 1
2019/8/13, 37, 1
2019/8/14, 46, 1
2019/8/15, 50, 1
2019/8/16, 50, 1
2019/8/17, 34, 1
2019/8/18, 20, 1
2019/8/19, 20, 1
2019/8/20, 19, 1
2019/8/21, 14, 1
2019/8/22, 11, 2
2019/8/23, 19, 1
2019/8/24, 24, 2
2019/8/25, 23, 2
2019/8/26, 14, 2
2019/8/27, 12, 2
2019/8/28, 16, 2
2019/8/29, 20, 2
2019/8/30, 26, 1
2019/8/31, 21, 2
2019/9/1, 14, 1
2019/9/2, 22, 1
2019/9/3, 11, 2
2019/9/4, 17, 1
2019/9/5, 24, 1
2019/9/6, 13, 1
2019/9/7, 16, 1
2019/9/8, 18, 1
2019/9/9, 28, 1
2019/9/10, 22, 1
2019/9/11, 15, 1
2019/9/12, 18, 1
2019/9/13, 22, 2
2019/9/14, 25, 2
2019/9/15, 20, 2
2019/9/16, 24, 1
2019/9/17, 19, 4
2019/9/18, 36, 4
2019/9/19, 37, 2
2019/9/20, 18, 2
2019/9/21, 26, 4
2019/9/22, 21, 4
2019/9/23, 47, 5
2019/9/24, 65, 6
2019/9/25, 74, 4
2019/9/26, 67, 3
2019/9/27, 71, 4
2019/9/28, 80, 7
2019/9/29, 85, 4
2019/9/30, 56, 2
2019/5/24, 70, 
2019/5/25, 70, 
2019/5/26, 45, 
2019/5/27, 47, 
2019/5/28, 61, 
2019/5/29, 37, 
2019/5/30, 45, 
2019/5/31, 45, 
2019/6/1, 16, 
2019/6/2, 21, 
2019/6/3, 21, 
2019/6/4, 50, 
2019/6/5, 31, 
2019/6/6, 35, 
2019/6/7, 46, 
2019/6/8, 47, 
2019/6/9, 21, 
2019/6/10, 18, 
2019/6/11, 28, 
2019/6/12, 31, 
2019/6/13, 37, 
2019/6/14, 45, 
2019/6/15, 34, 
