date, pm25, pm10, o3, no2, so2, co
2020/1/2, 184, 125, 19, 35, 14, 
2020/1/3, 216, 128, 17, 39, 15, 
2020/1/4, 217, 118, 16, 33, 11, 
2020/1/5, 201, 30, 28, 20, 5, 
2020/1/6, 82, 39, 32, 14, 5, 
2020/1/7, 103, 32, 35, 10, 6, 
2020/1/8, 70, 63, 26, 25, 10, 
2020/1/9, 141, 98, 37, 33, 11, 
2020/1/10, 190, 66, 32, 19, 9, 
2020/1/11, 125, 37, 32, 12, 7, 
2020/1/12, 80, 66, 27, 22, 9, 
2020/1/13, 146, 43, 34, 15, 7, 
2020/1/14, 89, 62, 33, 20, 8, 
2020/1/15, 135, 96, 25, 25, 13, 
2020/1/16, 178, , , , , 
2019/10/1, 131, 71, 80, 13, 5, 
2019/10/2, 138, 72, 91, 14, 6, 
2019/10/3, 141, 61, 29, 10, 2, 
2019/10/4, 76, 40, 36, 8, 2, 
2019/10/5, 32, 40, 35, 16, 4, 
2019/10/6, 51, 56, 46, 17, 5, 
2019/10/7, 102, 49, 35, 14, 4, 
2019/10/8, 56, 63, 54, 20, 4, 
2019/10/9, 78, 51, 40, 15, 4, 
2019/10/10, 106, 55, 56, 18, 4, 
2019/10/11, 95, 62, 48, 19, 4, 
2019/10/12, 98, 75, 44, 21, 6, 
2019/10/13, 108, 36, 30, 8, 3, 
2019/10/14, 37, 28, 35, 12, 3, 
2019/10/15, 36, 61, 39, 22, 6, 
2019/10/16, 105, 67, 52, 22, 7, 
2019/10/17, 132, 72, 41, 27, 5, 
2019/10/18, 135, 83, 72, 27, 5, 
2019/10/19, 160, 95, 87, 21, 6, 
2019/10/20, 166, 110, 71, 26, 6, 
2019/10/21, 195, 130, 75, 24, 5, 
2019/10/22, 209, 104, 62, 25, 4, 
2019/10/23, 163, 87, 58, 23, 5, 
2019/10/24, 151, 39, 38, 12, 3, 
2019/10/25, 54, 29, 30, 14, 3, 
2019/10/26, 39, 66, 43, 20, 5, 
2019/10/27, 112, 125, 40, 16, 7, 
2019/10/28, 128, 51, 27, 19, 4, 
2019/10/29, 61, 112, 55, 23, 7, 
2019/10/30, 129, 166, 71, 27, 9, 
2019/10/31, 181, 83, 34, 26, 6, 
2019/11/1, 107, 65, 26, 32, 6, 
2019/11/2, 102, 64, 30, 21, 6, 
2019/11/3, 96, 39, 32, 15, 6, 
2019/11/4, 73, 80, 33, 28, 8, 
2019/11/5, 155, 73, 25, 32, 6, 
2019/11/6, 109, 50, 32, 16, 5, 
2019/11/7, 65, 59, 35, 23, 6, 
2019/11/8, 98, 95, 56, 30, 7, 
2019/11/9, 170, 80, 49, 16, 5, 
2019/11/10, 150, 61, 30, 18, 4, 
2019/11/11, 82, 66, 39, 18, 7, 
2019/11/12, 95, 60, 35, 15, 5, 
2019/11/13, 98, 51, 32, 11, 4, 
2019/11/14, 68, 67, 27, 19, 7, 
2019/11/15, 103, 61, 31, 18, 5, 
2019/11/16, 106, 50, 28, 19, 3, 
2019/11/17, 97, 77, 24, 5, 3, 
2019/11/18, 51, 67, 26, 14, 8, 
2019/11/19, 69, 77, 27, 20, 6, 
2019/11/20, 117, 73, 30, 21, 7, 
2019/11/21, 110, 53, 35, 19, 6, 
2019/11/22, 79, 42, 29, 21, 4, 
2019/11/23, 94, 37, 28, 13, 3, 
2019/11/24, 69, 31, 26, 10, 3, 
2019/11/25, 47, 51, 27, 19, 6, 
2019/11/26, 103, 48, 27, 14, 5, 
2019/11/27, 68, 27, 29, 11, 4, 
2019/11/28, 52, 36, 29, 18, 6, 
2019/11/29, 76, 74, 19, 24, 9, 
2019/11/30, 149, 73, 22, 20, 10, 
2019/12/1, 155, 40, 27, 11, 7, 
2019/12/2, 59, 64, 24, 22, 11, 
2019/12/3, 125, 82, 22, 25, 13, 
2019/12/4, 148, 37, 26, 12, 5, 
2019/12/5, 66, 45, 27, 17, 6, 
2019/12/6, 90, 80, 23, 24, 9, 
2019/12/7, 157, 102, 41, 24, 8, 
2019/12/8, 184, 145, 32, 36, 11, 
2019/12/9, 254, 152, 38, 30, 9, 
2019/12/10, 259, 84, 25, 22, 8, 
2019/12/11, 115, 51, 23, 12, 6, 
2019/12/12, 84, 63, 25, 17, 7, 
2019/12/13, 115, 26, 23, 11, 5, 
