date, pm25, pm10, o3, no2, so2, co
2020/1/2, 175, 114, 9, 38, 13, 27
2020/1/3, 188, 116, 20, 30, 15, 26
2020/1/4, 193, 96, 9, 26, 16, 21
2020/1/5, 180, 114, 16, 22, 8, 21
2020/1/6, 195, 51, 26, 18, 6, 10
2020/1/7, 117, 75, 24, 21, 6, 16
2020/1/8, 171, 124, 15, 32, 16, 23
2020/1/9, 204, 190, 14, 32, 9, 27
2020/1/10, 269, 152, 14, 27, 4, 22
2020/1/11, 240, 130, 15, 26, 4, 19
2020/1/12, 214, 72, 22, 19, 5, 11
2020/1/13, 154, 92, 25, 22, 4, 19
2020/1/14, 177, 67, 18, 20, 3, 11
2020/1/15, 158, 78, 14, 21, 3, 12
2020/1/16, 168, , , , , 
2019/10/1, 81, 24, 55, 7, 4, 4
2019/10/2, 56, 55, 32, 11, 5, 5
2019/10/3, 89, 30, 33, 9, 8, 5
2019/10/4, 64, 26, 36, 9, 4, 4
2019/10/5, 55, 28, 29, 9, 3, 5
2019/10/6, 72, 24, 30, 15, 3, 4
2019/10/7, 61, 33, 42, 23, 4, 5
2019/10/8, 70, 26, 33, 20, 4, 4
2019/10/9, 56, 31, 34, 18, 3, 4
2019/10/10, 52, 44, 26, 25, 9, 6
2019/10/11, 69, 54, 25, 26, 5, 7
2019/10/12, 91, 45, 25, 16, 4, 5
2019/10/13, 76, 35, 19, 10, 5, 9
2019/10/14, 68, 62, 16, 16, 7, 12
2019/10/15, 110, 52, 24, 17, 2, 6
2019/10/16, 126, 51, 27, 23, 3, 7
2019/10/17, 105, 53, 25, 25, 4, 8
2019/10/18, 99, 63, 11, 27, 4, 8
2019/10/19, 122, 58, 33, 24, 7, 6
2019/10/20, 80, 75, 21, 35, 10, 13
2019/10/21, 122, 68, 26, 35, 6, 11
2019/10/22, 120, 43, 29, 12, 3, 5
2019/10/23, 76, 26, 30, 9, 3, 6
2019/10/24, 49, 38, 21, 23, 10, 9
2019/10/25, 68, 45, 32, 20, 3, 8
2019/10/26, 66, 76, 35, 17, 4, 7
2019/10/27, 86, 100, 37, 12, 3, 7
2019/10/28, 86, 64, 29, 25, 8, 9
2019/10/29, 100, 46, 36, 17, 3, 7
2019/10/30, 66, 66, 33, 26, 8, 9
2019/10/31, 104, 29, 27, 13, 3, 6
2019/11/1, 70, 33, 36, 17, 4, 9
2019/11/2, 74, 51, 40, 26, 8, 6
2019/11/3, 85, 50, 35, 23, 8, 9
2019/11/4, 107, 56, 31, 22, 8, 10
2019/11/5, 117, 38, 30, 21, 5, 7
2019/11/6, 88, 40, 20, 17, 5, 6
2019/11/7, 71, 71, 23, 33, 10, 13
2019/11/8, 133, 83, 33, 11, 4, 8
2019/11/9, 102, 63, 37, 12, 3, 6
2019/11/10, 66, 59, 17, 29, 12, 13
2019/11/11, 92, 58, 20, 26, 7, 13
2019/11/12, 101, 44, 31, 7, 3, 4
2019/11/13, 54, 32, 36, 12, 5, 8
2019/11/14, 49, 63, 17, 30, 7, 12
2019/11/15, 84, 77, 9, 32, 14, 13
2019/11/16, 120, 146, 30, 6, 3, 8
2019/11/17, 96, 73, 16, 19, 14, 11
2019/11/18, 94, 83, 13, 29, 16, 13
