date, pm25, pm10, o3, no2, so2
2020/1/2, 45, 34, 19, 10, 
2020/1/3, 80, 24, 17, 7, 
2020/1/4, 62, 14, 18, 6, 
2020/1/5, 41, 14, 19, 8, 
2020/1/6, 35, 26, 9, 7, 
2020/1/7, 70, 17, 15, 6, 
2020/1/8, 47, 12, 15, 9, 
2020/1/9, 40, 10, 16, 6, 
2020/1/10, 27, 13, 22, 8, 
2020/1/11, 30, 14, 18, 8, 
2020/1/12, 39, 7, 25, 4, 
2020/1/13, 14, 10, 23, 8, 
2020/1/14, 24, 14, 19, 10, 
2020/1/15, 28, , , , 
2019/10/1, 15, 23, 28, 8, 
2019/10/2, 29, 22, 29, 6, 
2019/10/3, 25, 21, 26, 7, 
2019/10/4, 23, 28, 25, 8, 
2019/10/5, 24, 28, 28, 9, 
2019/10/6, 33, 36, 36, 12, 
2019/10/7, 41, 44, 45, 14, 
2019/10/8, 53, 59, 29, 2, 
2019/10/9, 20, 37, 28, 3, 
2019/10/10, 16, 44, 31, 11, 
2019/10/11, 35, 51, 37, 13, 
2019/10/12, 55, 46, 39, 9, 
2019/10/13, 58, 54, 39, 11, 
2019/10/14, 58, 49, 43, 14, 
2019/10/15, 52, 51, 40, 12, 
2019/10/16, 53, 20, 28, 4, 
2019/10/17, 16, 27, 29, 7, 
2019/10/18, 28, 28, 26, 6, 
2019/10/19, 27, 20, 27, 8, 
2019/10/20, 31, 27, 25, 4, 
2019/10/21, 17, 43, 31, 11, 
2019/10/22, 44, 46, 27, 5, 
2019/10/23, 26, 30, 30, 3, 
2019/10/24, 21, 47, 31, 14, 
2019/10/25, 40, 38, 28, 13, 
2019/10/26, 38, 68, 27, 1, 
2019/10/27, 30, 31, 27, 6, 
2019/10/28, 20, 45, 30, 7, 
2019/10/29, 26, 33, 30, 9, 
2019/10/30, 24, 38, 28, 14, 
2019/10/31, 38, 53, 32, 17, 
2019/11/1, 58, 50, 34, 16, 
2019/11/2, 59, 44, 34, 16, 
2019/11/3, 63, 43, 34, 16, 
2019/11/4, 53, 55, 32, 20, 
2019/11/5, 66, 48, 31, 17, 
2019/11/6, 55, 51, 35, 16, 
2019/11/7, 59, 41, 26, 14, 
2019/11/8, 50, 39, 28, 13, 
2019/11/9, 43, 39, 34, 14, 
2019/11/10, 49, 47, 34, 16, 
2019/11/11, 55, 45, 29, 16, 
2019/11/12, 56, 53, 19, 19, 
2019/11/13, 63, 35, 31, 8, 
2019/11/14, 44, 26, 25, 11, 
2019/11/15, 41, 36, 23, 11, 
2019/11/16, 57, 38, 31, 14, 
2019/11/17, 61, 40, 37, 13, 
2019/11/18, 57, 38, 28, 10, 
2019/11/19, 44, 51, 27, 2, 
2019/11/20, 16, 45, 26, 11, 
2019/11/21, 38, 48, 24, 12, 
2019/11/22, 55, 44, 21, 12, 
2019/11/23, 60, 36, 23, 12, 
2019/11/24, 59, 36, 30, 6, 
2019/11/25, 39, 16, 26, 4, 
2019/11/26, 14, 10, 23, 4, 
2019/11/27, 13, 6, 25, 3, 
2019/11/28, 14, 14, 20, 10, 
2019/11/29, 36, 14, 21, 9, 
2019/11/30, 40, 4, 14, 3, 
2019/12/1, 15, 3, 15, 4, 
2019/12/2, 10, 11, 14, 4, 
2019/12/3, 21, 12, 3, 6, 
2019/12/4, 37, 16, 16, 6, 
2019/12/5, 39, 14, 24, 4, 
2019/12/6, 28, 7, 24, 1, 
2019/12/7, 18, 7, 23, 4, 
2019/12/8, 16, 16, 9, 7, 
2019/12/9, 37, 20, 13, 7, 
2019/12/10, 50, 17, 6, 9, 
2019/12/11, 52, 13, 12, 5, 
2019/12/12, 37, 12, 17, 5, 
2019/12/13, 33, 7, 21, 4, 
2019/12/14, 13, 13, 21, 9, 
2019/12/15, 34, 16, 16, 9, 
2019/12/16, 35, 21, 12, 10, 
2019/12/17, 51, 15, 15, 6, 
2019/12/18, 42, 10, 14, 5, 
2019/12/19, 23, 23, 19, 9, 
2019/12/20, 52, 38, 6, 11, 
2019/12/21, 81, 11, 22, 4, 
2019/12/22, 30, 10, 16, 8, 
2019/12/23, 26, 21, 11, 8, 
2019/12/24, 51, 14, 18, 4, 
2019/12/25, 40, 4, 23, 2, 
2019/12/26, 11, 7, 24, 7, 
2019/12/27, 19, 24, 4, 11, 
2019/12/28, 62, , , , 
2019/7/1, 40, 22, 41, 3, 
2019/7/2, 43, 22, 40, 3, 
2019/7/3, 49, 31, 39, 4, 
2019/7/4, 64, 26, 38, 3, 
2019/7/5, 60, 21, 43, 3, 
2019/7/6, 49, 20, 32, 2, 
2019/7/7, 48, 21, 31, 2, 
2019/7/8, 45, 20, 37, 3, 
2019/7/9, 42, 14, 30, 2, 
2019/7/10, 36, 15, 34, 3, 
2019/7/11, 31, 17, 36, 3, 
2019/7/12, 35, 19, 38, 3, 
2019/7/13, 40, 15, 36, 3, 
2019/7/14, 42, 19, 40, 4, 
2019/7/15, 39, 19, 29, 2, 
2019/7/16, 37, 25, 50, 3, 
2019/7/17, 47, 22, 34, 3, 
2019/7/18, 43, 18, 33, 2, 
2019/7/19, 36, 20, 33, 2, 
2019/7/20, 46, 16, 34, 3, 
2019/7/21, 36, 22, 16, 4, 
2019/7/22, 46, 22, 36, 3, 
2019/7/23, 42, 20, 39, 5, 
2019/7/24, 32, 24, 60, 6, 
2019/7/25, 43, 23, 48, 4, 
2019/7/26, 39, 24, 47, 7, 
2019/7/27, 53, 24, 43, 6, 
2019/7/28, 58, 32, 38, 3, 
2019/7/29, 58, 24, 39, 3, 
2019/7/30, 49, 25, 47, 5, 
2019/7/31, 51, 25, 40, 3, 
2019/8/1, 47, 22, 44, 4, 
2019/8/2, 45, 22, 44, 5, 
2019/8/3, 47, 13, 31, 4, 
2019/8/4, 34, 23, 41, 6, 
2019/8/5, 47, 25, 50, 5, 
2019/8/6, 49, 27, 43, 3, 
2019/8/7, 49, 22, 35, 3, 
2019/8/8, 40, 18, 33, 3, 
2019/8/9, 38, 12, 25, 2, 
2019/8/10, 33, 12, 29, 5, 
2019/8/11, 37, 21, 41, 5, 
2019/8/12, 46, 27, 42, 8, 
2019/8/13, 50, 33, 48, 7, 
2019/8/14, 54, 33, 49, 7, 
2019/8/15, 50, 32, 46, 5, 
2019/8/16, 49, 32, 36, 3, 
2019/8/17, 56, 21, 38, 2, 
2019/8/18, 46, 23, 39, 2, 
2019/8/19, 41, 24, 42, 3, 
2019/8/20, 43, 29, 45, 5, 
2019/8/21, 45, 23, 27, 6, 
2019/8/22, 36, 31, 45, 5, 
2019/8/23, 45, 27, 42, 3, 
2019/8/24, 48, 27, 41, 3, 
2019/8/25, 44, 35, 41, 7, 
2019/8/26, 50, 28, 52, 5, 
2019/8/27, 44, 28, 40, 3, 
2019/8/28, 36, 28, 31, 2, 
2019/8/29, 46, 27, 31, 6, 
2019/8/30, 44, 27, 39, 5, 
2019/8/31, 44, 26, 45, 6, 
2019/9/1, 44, 28, 38, 4, 
2019/9/2, 40, 22, 32, 5, 
2019/9/3, 40, 36, 43, 9, 
2019/9/4, 48, 26, 36, 5, 
2019/9/5, 39, 22, 37, 4, 
2019/9/6, 36, 26, 26, 2, 
2019/9/7, 31, 18, 31, 3, 
2019/9/8, 35, 20, 31, 4, 
2019/9/9, 37, 22, 35, 4, 
2019/9/10, 42, 24, 30, 7, 
2019/9/11, 39, 34, 46, 9, 
2019/9/12, 51, 41, 46, 12, 
2019/9/13, 48, 33, 49, 8, 
2019/9/14, 44, 29, 31, 2, 
2019/9/15, 26, 9, 25, 3, 
2019/9/16, 19, 13, 31, 7, 
2019/9/17, 18, 12, 25, 3, 
2019/9/18, 16, 11, 24, 6, 
2019/9/19, 19, 15, 26, 6, 
2019/9/20, 19, 17, 27, 6, 
2019/9/21, 22, 20, 36, 5, 
2019/9/22, 30, 23, 29, 3, 
2019/9/23, 19, 21, 29, 2, 
2019/9/24, 17, 28, 22, 5, 
2019/9/25, 25, 40, 40, 6, 
2019/9/26, 39, 20, 27, 2, 
2019/9/27, 26, 19, 24, 2, 
2019/9/28, 28, 9, 24, 3, 
2019/9/29, 15, 10, 25, 3, 
2019/9/30, 17, 16, 22, 6, 
2019/4/1, 34, 6, 20, 4, 
2019/4/2, 31, 7, 21, 5, 
2019/4/3, 21, 7, 20, 4, 
2019/4/4, 24, 6, 22, 4, 
2019/4/5, 25, 7, 26, 3, 
2019/4/6, 25, 8, 20, 3, 
2019/4/7, 26, 11, 15, 3, 
2019/4/8, 37, 7, 31, 4, 
2019/4/9, 19, 7, 28, 2, 
2019/4/10, 22, 8, 27, 3, 
2019/4/11, 22, 8, 31, 4, 
2019/4/12, 22, 10, 30, 5, 
2019/4/13, 33, 13, 25, 4, 
2019/4/14, 34, 14, 24, 5, 
2019/4/15, 32, 7, 25, 6, 
2019/4/16, 30, 14, 25, 8, 
2019/4/17, 39, 24, 35, 8, 
2019/4/18, 57, 21, 35, 6, 
2019/4/19, 51, 18, 21, 3, 
2019/4/20, 29, 8, 25, 5, 
2019/4/21, 22, 14, 30, 4, 
2019/4/22, 23, 23, 28, 5, 
2019/4/23, 30, 34, 35, 7, 
2019/4/24, 50, 29, 28, 6, 
2019/4/25, 51, 33, 34, 6, 
2019/4/26, 49, 35, 29, 5, 
2019/4/27, 54, 35, 34, 4, 
2019/4/28, 62, 38, 30, 4, 
2019/4/29, 52, 33, 30, 4, 
2019/4/30, 47, 30, 36, 5, 
2019/5/1, 35, 30, 35, 7, 
2019/5/2, 40, 37, 37, 7, 
2019/5/3, 43, 27, 36, 5, 
2019/5/4, 42, 28, 28, 3, 
2019/5/5, 35, 25, 25, 3, 
2019/5/6, 32, 24, 29, 3, 
2019/5/7, 34, 32, 31, 4, 
2019/5/8, 42, 31, 29, 4, 
2019/5/9, 42, 27, 34, 4, 
2019/5/10, 32, 30, 33, 3, 
2019/5/11, 43, 24, 28, 3, 
2019/5/12, 41, 29, 27, 3, 
2019/5/13, 33, 28, 25, 3, 
2019/5/14, 27, 12, 16, 4, 
2019/5/15, 32, 8, 28, 4, 
2019/5/16, 24, 9, 28, 3, 
2019/5/17, 30, 9, 22, 3, 
2019/5/18, 25, 6, 32, 4, 
2019/5/19, 26, 9, 34, 4, 
2019/5/20, 25, 6, 29, 2, 
2019/5/21, 24, 6, 23, 3, 
2019/5/22, 20, 9, 26, 2, 
2019/5/23, 27, 13, 28, 2, 
2019/5/24, 33, 15, 29, 2, 
2019/5/28, 38, 17, 35, 4, 
2019/5/29, 47, 18, 35, 3, 
2019/5/30, 38, 10, 37, 3, 
2019/5/31, 35, 13, 42, 3, 
2019/6/1, 30, 13, 36, 2, 
2019/6/2, 41, 15, 37, 3, 
2019/6/3, 34, 22, 41, 5, 
2019/6/4, 46, 19, 41, 5, 
2019/6/5, 39, 22, 35, 3, 
2019/6/6, 33, 18, 32, 2, 
2019/6/7, 27, 24, 29, 1, 
2019/6/8, 22, 11, 35, 5, 
2019/6/9, 22, 24, 41, 6, 
2019/6/10, 38, 23, 46, 6, 
2019/6/11, 46, 25, 48, 6, 
2019/6/12, 50, 27, 44, 4, 
2019/6/13, 48, 21, 38, 3, 
2019/6/14, 45, 22, 30, 2, 
2019/6/15, 44, 16, 38, 2, 
2019/6/16, 42, 23, 42, 3, 
2019/6/17, 47, 26, 40, 5, 
2019/6/18, 46, 22, 43, 4, 
2019/6/19, 44, 20, 38, 3, 
2019/6/20, 39, 24, 30, 4, 
2019/6/21, 30, 16, 31, 5, 
2019/6/22, 32, 16, 43, 5, 
2019/6/23, 42, 23, 43, 4, 
2019/6/24, 50, 23, 37, 3, 
2019/6/25, 44, 18, 30, 2, 
2019/6/26, 31, 14, 29, 2, 
2019/6/27, 28, 15, 38, 4, 
2019/6/28, 32, 16, 47, 4, 
2019/6/29, 34, 16, 45, 3, 
2019/6/30, 38, 18, 38, 3, 
2019/1/1, 25, 27, 20, 14, 
2019/1/2, 72, 34, 17, 13, 
2019/1/3, 88, 44, 14, 14, 
2019/1/4, 104, 22, 24, 9, 
2019/1/5, 67, 6, 22, 2, 
2019/1/6, 32, 6, 18, 4, 
2019/1/7, 28, 10, 9, 7, 
2019/1/8, 39, 7, 21, 3, 
2019/1/9, 29, 11, 14, 8, 
2019/1/10, 44, 10, 13, 5, 
2019/1/11, 38, , 15, 8, 
2019/1/12, 45, , 18, 10, 
2019/1/13, 61, 16, 11, 10, 
2019/1/14, 53, 6, 19, 7, 
2019/1/15, 29, 4, 23, 2, 
2019/1/16, 18, 12, 26, 2, 
2019/1/17, 33, 17, 18, 7, 
2019/1/18, 37, 14, 20, 6, 
2019/1/19, 39, 8, 29, 2, 
2019/1/20, 26, 5, 25, 4, 
2019/1/21, 20, 8, 22, 5, 
2019/1/22, 25, 15, 20, 9, 
2019/1/23, 42, 19, 19, 9, 
2019/1/24, 53, 24, 20, 11, 
2019/1/25, 58, 30, 17, 12, 
2019/1/26, 75, 27, 21, 9, 
2019/1/27, 71, 31, 16, 12, 
2019/1/28, 71, 36, 25, 13, 
2019/1/29, 79, 40, 18, 11, 
2019/1/30, 94, 31, 23, 8, 
2019/1/31, 82, 17, 18, 7, 
2019/2/1, 51, 5, 26, 3, 
2019/2/2, 23, 4, 28, 2, 
2019/2/3, 18, 3, 29, 2, 
2019/2/4, 17, 6, 28, 6, 
2019/2/5, 22, 12, 23, 9, 
2019/2/6, 38, 17, 21, 10, 
2019/2/7, 48, 13, 20, 7, 
2019/2/8, 44, 7, 27, 3, 
2019/2/9, 28, 8, 31, 5, 
2019/2/10, 29, 9, 24, 7, 
2019/2/11, 30, 10, 19, 8, 
2019/2/12, 35, 4, 22, 6, 
2019/2/13, 22, 4, 29, 2, 
2019/2/14, 19, 5, 29, 2, 
2019/2/15, 20, 6, 29, 3, 
2019/2/16, 23, 6, 28, 4, 
2019/2/17, 22, 5, 27, 3, 
2019/2/18, 20, 6, 27, 3, 
2019/2/19, 23, 9, 26, 5, 
2019/2/20, 29, 5, 27, 3, 
2019/2/21, 22, 9, 28, 5, 
2019/2/25, 30, 5, 24, 2, 
2019/2/26, 24, 6, 26, 2, 
2019/2/27, 24, 7, 28, 5, 
2019/2/28, 23, 13, 25, 7, 
2019/3/1, 37, 6, 20, 4, 
2019/3/2, 30, 10, 18, 6, 
2019/3/3, 43, 14, 28, 7, 
2019/3/4, 37, 10, 22, 5, 
2019/3/5, 33, 4, 27, 2, 
2019/3/6, 24, 5, 28, 2, 
2019/3/7, 23, 6, 25, 4, 
2019/3/8, 23, 6, 28, 3, 
2019/3/9, 22, 7, 29, 4, 
2019/3/10, 28, 4, 29, 2, 
2019/3/11, 22, 7, 32, 5, 
2019/3/12, 24, 5, 31, 4, 
2019/3/13, 23, 8, 30, 5, 
2019/3/14, 24, 15, 28, 9, 
2019/3/15, 36, 17, 28, 9, 
2019/3/16, 44, 17, 29, 8, 
2019/3/17, 47, 21, 29, 12, 
2019/3/18, 44, 28, 28, 11, 
2019/3/19, 60, 6, 28, 4, 
2019/3/20, 30, 13, 27, 6, 
2019/3/21, 32, 9, 18, 6, 
2019/3/22, 31, 8, 26, 5, 
2019/3/23, 36, 10, 25, 7, 
2019/3/24, 36, 14, 16, 7, 
2019/3/25, 47, 4, 27, 5, 
2019/3/26, 19, 5, 25, 3, 
2019/3/27, 22, 8, 24, 5, 
2019/3/28, 24, 9, 26, 6, 
2019/3/29, 31, 12, 25, 10, 
2019/3/30, 31, 12, 27, 6, 
2019/3/31, 36, 15, 22, 8, 
2018/10/1, 51, 20, 25, 5, 
2018/10/2, 44, 26, 23, 6, 
2018/10/3, 45, 11, 17, 5, 
2018/10/4, 23, 14, 24, 7, 
2018/10/5, 32, 13, 24, 3, 
2018/10/6, 23, 24, 32, 3, 
2018/10/7, 46, 20, 25, 4, 
2018/10/8, 29, 30, 37, 7, 
2018/10/9, 39, 22, 28, 6, 
2018/10/10, 37, 28, 27, 5, 
2018/10/11, 38, 24, 28, 8, 
2018/10/12, 30, 33, 33, 10, 
2018/10/13, 38, 36, 31, 2, 
2018/10/14, 29, 26, 31, 7, 
2018/10/15, 30, 34, 28, 8, 
2018/10/16, 33, 50, 42, 14, 
2018/10/17, 59, 53, 43, 17, 
2018/10/18, 61, 59, 34, 19, 
2018/10/19, 70, 53, 43, 14, 
2018/10/20, 68, 38, 38, 12, 
2018/10/21, 56, 43, 37, 10, 
2018/10/22, 61, 42, 28, 11, 
2018/10/23, 59, 45, 31, 13, 
2018/10/24, 58, 48, 29, 12, 
2018/10/25, 60, 53, 32, 12, 
2018/10/26, 64, 43, 32, 11, 
2018/10/27, 64, 16, 21, 4, 
2018/10/28, 33, 24, 27, 3, 
2018/10/29, 22, 30, 26, 2, 
2018/10/30, 22, 27, 25, 6, 
2018/10/31, 32, 30, 22, 9, 
2018/11/1, 43, 47, 32, 15, 
2018/11/2, 64, 27, 34, 2, 
2018/11/3, 21, 30, 37, 8, 
2018/11/4, 44, 23, 30, 6, 
2018/11/5, 22, 27, 27, 7, 
2018/11/6, 26, 27, 30, 9, 
2018/11/7, 38, 80, 30, 2, 
2018/11/8, 68, 61, 22, 12, 
2018/11/9, 101, 136, 12, 15, 
2018/11/10, 235, 86, 26, 8, 
2018/11/11, 124, 126, 22, 22, 
2018/11/12, 182, 137, 18, 21, 
2018/11/13, 236, 138, 10, 16, 
2018/11/14, 237, 210, 8, 20, 
2018/11/15, 327, 164, 23, 21, 
2018/11/16, 277, 135, 19, 22, 
2018/11/17, 238, 110, 19, 19, 
2018/11/18, 210, 87, 18, 21, 
2018/11/19, 170, 67, 24, 20, 
2018/11/20, 126, 35, 11, 14, 
2018/11/21, 77, 9, 23, 2, 
2018/11/22, 31, 4, 20, 2, 
2018/11/23, 24, 10, 13, 6, 
2018/11/24, 39, 16, 12, 8, 
2018/11/25, 48, 25, 6, 8, 
2018/11/26, 65, 22, 9, 7, 
2018/11/27, 66, 10, 20, 4, 
2018/11/28, 35, 5, 22, 3, 
2018/11/29, 26, 11, 15, 10, 
2018/11/30, 41, 9, 24, 4, 
2018/12/1, 30, 15, 19, 9, 
2018/12/2, 48, 14, 14, 8, 
2018/12/3, 46, 16, 14, 9, 
2018/12/4, 52, 11, 19, 5, 
2018/12/5, 45, 11, 20, 8, 
2018/12/6, 43, 22, 15, 12, 
2018/12/7, 66, 27, 16, 10, 
2018/12/8, 79, 31, 10, 9, 
2018/12/9, 90, 20, 20, 7, 
2018/12/10, 65, 23, 17, 9, 
2018/12/11, 67, 18, 24, 7, 
2018/12/12, 55, 34, 19, 15, 
2018/12/13, 85, 30, 15, 11, 
2018/12/14, 76, 17, 12, 8, 
2018/12/15, 55, 17, 19, 7, 
2018/12/16, 56, 10, 24, 8, 
2018/12/17, 27, 13, 20, 6, 
2018/12/18, 38, 13, 18, 8, 
2018/12/19, 40, 19, 13, 7, 
2018/12/20, 59, 13, 12, 7, 
2018/12/21, 47, 9, 14, 6, 
2018/12/22, 39, 12, 6, 5, 
2018/12/23, 49, 11, 12, 5, 
2018/12/24, 46, 5, 21, 2, 
2018/12/25, 29, 13, 18, 9, 
2018/12/26, 40, 9, 24, 4, 
2018/12/27, 34, 5, 24, 2, 
2018/12/28, 22, 19, 20, 10, 
2018/12/29, 57, 28, 19, 11, 
2018/12/30, 79, , , , 
2018/7/1, 47, 29, 40, 3, 
2018/7/2, 55, 35, 44, 3, 
2018/7/3, 67, 34, 32, 2, 
2018/7/4, 69, 25, 37, 3, 
2018/7/5, 62, 28, 30, 8, 
2018/7/6, 52, 21, 35, 7, 
2018/7/7, 44, 20, 41, 3, 
2018/7/8, 45, 29, 39, 5, 
2018/7/9, 53, 25, 38, 6, 
2018/7/10, 42, 23, 43, 6, 
2018/7/11, 43, 24, 47, 5, 
2018/7/12, 43, 29, 38, 6, 
2018/7/13, 50, 24, 42, 4, 
2018/7/14, 46, 16, 32, 3, 
2018/7/15, 41, 28, 44, 4, 
2018/7/16, 55, 22, 45, 4, 
2018/7/17, 48, 24, 47, 5, 
2018/7/18, 51, 27, 55, 4, 
2018/7/19, 54, 24, 41, 3, 
2018/7/20, 50, 23, 36, 2, 
2018/7/21, 49, 19, 31, 2, 
2018/7/22, 47, 26, 38, 3, 
2018/7/23, 48, 24, 40, 4, 
2018/7/24, 50, 32, 44, 7, 
2018/7/25, 59, 36, 50, 6, 
2018/7/26, 73, 35, 50, 4, 
2018/7/27, 64, 39, 50, 5, 
2018/7/28, 77, 33, 39, 5, 
2018/7/29, 75, 34, 44, 5, 
2018/7/30, 70, 40, 54, 6, 
2018/7/31, 82, 42, 52, 6, 
2018/8/1, 79, 38, 53, 5, 
2018/8/2, 78, 50, 33, 8, 
2018/8/3, 91, 67, 55, 7, 
2018/8/4, 125, 27, 32, 5, 
2018/8/5, 53, 60, 40, 10, 
2018/8/6, 118, 58, 40, 8, 
2018/8/7, 121, 50, 44, 10, 
2018/8/8, 113, 62, 62, 10, 
2018/8/9, 147, 55, 57, 8, 
2018/8/10, 119, 28, 38, 4, 
2018/8/11, 57, 22, 39, 3, 
2018/8/12, 56, 45, 40, 4, 
2018/8/13, 97, 27, 38, 4, 
2018/8/14, 52, 27, 41, 3, 
2018/8/15, 61, 30, 46, 3, 
2018/8/16, 65, 31, 40, 5, 
2018/8/17, 59, 25, 37, 7, 
2018/8/18, 52, 33, 44, 4, 
2018/8/19, 79, 43, 47, 5, 
2018/8/20, 84, 33, 36, 3, 
2018/8/21, 75, 33, 42, 4, 
2018/8/22, 74, 38, 44, 3, 
2018/8/23, 83, 42, 46, 4, 
2018/8/24, 97, 44, 51, 6, 
2018/8/25, 95, 29, 37, 3, 
2018/8/26, 70, 29, 31, 3, 
2018/8/27, 67, 23, 31, 3, 
2018/8/28, 56, 22, 35, 3, 
2018/8/29, 50, 24, 36, 3, 
2018/8/30, 59, 29, 39, 5, 
2018/8/31, 55, 37, 39, 6, 
2018/9/1, 66, 37, 43, 6, 
2018/9/2, 73, 37, 42, 3, 
2018/9/3, 72, 38, 42, 4, 
2018/9/4, 71, 35, 38, 5, 
2018/9/5, 66, 32, 37, 6, 
2018/9/6, 60, 42, 38, 9, 
2018/9/7, 60, 34, 41, 6, 
2018/9/8, 56, 28, 40, 6, 
2018/9/9, 53, 49, 48, 8, 
2018/9/10, 93, 38, 43, 5, 
2018/9/11, 61, 31, 30, 3, 
2018/9/12, 48, 26, 27, 3, 
2018/9/13, 42, 25, 35, 6, 
2018/9/14, 39, 25, 28, 4, 
2018/9/15, 33, 16, 31, 4, 
2018/9/16, 33, 24, 39, 5, 
2018/9/17, 35, 27, 37, 7, 
2018/9/18, 38, 45, 37, 9, 
2018/9/19, 55, 55, 37, 8, 
2018/9/20, 51, 48, 50, 11, 
2018/9/21, 59, 43, 40, 6, 
2018/9/22, 53, 24, 33, 8, 
2018/9/23, 43, 41, 32, 11, 
2018/9/24, 47, 47, 33, 11, 
2018/9/25, 46, 60, 40, 16, 
