date, pm25, pm10, o3
2020/1/2, 36, 27, 14
2020/1/3, 32, 18, 13
2020/1/4, 27, 9, 14
2020/1/5, 18, 18, 15
2020/1/6, 17, 17, 15
2020/1/7, 18, 28, 15
2020/1/8, 29, 33, 16
2020/1/9, 39, 29, 14
2020/1/10, 28, 16, 16
2020/1/11, 20, 22, 16
2020/1/12, 37, 38, 15
2020/1/13, 38, 34, 14
2020/1/14, 34, 43, 15
2020/1/15, 44, 40, 
2020/1/16, 55, , 
2019/10/1, 32, 40, 21
2019/10/2, 29, 35, 19
2019/10/3, 31, 46, 21
2019/10/4, 40, 37, 23
2019/10/5, 28, 28, 22
2019/10/6, 28, 32, 19
2019/10/7, 28, 52, 21
2019/10/8, 43, 38, 24
2019/10/9, 34, 154, 19
2019/10/10, 48, 31, 17
2019/10/11, 24, 35, 20
2019/10/12, 23, 29, 17
2019/10/13, 32, 34, 19
2019/10/14, 36, 42, 17
2019/10/15, 36, 40, 18
2019/10/16, 35, 53, 22
2019/10/17, 48, 49, 18
2019/10/18, 44, 43, 19
2019/10/19, 43, 37, 18
2019/10/20, 33, 28, 17
2019/10/21, 21, 32, 17
2019/10/22, 22, 36, 18
2019/10/23, 26, 62, 18
2019/10/24, 30, 28, 18
2019/10/25, 20, 30, 19
2019/10/26, 29, 43, 20
2019/10/27, 42, 48, 16
2019/10/28, 35, 47, 17
2019/10/29, 48, 102, 16
2019/10/30, 45, 24, 15
2019/10/31, 22, 21, 16
2019/11/1, 23, 25, 17
2019/11/2, 25, 28, 18
2019/11/3, 35, 45, 18
2019/11/4, 44, 47, 17
2019/11/5, 42, 52, 16
2019/11/6, 57, 45, 16
2019/11/7, 37, 30, 15
2019/11/8, 26, 23, 16
2019/11/9, 27, 26, 13
2019/11/10, 31, 36, 16
2019/11/11, 40, 48, 16
2019/11/12, 41, 44, 16
2019/11/13, 42, 57, 18
2019/11/14, 54, 63, 18
2019/11/15, 64, 35, 20
2019/11/16, 38, 24, 17
2019/11/17, 31, 52, 16
2019/11/18, 43, 44, 11
2019/11/19, 48, 19, 15
2019/11/20, 26, 27, 15
2019/11/21, 30, 11, 16
2019/11/22, 23, 16, 16
2019/11/23, 21, 9, 15
2019/11/24, 24, 29, 15
2019/11/25, 36, 30, 15
2019/11/26, 31, 38, 11
2019/11/27, 33, 72, 15
2019/11/28, 41, 6, 17
2019/11/29, 22, 9, 16
2019/11/30, 26, 4, 16
2019/12/1, 20, 10, 14
2019/12/2, 14, 16, 11
2019/12/3, 20, 15, 11
2019/12/4, 30, 13, 14
2019/12/5, 31, 14, 13
2019/12/6, 21, 12, 9
2019/12/7, 34, 10, 8
2019/12/8, 29, 10, 15
2019/12/9, 23, 13, 14
2019/12/10, 21, 14, 14
2019/12/11, 22, 20, 12
2019/12/12, 19, 24, 13
2019/12/13, 25, 31, 16
2019/12/14, 36, 16, 17
2019/12/15, 23, 21, 16
2019/12/16, 18, 16, 15
2019/12/17, 13, 25, 14
2019/12/18, 27, 25, 13
2019/12/19, 27, 24, 14
2019/12/20, 25, 17, 12
2019/12/21, 25, 26, 10
2019/12/22, 40, 33, 6
2019/12/23, 46, 14, 14
2019/12/24, 39, 19, 17
2019/12/25, 53, 21, 10
2019/12/26, 35, 11, 14
2019/12/27, 30, 21, 4
2019/12/28, 50, , 
2019/7/1, 38, 36, 23
2019/7/2, 46, 33, 20
2019/7/3, 38, 21, 19
2019/7/4, 33, 20, 18
2019/7/5, 28, 19, 16
2019/7/6, 22, 16, 21
2019/7/7, 24, 36, 21
2019/7/8, 42, 36, 22
2019/7/9, 33, 52, 26
2019/7/10, 53, 55, 23
2019/7/11, 44, 53, 22
2019/7/12, 42, 40, 14
2019/7/13, 45, 33, 14
2019/7/14, 42, 39, 22
2019/7/15, 31, 33, 20
2019/7/16, 28, 79, 13
2019/7/17, 55, 31, 19
2019/7/18, 31, 40, 21
2019/7/19, 24, 24, 15
2019/7/20, 32, 28, 11
2019/7/21, 47, 24, 11
2019/7/22, 38, 39, 23
2019/7/23, 35, 49, 19
2019/7/24, 41, 38, 19
2019/7/25, 34, 30, 24
2019/7/26, 29, 32, 26
2019/7/27, 38, 26, 16
