date, pm25, pm10, o3, no2, so2
2020/1/2, 58, 14, 31, 3, 
2020/1/3, 23, 20, 27, 2, 
2020/1/4, 26, 15, 27, 6, 
2020/1/5, 21, 12, 21, 10, 
2020/1/6, 31, 22, 19, 10, 
2020/1/7, 35, 11, 19, 10, 
2020/1/8, 22, 9, 16, 9, 
2020/1/9, 26, 17, 30, 3, 
2020/1/10, 18, 9, 23, 6, 
2020/1/11, 25, 13, 27, 3, 
2020/1/12, 23, 15, 19, 9, 
2020/1/13, 25, 7, 24, 5, 
2020/1/14, 12, 10, 28, 4, 
2020/1/15, 14, 14, 15, 9, 
2020/1/16, 18, , , , 
2019/10/1, 20, 10, 29, 1, 
2019/10/2, 12, 10, 27, 2, 
2019/10/3, 14, 10, 19, 7, 
2019/10/4, 24, 8, 20, 4, 
2019/10/5, 23, 9, 14, 6, 
2019/10/6, 34, 12, 13, 8, 
2019/10/7, 45, 21, 25, 3, 
2019/10/8, 25, 15, 27, 3, 
2019/10/9, 13, 19, 25, 2, 
2019/10/10, 18, 14, 21, 4, 
2019/10/11, 21, 7, 33, 2, 
2019/10/12, 8, 15, 27, 5, 
2019/10/13, 26, 15, 26, 9, 
2019/10/14, 21, 11, 23, 7, 
2019/10/15, 18, 9, 14, 9, 
2019/10/16, 18, 9, 25, 7, 
2019/10/17, 20, 11, 29, 6, 
2019/10/18, 17, 10, 24, 6, 
2019/10/19, 11, 13, 19, 7, 
2019/10/20, 17, 8, 18, 7, 
2019/10/21, 23, 10, 26, 8, 
2019/10/22, 31, 12, 9, 13, 
2019/10/23, 42, 17, 22, 9, 
2019/10/24, 42, 12, 20, 6, 
2019/10/25, 21, 10, 26, 3, 
2019/10/26, 16, 12, 29, 1, 
2019/10/27, 15, 12, 29, 1, 
2019/10/28, 13, 8, 28, 6, 
2019/10/29, 11, 13, 17, 10, 
2019/10/30, 45, 16, 15, 12, 
2019/10/31, 57, 18, 5, 13, 
2019/11/1, 49, 12, 27, 3, 
2019/11/2, 13, 9, 16, 6, 
2019/11/3, 15, 13, 13, 12, 
2019/11/4, 26, 13, 13, 10, 
2019/11/5, 27, 9, 26, 5, 
2019/11/6, 18, 10, 16, 10, 
2019/11/7, 25, 12, 15, 14, 
2019/11/8, 21, 13, 28, 5, 
2019/11/9, 20, 16, 14, 13, 
2019/11/10, 47, 12, 25, 10, 
2019/11/11, 41, 9, 25, 6, 
2019/11/12, 12, 10, 26, 6, 
2019/11/13, 12, 9, 9, 12, 
2019/11/14, 22, 22, 10, 10, 
2019/11/15, 64, 15, 4, 15, 
2019/11/16, 53, 14, 13, 10, 1
2019/11/17, 51, 8, 29, 3, 
2019/11/18, 25, 11, 31, 4, 
2019/11/19, 13, 16, 9, 20, 
2019/11/20, 49, 20, 11, 10, 
2019/11/21, 66, 12, 11, 13, 
2019/11/22, 46, 13, 6, 11, 
2019/11/23, 49, 20, 4, 12, 
2019/11/24, 58, 14, 7, 12, 
2019/11/25, 41, 11, 12, 11, 
2019/11/26, 32, 9, 20, 7, 
2019/11/27, 15, 12, 26, 2, 
2019/11/28, 15, 15, 32, , 
2019/11/29, 17, 9, 25, 8, 
2019/11/30, 22, 14, 12, 14, 
2019/12/1, 54, 10, 29, 1, 
2019/12/2, 14, 16, 22, 14, 
2019/12/3, 38, 21, 5, 22, 1
2019/12/4, 63, 25, 3, 18, 
2019/12/5, 72, 10, 20, 6, 
2019/12/6, 35, 18, 24, 3, 
2019/12/7, 19, 20, 31, 2, 
2019/12/8, 21, 16, 32, 1, 
2019/12/9, 14, 19, 29, 8, 
2019/12/10, 30, 18, 23, 12, 
2019/12/11, 26, 10, 25, 8, 
2019/12/12, 21, 8, 25, 5, 
2019/12/13, 15, 19, 34, 2, 
2019/12/14, 22, 22, 32, 4, 
2019/12/15, 23, 15, 18, 15, 
2019/12/16, 24, 11, 22, 11, 
2019/12/17, 32, 10, 23, 12, 
2019/12/18, 34, 16, 13, 9, 
2019/12/19, 36, 9, 26, 5, 
2019/12/20, 15, 9, 21, 6, 
2019/12/21, 14, 11, 23, 4, 
2019/12/22, 18, 18, 25, 2, 
2019/12/23, 29, 24, 28, 6, 
2019/12/24, 33, 11, 27, 1, 
2019/12/25, 21, 11, 12, 10, 
2019/12/26, 42, 10, 13, 10, 
2019/12/27, 47, 22, 4, 12, 
2019/12/28, 68, , , , 
2019/7/1, 18, 8, 28, 1, 
2019/7/2, 16, 13, 28, 1, 
2019/7/3, 15, 12, 31, 2, 
2019/7/4, 13, 11, 34, 3, 
2019/7/5, 31, 13, 22, 4, 
2019/7/6, 23, 9, 28, , 
2019/7/7, 7, 7, 28, , 
2019/7/8, 9, 12, 31, 1, 
2019/7/9, 17, 18, 22, 9, 
2019/7/10, 35, 26, 30, 9, 
2019/7/11, 53, 11, 27, 6, 
2019/7/12, 28, 6, 29, 1, 
2019/7/13, 17, 7, 27, 1, 
2019/7/14, 10, 7, 24, 2, 
2019/7/15, 15, 7, 31, 1, 
2019/7/16, 14, 9, 34, 6, 
2019/7/17, 29, 17, 29, 7, 
2019/7/18, 36, 14, 24, 6, 
2019/7/19, 22, 13, 27, 5, 
2019/7/20, 20, 11, 28, 2, 
2019/7/21, 17, 12, 25, 6, 
2019/7/22, 23, 12, 54, 9, 
