date, pm25, pm10, o3, no2, so2, co
2020/1/2, 185, 106, 29, 24, 5, 9
2020/1/3, 201, 118, 39, 28, 7, 11
2020/1/4, 221, 94, 28, 11, 3, 11
2020/1/5, 179, 57, 14, 22, 2, 17
2020/1/6, 157, 64, 26, 11, 5, 13
2020/1/7, 139, 54, 23, 15, 3, 10
2020/1/8, 156, 72, 25, 14, 4, 9
2020/1/9, 172, 90, 19, 16, 3, 9
2020/1/10, 190, 121, 30, 19, 6, 16
2020/1/11, 243, 151, 13, 23, 4, 22
2020/1/12, 264, 133, 26, 17, 4, 16
2020/1/13, 254, 115, 37, 18, 8, 13
2020/1/14, 222, 98, 25, 16, 5, 10
2020/1/15, 190, 72, 20, 11, 4, 9
2020/1/16, 181, , , , , 
2019/10/1, 105, 73, 94, 16, 5, 7
2019/10/2, 113, 82, 97, 20, 7, 7
2019/10/3, 115, 82, 54, 13, 4, 9
2019/10/4, 157, 25, 20, 6, 2, 7
2019/10/5, 47, 24, 25, 9, 3, 7
2019/10/6, 59, 28, 34, 8, 3, 9
2019/10/7, 84, 41, 56, 11, 4, 9
2019/10/8, 73, 56, 33, 14, 4, 9
2019/10/9, 106, 44, 23, 13, 4, 8
2019/10/10, 70, 54, 43, 12, 4, 8
2019/10/11, 103, 39, 30, 8, 2, 8
2019/10/12, 69, 80, 70, 16, 5, 11
2019/10/13, 126, 55, 20, 13, 4, 7
2019/10/14, 90, 51, 39, 15, 7, 5
2019/10/15, 79, 53, 21, 21, 5, 5
2019/10/16, 121, 68, 45, 21, 4, 7
2019/10/17, 150, 74, 67, 25, 7, 9
2019/10/18, 159, 73, 79, 23, 10, 9
2019/10/19, 132, 72, 73, 20, 6, 8
2019/10/20, 148, 111, 76, 27, 6, 10
2019/10/21, 181, 109, 27, 22, 5, 11
2019/10/22, 180, 80, 58, 22, 8, 9
2019/10/23, 140, 75, 59, 22, 5, 7
2019/10/24, 153, 56, 24, 15, 5, 4
2019/10/25, 91, 61, 21, 18, 6, 4
2019/10/26, 113, 62, 40, 17, 6, 6
2019/10/27, 117, 198, 38, 15, 4, 5
2019/10/28, 132, 259, 41, 24, 11, 9
2019/10/29, 179, 126, 51, 21, 8, 7
2019/10/30, 160, 85, 45, 29, 8, 9
2019/10/31, 134, 126, 74, 28, 13, 11
2019/11/1, 193, 145, 75, 33, 11, 13
2019/11/2, 189, 123, 37, 25, 6, 13
2019/11/3, 193, 70, 42, 13, 4, 10
2019/11/4, 130, 83, 57, 25, 5, 11
2019/11/5, 158, 95, 67, 25, 8, 12
2019/11/6, 163, 101, 69, 26, 8, 12
2019/11/7, 206, 116, 55, 22, 7, 12
2019/11/8, 203, 96, 71, 17, 7, 10
2019/11/9, 181, 88, 39, 15, 4, 6
2019/11/10, 88, 94, 37, 29, 9, 7
2019/11/11, 130, 98, 57, 25, 10, 8
