date, pm25, pm10, o3, no2, so2, co
2020/1/2, 183, 146, 21, 37, 12, 
2020/1/3, 237, 165, 18, 41, 14, 
2020/1/4, 273, 198, 3, 39, 7, 
2020/1/5, 320, 33, 15, 15, 2, 
2020/1/6, 90, 17, 24, 10, 2, 
2020/1/7, 52, 45, 23, 20, 5, 
2020/1/8, 103, 84, 22, 29, 7, 
2020/1/9, 163, 101, 18, 30, 8, 
2020/1/10, 175, 91, 18, 26, 7, 
2020/1/11, 164, 55, 25, 16, 4, 
2020/1/12, 101, 108, 21, 24, 6, 
2020/1/13, 186, 59, 22, 19, 5, 
2020/1/14, 138, 92, 23, 23, 7, 
2020/1/15, 172, 94, 15, 25, 6, 
2020/1/16, 179, , , , , 
2019/10/1, 110, 63, 50, 10, 3, 
2019/10/2, 125, 75, 94, 16, 4, 
2019/10/3, 134, 66, 32, 9, 3, 
2019/10/4, 102, 30, 32, 7, 2, 
2019/10/5, 22, 53, 22, 20, 4, 
2019/10/6, 85, 34, 34, 11, 3, 
2019/10/7, 68, 69, 34, 17, 4, 
2019/10/8, 111, 79, 61, 17, 5, 
2019/10/9, 137, 36, 24, 15, 2, 
2019/10/10, 79, 28, 24, 10, 2, 
2019/10/11, 61, 58, 39, 14, 3, 
2019/10/12, 99, 57, 47, 13, 3, 
2019/10/13, 87, 35, 29, 8, 2, 
2019/10/14, 38, 47, 22, 19, 3, 
2019/10/15, 73, 79, 13, 25, 4, 
2019/10/16, 130, 91, 30, 29, 6, 
2019/10/17, 157, 102, 48, 28, 5, 
2019/10/18, 161, 104, 65, 22, 6, 
2019/10/19, 165, 86, 80, 17, 5, 
2019/10/20, 152, 113, 27, 24, 6, 
2019/10/21, 163, 122, 18, 33, 3, 
2019/10/22, 161, 117, 56, 30, 6, 
2019/10/23, 171, 114, 71, 26, 6, 
2019/10/24, 171, 45, 22, 11, 4, 
2019/10/25, 52, 50, 27, 20, 6, 
2019/10/26, 75, 79, 36, 24, 8, 
2019/10/27, 133, 133, 33, 18, 7, 
2019/10/28, 150, 91, 26, 22, 5, 
2019/10/29, 99, 157, 44, 25, 7, 
2019/10/30, 155, 128, 51, 32, 8, 
2019/10/31, 152, 88, 40, 25, 6, 
2019/11/1, 121, 63, 33, 22, 4, 
2019/11/2, 93, 62, 27, 17, 4, 
2019/11/3, 90, 49, 27, 14, 4, 
2019/11/4, 69, 80, 42, 25, 7, 
2019/11/5, 150, 99, 44, 30, 6, 
2019/11/6, 170, 74, 27, 18, 3, 
2019/11/7, 114, 59, 29, 22, 4, 
2019/11/8, 106, 103, 48, 26, 7, 
2019/11/9, 172, 75, 41, 12, 4, 
2019/11/10, 115, 76, 29, 24, 9, 
2019/11/11, 112, 86, 19, 23, 6, 
2019/11/12, 123, 79, 24, 17, 5, 
2019/11/13, 97, 69, 25, 18, 5, 
2019/11/14, 83, 77, 28, 25, 9, 
2019/11/15, 125, 75, 39, 24, 3, 
2019/11/16, 146, 52, 17, 17, 3, 
2019/11/17, 117, 89, 22, 11, 3, 
2019/11/18, 92, 101, 19, 22, 7, 
2019/11/19, 139, 107, 18, 27, 8, 
2019/11/20, 151, 61, 30, 20, 5, 
2019/11/21, 93, 38, 35, 17, 3, 
2019/11/22, 64, 43, 12, 18, 2, 
2019/11/23, 98, 36, 25, 9, 2, 
2019/11/24, 70, 30, 23, 9, 2, 
2019/11/25, 50, 71, 22, 22, 4, 
2019/11/26, 139, 50, 23, 13, 3, 
2019/11/27, 85, 39, 25, 11, 2, 
2019/11/28, 66, 71, 20, 22, 5, 
2019/11/29, 140, 83, 11, 25, 5, 
2019/11/30, 164, 55, 21, 17, 5, 
2019/12/1, 111, 62, 13, 24, 6, 
2019/12/2, 123, 77, 19, 28, 11, 
2019/12/3, 132, 90, 15, 30, 11, 
2019/12/4, 144, 70, 20, 19, 5, 
2019/12/5, 127, 52, 18, 19, 5, 
2019/12/6, 103, 107, 24, 30, 6, 
2019/12/7, 189, 99, 35, 27, 8, 
2019/12/8, 182, 123, 10, 32, 5, 
2019/12/9, 221, 124, 20, 31, 6, 
2019/12/10, 221, 64, 20, 23, 5, 
2019/12/11, 130, 56, 20, 21, 6, 
2019/12/12, 83, 79, 15, 29, 6, 
2019/12/13, 141, 64, 22, 25, 6, 
2019/12/14, 119, 73, 4, 27, 6, 
2019/12/15, 143, 48, 2, 23, 3, 
2019/12/16, 118, 50, 24, 16, 3, 
2019/12/17, 119, 49, 18, 19, 4, 
2019/12/18, 87, 75, 15, 26, 8, 
2019/12/19, 151, 71, 11, 25, 6, 
2019/12/20, 148, 92, 24, 25, 5, 
2019/12/21, 173, 87, 14, 25, 5, 
2019/12/22, 168, 96, 24, 18, 4, 
2019/12/23, 190, 63, 21, 19, 5, 
2019/12/24, 146, 72, 5, 25, 3, 
2019/12/25, 156, 64, 22, 20, 4, 
2019/12/26, 147, 75, 21, 22, 6, 
2019/12/27, 150, 73, 27, 23, 5, 
2019/12/28, 148, 80, 15, 25, 5, 
2019/12/29, 167, , , , , 
2019/7/1, 62, 63, 88, 14, 6, 
2019/7/2, 93, 53, 102, 7, 4, 
2019/7/3, 87, 77, 106, 12, 5, 
2019/7/4, 137, 63, 104, 6, 4, 
2019/7/5, 106, 42, 51, 6, 3, 
2019/7/6, 63, 32, 41, 7, 3, 
2019/7/7, 54, 38, 51, 6, 3, 
2019/7/8, 66, 47, 51, 10, 3, 
2019/7/9, 83, 40, 39, 9, 3, 
2019/7/10, 65, 53, 53, 12, 3, 
2019/7/11, 87, 63, 74, 11, 3, 
2019/7/12, 120, 71, 94, 11, 4, 
2019/7/13, 126, 49, 77, 9, 4, 
2019/7/14, 91, 55, 96, 9, 3, 
2019/7/15, 93, 74, 82, 9, 4, 
2019/7/16, 139, 31, 32, 4, 3, 
2019/7/17, 59, 32, 39, 9, 3, 
2019/7/18, 42, 21, 23, 7, 2, 
2019/7/19, 22, 38, 60, 9, 3, 
2019/7/20, 54, 53, 86, 8, 4, 
