date, pm25, pm10, o3, no2, so2
2020/1/3, 3, 5, 10, , 
2020/1/4, 1, 7, 22, 15, 
2020/1/5, 2, 16, 23, 18, 
2020/1/6, 4, 12, 6, 19, 
2020/1/7, 3, 15, 11, 22, 1
2020/1/8, 4, 11, 4, 23, 1
2020/1/9, 3, 4, 9, 7, 1
2020/1/10, 1, 7, 28, 14, 
2020/1/11, 2, 14, 18, 16, 
2020/1/12, 3, 19, 11, 22, 
2020/1/13, 4, 11, 6, 21, 1
2020/1/14, 3, 8, 17, 16, 1
2020/1/15, 2, 6, 27, 10, 1
2020/1/16, 2, , 16, , 1
2019/10/1, 2, 3, 27, 4, 
2019/10/2, 1, 7, 25, 13, 
2019/10/3, 2, 7, 19, 11, 
2019/10/4, 2, 4, 23, 4, 
2019/10/5, 1, 7, 18, 5, 
2019/10/6, 1, 6, 26, 8, 
2019/10/7, 1, 7, 15, 9, 
2019/10/8, 1, 4, 25, 7, 
2019/10/9, 1, 4, 25, 4, 
2019/10/10, 1, 11, 20, 13, 
2019/10/11, 2, 11, 22, 11, 
2019/10/12, 2, 10, 22, 9, 
2019/10/13, 2, 20, 21, 16, 
2019/10/14, 3, 13, 27, 12, 
2019/10/15, 2, 5, 27, 8, 
2019/10/16, 1, 9, 25, 11, 
2019/10/17, 2, 10, 19, 12, 
2019/10/18, 2, 6, 19, 8, 
2019/10/19, 2, 16, 6, 9, 
2019/10/20, 3, 15, 15, 13, 
2019/10/21, 3, 16, 11, 11, 
2019/10/22, 2, 25, 7, 11, 
2019/10/23, 3, 22, 10, 14, 
2019/10/24, 3, 14, 24, 15, 
2019/10/25, 2, 18, 9, 15, 
2019/10/26, 3, 16, 22, 11, 
2019/10/27, 3, 13, 8, 14, 
2019/10/28, 2, 8, 8, 10, 
2019/10/29, 2, 9, 11, 11, 
2019/10/30, 1, 12, 5, 10, 
2019/10/31, 2, 16, 8, 10, 
2019/11/1, 3, 5, 20, 6, 
2019/11/2, 1, 3, 26, 5, 
2019/11/3, 1, 3, 25, 5, 
2019/11/4, 1, 4, 23, 9, 
2019/11/5, 1, 3, 23, 6, 
2019/11/6, 1, 5, 18, 9, 
2019/11/7, 1, 4, 20, 11, 
2019/11/8, 3, 13, 15, 13, 
2019/11/9, 2, 17, 10, 13, 
2019/11/10, 3, 15, 13, 10, 
2019/11/11, 2, 7, 23, 11, 
2019/11/12, 2, 9, 22, 17, 
2019/11/13, 2, 14, 5, 20, 
2019/11/14, 3, 12, 13, 17, 
2019/11/15, 3, 22, 11, 16, 
2019/11/16, 4, 14, 8, 11, 
2019/11/17, 2, 5, 23, 10, 
2019/11/18, 1, 15, 10, 20, 
2019/11/19, 3, 19, 8, 12, 
2019/11/20, 2, 22, 12, 12, 
2019/11/21, 2, 22, 11, 12, 
2019/11/22, 2, 16, 2, 19, 
2019/11/23, 5, 17, 4, 18, 1
2019/11/24, 5, 18, 10, 13, 
2019/11/25, 3, 29, 2, 15, 
2019/11/26, 5, 10, 22, 11, 
2019/11/27, 2, 2, 28, 4, 
2019/11/28, 1, 3, 26, 7, 
2019/11/29, 1, 9, 24, 7, 
2019/11/30, 1, 14, 10, 12, 
2019/12/1, 2, 16, 14, 11, 
2019/12/2, 2, 17, 16, 15, 
2019/12/3, 2, 22, 6, 20, 
2019/12/4, 3, 23, 7, 15, 
2019/12/5, 2, 20, 5, 18, 
2019/12/6, 3, 10, 23, 14, 
2019/12/7, 3, 8, 25, 8, 
2019/12/8, 2, 3, 29, 4, 
2019/12/9, 1, 7, 24, 14, 
2019/12/10, 1, 11, 16, 21, 
2019/12/11, 2, 4, 25, 12, 
2019/12/12, 1, 4, 30, 10, 
2019/12/13, 1, 3, 34, 4, 
2019/12/14, 1, 3, 26, 7, 
2019/12/15, 2, 15, 7, 23, 1
2019/12/16, 5, 33, 1, 23, 1
2019/12/17, 8, 19, 1, 23, 1
2019/12/18, 8, 24, 1, 22, 1
2019/12/19, 8, 13, 17, 18, 
2019/12/20, 5, 4, 26, 10, 
2019/12/21, 2, 5, 27, 6, 
2019/12/22, 1, 1, 28, 4, 
2019/12/23, 1, 2, 25, 5, 
2019/12/24, 1, 3, 28, 4, 
2019/12/25, 1, 5, 20, 6, 
2019/12/26, 1, 3, 25, 9, 
2019/12/27, 1, 8, 14, 9, 
2019/12/28, 1, , , , 
2019/7/1, 2, 15, 49, 7, 
2019/7/2, 2, 15, 52, 6, 
2019/7/3, 2, 16, 63, 8, 
2019/7/4, 2, 23, 66, 13, 
2019/7/5, 2, 21, 49, 11, 
2019/7/6, 2, 10, 48, 4, 
2019/7/7, 1, 14, 34, 6, 
2019/7/8, 1, 13, 44, 5, 
2019/7/9, 1, 11, 45, 6, 
2019/7/10, 8, 14, 32, 15, 
2019/7/11, 3, 13, 34, 12, 
2019/7/12, 2, 6, 37, 4, 
2019/7/13, 1, 8, 37, 4, 
2019/7/14, 1, 10, 37, 6, 
2019/7/15, 1, 13, 51, 8, 
2019/7/16, 1, 13, 53, 10, 
2019/7/17, 2, 17, 58, 12, 
2019/7/18, 2, 20, 53, 7, 
2019/7/19, 2, 18, 47, 8, 
2019/7/20, 2, 13, 39, 4, 
2019/7/21, 2, 14, 53, 9, 
2019/7/22, 2, 18, 61, 9, 
2019/7/23, 2, 23, 71, 12, 
2019/7/24, 3, 27, 79, 13, 
2019/7/25, 3, 22, 71, 7, 
2019/7/26, 2, 7, 54, 3, 
2019/7/27, 1, 4, 27, 3, 
2019/7/28, 1, 6, 35, 4, 
2019/7/29, 1, 9, 44, 4, 
2019/7/30, 1, 8, 34, 4, 
2019/7/31, 1, 11, 42, 5, 1
2019/8/1, 1, 15, 36, 5, 
2019/8/2, 1, 8, 43, 5, 
2019/8/3, 1, 10, 50, 5, 
2019/8/4, 1, 13, 53, 7, 
2019/8/5, 2, 12, 38, 6, 
2019/8/6, 1, 9, 33, 6, 
2019/8/7, 1, 9, 39, 8, 
2019/8/8, 2, 13, 40, 11, 
2019/8/9, 2, 5, 30, 3, 
2019/8/10, 1, 7, 34, 5, 
2019/8/11, 1, 5, 25, 6, 
2019/8/12, 1, 6, 33, 6, 
2019/8/13, 1, 9, 38, 9, 
2019/8/14, 1, 9, 26, 10, 
2019/8/15, 1, 8, 36, 8, 
2019/8/16, 1, 11, 32, 7, 
2019/8/17, 2, 11, 43, 7, 
2019/8/18, 2, 4, 32, 4, 
2019/8/19, 1, 7, 20, 8, 
2019/8/20, 2, 6, 33, 4, 
2019/8/21, 1, 15, 19, 8, 
2019/8/22, 2, 16, 25, 11, 
2019/8/23, 2, 22, 36, 10, 
2019/8/24, 3, 17, 44, 9, 
2019/8/25, 2, 17, 50, 11, 
2019/8/26, 2, 20, 53, 12, 
2019/8/27, 3, 19, 54, 10, 
