date, pm10, o3, no2
2020/1/2, 13, 28, 3
2020/1/3, 13, 26, 2
2020/1/4, 13, 20, 5
2020/1/5, 8, 21, 6
2020/1/6, 12, 16, 8
2020/1/7, 15, 17, 7
2020/1/8, 12, 16, 6
2020/1/9, 11, 28, 3
2020/1/10, 9, 21, 6
2020/1/11, 11, 21, 3
2020/1/12, 9, 20, 5
2020/1/13, 12, 23, 3
2020/1/14, 6, 26, 3
2020/1/15, 7, 15, 6
2020/1/16, 16, , 
2019/10/1, 8, 21, 1
2019/10/2, 9, 21, 2
2019/10/3, 10, 13, 6
2019/10/4, 9, 17, 2
2019/10/5, 10, 13, 3
2019/10/6, 8, 11, 6
2019/10/7, 13, 15, 5
2019/10/8, 13, 22, 3
2019/10/9, 10, 20, 3
2019/10/10, 15, 18, 3
2019/10/11, 9, 30, 1
2019/10/12, 6, 22, 2
2019/10/13, 12, 23, 4
2019/10/14, 13, 17, 6
2019/10/15, 13, 18, 4
2019/10/16, 9, 20, 3
2019/10/17, 10, 26, 3
2019/10/18, 7, 21, 2
2019/10/19, 9, 9, 4
2019/10/20, 16, 17, 3
2019/10/21, 10, 13, 5
2019/10/22, 15, 10, 6
2019/10/23, 16, 16, 6
2019/10/24, 14, 19, 4
2019/10/25, 10, 24, 2
2019/10/26, 7, 27, 1
2019/10/27, 9, 26, 3
2019/10/28, 11, 27, 4
2019/10/29, 9, 17, 7
2019/10/30, 13, 14, 8
2019/10/31, 20, 6, 9
2019/11/1, 21, 27, 2
2019/11/2, 8, 18, 2
2019/11/3, 8, 18, 4
2019/11/4, 9, 14, 7
2019/11/5, 11, 23, 4
2019/11/6, 7, 15, 7
2019/11/7, 11, 14, 8
2019/11/8, 11, 22, 8
2019/11/9, 13, 17, 5
2019/11/10, 17, 18, 8
2019/11/11, 13, 22, 4
2019/11/12, 11, 19, 5
2019/11/13, 6, 10, 7
2019/11/14, 8, 12, 5
2019/11/15, 22, 9, 9
2019/11/16, 17, 10, 8
2019/11/17, 21, 29, 2
2019/11/18, 7, 28, 4
2019/11/19, 8, 5, 12
2019/11/20, 11, 11, 6
2019/11/21, 17, 7, 11
2019/11/22, 15, 10, 6
2019/11/23, 21, 7, 5
2019/11/24, 24, 3, 9
2019/11/25, 29, 11, 10
2019/11/26, 11, 20, 5
2019/11/27, 8, 23, 3
2019/11/28, 7, 30, 2
2019/11/29, 13, 22, 7
2019/11/30, 11, 9, 11
2019/12/1, 16, 24, 3
2019/12/2, 7, 17, 10
2019/12/3, 17, 2, 17
2019/12/4, 22, 3, 16
2019/12/5, 26, 13, 7
2019/12/6, 11, 22, 3
2019/12/7, 9, 28, 2
2019/12/8, 11, 28, 2
2019/12/9, 12, 28, 5
2019/12/10, 13, 20, 6
2019/12/11, 14, 18, 6
2019/12/12, 12, 21, 6
2019/12/13, 6, 32, 2
2019/12/14, 11, 31, 2
2019/12/15, 12, 21, 8
2019/12/16, 11, 18, 10
2019/12/17, 12, 23, 7
2019/12/18, 12, 10, 11
2019/12/19, 16, 22, 7
2019/12/20, 11, 22, 3
2019/12/21, 8, 20, 4
2019/12/22, 7, 22, 3
2019/12/23, 10, 25, 4
2019/12/24, 14, 24, 1
2019/12/25, 8, 14, 5
2019/12/26, 13, 17, 5
2019/12/27, 10, 10, 7
2019/12/28, 16, , 
2019/7/1, 11, 26, 1
2019/7/2, 8, 28, 1
2019/7/3, 18, 30, 2
2019/7/4, 10, 33, 3
2019/7/5, 11, 21, 3
2019/7/6, 11, 26, 1
2019/7/7, 11, 25, 1
2019/7/8, 7, 30, 2
2019/7/9, 11, 24, 4
2019/7/10, 11, 26, 6
2019/7/11, 26, 27, 5
2019/7/12, 19, 28, 2
2019/7/13, 10, 26, 1
2019/7/14, 10, 24, 1
2019/7/15, 11, 21, 1
2019/7/16, 9, 24, 3
2019/7/17, 8, 36, 6
2019/7/18, 18, 34, 3
2019/7/19, 12, 30, 4
2019/7/20, 17, 26, 1
2019/7/21, 9, 23, 4
2019/7/22, 10, 55, 5
2019/7/23, 15, 82, 6
2019/7/24, 28, 102, 6
2019/7/25, 52, 63, 4
2019/7/26, 30, 31, 3
2019/7/27, 20, , 3
2019/7/28, 21, , 2
2019/7/29, 14, , 4
2019/7/30, 19, 13, 3
2019/7/31, 11, 25, 4
2019/8/1, 14, 24, 3
